house,battery,distance,max_output_house,current_capacity_battery
1,2,43,53.97543253,53.97543253
2,3,37,66.13020717,66.13020717
3,3,48,39.82123377,105.95144094
4,4,45,46.4333204,46.4333204
5,3,63,62.43058175,168.38202268999999
6,1,22,62.14055349,62.14055349
7,4,49,52.43116675,98.86448715
8,1,36,30.48448777,92.62504126
9,1,54,63.19785578,155.82289704
10,2,52,65.00367928,118.97911181
11,3,30,40.20336825,208.58539093999997
12,1,19,53.03976583,208.86266286999998
13,1,17,39.13247939,247.99514225999997
14,4,32,39.45690812,138.32139527
15,2,46,53.84443114,172.82354295
16,2,21,60.40913294,233.23267589
17,3,45,27.78076375,236.36615468999997
18,3,64,57.77286486,294.13901954999994
19,3,34,38.72179636,332.8608159099999
20,3,34,29.92408755,362.78490345999995
21,1,15,41.78571625,289.78085851
22,4,12,59.91115918,198.23255445
23,3,42,71.42208448,434.20698794
24,4,48,37.23961036,235.47216481
25,4,45,70.21473166,305.68689647
26,2,37,61.05026554,294.28294143
27,5,13,38.13617191,38.13617191
28,5,16,29.83002147,67.96619337999999
29,1,33,74.15296092,363.93381942999997
30,1,36,68.6532457,432.58706513
31,3,40,54.25835415,488.46534209
32,2,69,41.7880369,336.07097833
33,4,40,72.88165705,378.56855352
34,5,38,62.0133643,129.97955768
35,3,68,53.08761347,541.55295556
36,4,52,52.08494864,430.65350216
37,5,23,38.71047582,168.6900335
38,5,60,66.05341632,234.74344982
39,4,34,45.33453242,475.98803458000003
40,3,25,51.94608562,593.49904118
41,5,66,57.11814462,291.86159444
42,1,17,29.34726889,461.93433402
43,2,44,37.28002017,373.3509985
44,5,86,58.90934923,350.77094366999995
45,2,24,45.14508246,418.49608096
46,1,35,44.75870431,506.69303833
47,2,19,46.63929091,465.13537187
48,5,6,29.93133051,380.70227417999996
49,4,40,60.7690834,536.75711798
50,1,35,55.74063546,562.43367379
51,5,47,60.96696147,441.66923564999996
52,1,43,45.9393011,608.3729748899999
53,2,37,70.02856894,535.16394081
54,3,49,26.27681146,619.7758526399999
55,3,34,31.03872389,650.81457653
56,2,22,29.51140333,564.67534414
57,3,38,63.87594515,714.69052168
58,5,8,28.04976611,469.71900175999997
59,3,18,31.4973607,746.18788238
60,4,53,45.25994244,582.01706042
61,2,16,49.93687743,614.61222157
62,2,51,65.6434655,680.25568707
63,1,67,38.5524821,646.9254569899999
64,5,32,48.15325636,517.87225812
65,5,86,59.63813712,577.51039524
66,5,7,44.14228862,621.65268386
67,3,26,28.73871494,774.92659732
68,3,53,35.97663002,810.9032273400001
69,3,47,57.19809379,868.1013211300001
70,3,43,66.07952654,934.18084767
71,1,36,75.8473443,722.77280129
72,4,23,38.85647001,620.87353043
73,2,13,31.97506792,712.23075499
74,5,38,38.37311881,660.0258026700001
75,5,43,40.72933179,700.7551344600001
76,1,38,53.27408283,776.04688412
77,1,23,57.15314373,833.20002785
78,3,54,56.14106998,990.32191765
79,5,89,60.5787997,761.3339341600001
80,4,61,47.17876571,668.05229614
81,1,20,55.93567156,889.1356994099999
82,5,27,67.70113184,829.0350660000001
83,5,65,32.56142196,861.5964879600001
84,3,49,55.75694271,1046.0788603600001
85,1,7,59.68412189,948.8198213
86,1,32,30.57764452,979.39746582
87,3,32,56.03511409,1102.1139744500001
88,1,32,38.69411298,1018.0915788
89,5,27,64.25056806,925.8470560200001
90,1,53,74.82543524,1092.91701404
91,1,51,34.78697213,1127.70398617
92,5,19,46.65642768,972.5034837000001
93,5,21,60.03957103,1032.54305473
94,4,24,29.26065385,697.31294999
95,1,63,70.68631843,1198.3903046
96,2,64,74.53947279,786.77022778
97,4,55,46.25506287,743.56801286
98,3,40,33.30314048,1135.41711493
99,5,49,70.41480105,1102.95785578
100,3,43,39.37298309,1174.79009802
101,5,62,64.25603513,1167.2138909100001
