house,battery,distance,max_output_house,current_capacity_battery
"(82, {1: 3, 2: 31, 3: 45, 4: 24, 5: 10})",1,3,59.05896036,59.05896036
"(103, {1: 31, 2: 3, 3: 45, 4: 52, 5: 36})",2,3,64.6667857,64.6667857
"(135, {1: 41, 2: 43, 3: 3, 4: 34, 5: 32})",3,3,59.37576043,59.37576043
"(10, {1: 27, 2: 61, 3: 41, 4: 6, 5: 22})",4,6,63.12038188,63.12038188
"(56, {1: 9, 2: 43, 3: 39, 4: 18, 5: 4})",5,4,39.8339645,39.8339645
"(106, {1: 3, 2: 35, 3: 47, 4: 26, 5: 12})",1,3,38.48596722,97.54492758
"(48, {1: 37, 2: 3, 3: 45, 4: 58, 5: 42})",2,3,41.12708974,105.79387544000001
"(71, {1: 47, 2: 49, 3: 3, 4: 34, 5: 38})",3,3,47.14949021,106.52525064
"(47, {1: 20, 2: 54, 3: 34, 4: 7, 5: 15})",4,7,51.14671974,114.26710162
"(65, {1: 10, 2: 44, 3: 38, 4: 17, 5: 5})",5,5,44.4066236,84.2405881
"(23, {1: 5, 2: 31, 3: 49, 4: 28, 5: 14})",1,5,41.79763764,139.34256522
"(143, {1: 29, 2: 5, 3: 43, 4: 50, 5: 34})",2,5,44.58706876,150.38094420000002
"(147, {1: 46, 2: 48, 3: 6, 4: 29, 5: 37})",3,6,35.5552718,142.08052243999998
"(87, {1: 31, 2: 49, 3: 29, 4: 8, 5: 22})",4,8,40.61631674,154.88341836
"(66, {1: 6, 2: 40, 3: 40, 4: 19, 5: 5})",5,5,64.44382811,148.68441621
"(4, {1: 6, 2: 28, 3: 48, 4: 27, 5: 13})",1,6,36.40331775,175.74588297000003
"(122, {1: 33, 2: 5, 3: 41, 4: 54, 5: 38})",2,5,39.14559958,189.52654378000003
"(90, {1: 35, 2: 37, 3: 9, 4: 38, 5: 26})",3,9,49.44122897,191.52175140999998
"(57, {1: 29, 2: 63, 3: 43, 4: 8, 5: 24})",4,8,40.4929237,195.37634206
"(123, {1: 11, 2: 33, 3: 33, 4: 22, 5: 6})",5,6,38.69040639,187.3748226
"(59, {1: 7, 2: 37, 3: 51, 4: 30, 5: 16})",1,7,52.23919855,227.98508152000002
"(85, {1: 27, 2: 7, 3: 53, 4: 48, 5: 32})",2,7,39.81936486,229.34590864000003
"(9, {1: 35, 2: 37, 3: 9, 4: 42, 5: 26})",3,9,49.9985406,241.52029201
"(36, {1: 30, 2: 46, 3: 26, 4: 9, 5: 21})",4,9,63.05172666,258.42806872
"(53, {1: 10, 2: 44, 3: 42, 4: 21, 5: 7})",5,7,63.73606908,251.11089167999998
"(62, {1: 8, 2: 26, 3: 36, 4: 29, 5: 13})",1,8,54.48982494,282.47490646
"(27, {1: 35, 2: 7, 3: 39, 4: 56, 5: 40})",2,7,36.37710418,265.72301282
"(11, {1: 34, 2: 36, 3: 10, 4: 29, 5: 25})",3,10,63.7118043,305.23209631
"(88, {1: 30, 2: 64, 3: 44, 4: 9, 5: 25})",4,9,55.90292767,314.33099639
"(13, {1: 13, 2: 47, 3: 33, 4: 12, 5: 8})",5,8,40.60892953,291.71982120999996
"(84, {1: 11, 2: 27, 3: 33, 4: 28, 5: 12})",1,11,49.50781665,331.98272311
"(80, {1: 41, 2: 7, 3: 39, 4: 62, 5: 46})",2,7,47.39904077,313.12205359
"(83, {1: 33, 2: 35, 3: 11, 4: 36, 5: 24})",3,11,59.68436389,364.91646019999996
"(150, {1: 32, 2: 44, 3: 24, 4: 11, 5: 23})",4,11,57.12008594,371.45108233
