house,battery,distance,max_output_house,current_capacity_battery
1,5,33,53.97543253,53.97543253
2,3,37,66.13020717,66.13020717
3,3,48,39.82123377,105.95144094
4,5,23,46.4333204,100.40875292999999
5,2,54,62.43058175,62.43058175
6,3,33,62.14055349,168.09199443
7,5,57,52.43116675,152.83991967999998
8,1,36,30.48448777,30.48448777
9,1,54,63.19785578,93.68234355
10,5,20,65.00367928,217.84359895999998
11,4,41,40.20336825,40.20336825
12,3,32,53.03976583,221.13176026
13,5,75,39.13247939,256.97607834999997
14,4,32,39.45690812,79.66027636999999
15,5,26,53.84443114,310.82050948999995
16,2,21,60.40913294,122.83971469
17,2,46,27.78076375,150.62047844
18,4,51,57.77286486,137.43314123
19,3,34,38.72179636,259.85355662
20,2,25,29.92408755,180.54456599
21,3,8,41.78571625,301.63927287
22,4,12,59.91115918,197.34430041
23,5,49,71.42208448,382.2425939699999
24,1,26,37.23961036,130.92195391
25,5,23,70.21473166,452.4573256299999
26,2,37,61.05026554,241.59483153
27,5,13,38.13617191,490.59349753999993
28,5,16,29.83002147,520.42351901
29,1,33,74.15296092,205.07491483
30,2,40,68.6532457,310.24807723
31,4,13,54.25835415,251.60265456
32,5,9,41.7880369,562.2115559099999
33,1,18,72.88165705,277.95657188
34,3,43,62.0133643,363.65263717
35,5,13,53.08761347,615.2991693799999
36,1,36,52.08494864,330.04152052
37,3,68,38.71047582,402.36311299
38,5,60,66.05341632,681.3525856999998
39,4,34,45.33453242,296.93718698
40,2,16,51.94608562,362.19416285
41,1,20,57.11814462,387.15966514
42,3,26,29.34726889,431.71038188
43,5,28,37.28002017,718.6326058699999
44,1,18,58.90934923,446.06901437
45,5,48,45.14508246,763.7776883299999
46,2,41,44.75870431,406.95286716
47,1,25,46.63929091,492.70830528
48,5,6,29.93133051,793.7090188399999
49,4,40,60.7690834,357.70627038
50,2,39,55.74063546,462.69350262
51,2,25,60.96696147,523.66046409
52,1,43,45.9393011,538.64760638
53,2,37,70.02856894,593.68903303
54,2,40,26.27681146,619.96584449
55,3,34,31.03872389,462.74910577
56,2,22,29.51140333,649.47724782
57,4,51,63.87594515,421.58221553
58,3,73,28.04976611,490.79887188000004
59,4,9,31.4973607,453.07957623
60,3,56,45.25994244,536.05881432
61,1,12,49.93687743,588.5844838099999
62,4,47,65.6434655,518.72304173
63,5,11,38.5524821,832.2615009399999
64,5,32,48.15325636,880.4147572999999
65,2,14,59.63813712,709.11538494
66,5,7,44.14228862,924.55704592
67,1,21,28.73871494,617.32319875
68,1,48,35.97663002,653.29982877
69,1,34,57.19809379,710.49792256
70,3,43,66.07952654,602.13834086
71,1,36,75.8473443,786.34526686
72,1,13,38.85647001,825.20173687
73,3,24,31.97506792,634.11340878
74,5,38,38.37311881,962.93016473
75,3,38,40.72933179,674.8427405699999
76,2,44,53.27408283,762.38946777
77,2,27,57.15314373,819.5426115
78,5,27,56.14106998,1019.07123471
79,4,21,60.5787997,579.30184143
80,5,17,47.17876571,1066.25000042
81,1,20,55.93567156,881.13740843
82,1,41,67.70113184,948.8385402700001
83,1,9,32.56142196,981.39996223
84,3,49,55.75694271,730.5996832799999
85,3,12,59.68412189,790.2838051699999
86,1,32,30.57764452,1011.9776067500001
87,4,21,56.03511409,635.33695552
88,2,36,38.69411298,858.23672448
89,3,54,64.25056806,854.5343732299999
90,3,66,74.82543524,929.35980847
91,5,17,34.78697213,1101.0369725500002
92,2,53,46.65642768,904.89315216
93,3,60,60.03957103,989.3993795
