house,battery,distance,max_output_house
141,1,1,60.91065902
99,1,2,58.39362925
49,2,2,48.50865344
78,3,2,60.93412813
72,5,2,58.3986013
76,2,3,50.35807729
1,4,3,48.76400191
8,5,3,36.90684143
74,2,4,62.88141752
116,2,4,54.907644
44,3,4,64.79397046
32,4,4,47.48157843
108,4,4,63.8665196
111,5,4,45.04775519
118,5,4,54.51204967
62,1,5,54.48982494
20,3,5,62.28650955
98,3,5,63.56837786
139,3,5,41.16116018
58,5,5,61.5437326
84,1,6,49.50781665
96,1,6,43.25342339
117,1,6,57.5929688
126,1,6,54.8377261
39,2,6,57.01992312
17,3,6,39.38884807
69,3,6,40.87885768
77,3,6,56.40032746
38,5,6,54.13000914
137,5,6,49.40039856
123,2,7,38.69040639
6,3,7,55.71262043
115,4,7,38.76288176
14,5,7,35.82814756
95,5,7,57.39706274
2,1,8,44.09168174
101,2,8,35.44113109
110,2,8,50.13812647
40,3,8,49.57599547
67,3,8,38.40462319
112,3,8,39.51931013
54,5,8,52.204709
63,1,9,38.62374353
134,1,9,51.50674585
45,4,9,58.44840778
142,4,9,40.55434782
94,5,9,54.0265882
82,1,10,59.05896036
129,1,10,52.8837846
128,2,10,41.88875758
89,3,10,42.61411328
131,3,10,40.7044132
136,3,10,50.04026027
25,4,10,64.50983467
16,5,10,64.52218421
114,5,10,45.54974087
133,5,10,47.83949256
4,1,11,36.40331775
41,1,11,48.83351279
97,1,11,49.04355789
102,1,11,46.87020086
146,1,11,54.95406591
30,2,11,52.84858044
132,2,11,48.28655559
120,3,11,41.48920914
92,5,11,57.36334288
23,1,12,41.79763764
34,1,12,47.33240149
37,1,12,40.77396592
36,2,12,63.05172666
65,2,12,44.4066236
88,4,12,55.90292767
149,4,12,37.82715244
61,5,12,61.57329114
109,5,12,62.12319013
13,2,13,40.60892953
56,2,13,39.8339645
145,2,13,56.32473588
12,4,13,56.91378259
21,4,13,36.98224478
100,5,13,38.79808279
104,5,13,52.89669021
106,1,14,38.48596722
66,2,14,64.44382811
150,2,14,57.12008594
27,3,14,36.37710418
80,3,14,47.39904077
79,5,14,58.6298162
113,5,14,64.74853094
7,2,15,45.9622578
28,2,15,55.38231616
83,2,15,59.68436389
87,2,15,40.61631674
10,4,15,63.12038188
91,4,15,49.04859791
81,5,15,61.34791216
107,5,15,47.63820126
59,1,16,52.23919855
85,1,16,39.81936486
143,1,16,44.58706876
11,2,16,63.7118043
53,2,16,63.73606908
60,2,16,57.03641574
9,3,16,49.9985406
90,3,16,49.44122897
122,3,16,39.14559958
93,4,16,38.33821095
18,5,16,49.84931475
68,5,16,64.1795134
127,5,16,36.67499817
42,2,17,64.4517609
140,2,17,50.75214489
24,4,17,56.03098521
70,4,17,63.87700034
86,4,17,41.68226663
105,4,17,36.64489815
22,5,17,64.06758851
103,1,18,64.6667857
148,1,18,38.40802103
138,2,18,55.9303441
50,4,18,59.78619507
55,4,19,36.7394839
57,4,19,40.4929237
121,1,20,43.44180597
124,2,20,38.17991123
48,3,20,41.12708974
3,4,20,38.4723184
31,4,21,37.73044496
33,4,21,36.13312321
135,3,22,59.37576043
47,4,22,51.14671974
51,5,22,39.31626881
119,4,23,45.8934274
43,1,27,39.91374306
147,3,27,35.5552718
15,4,27,36.88169378
52,4,27,58.76139914
71,3,28,47.14949021
144,4,28,58.83768219
19,4,30,61.0137363
130,4,33,44.36408371
26,1,35,53.17296019
125,1,35,50.56612579
46,3,35,52.20518124
75,3,44,43.94928406
35,3,37,57.24475908
73,3,37,64.49005705
29,1,43,61.3949773
5,3,42,44.36102572
64,3,42,43.1260208
total distance: 2108,costs grid:18972,costs batteries:25000,total costs:43972,
Batterij:  1 16 30
Batterij:  2 28 29
Batterij:  3 13 45
Batterij:  4 44 3
Batterij:  5 3 7
