house,battery,distance,max_output_house,current_capacity_battery,total_distance
82,1,3,59.05896036,59.05896036,3
106,1,3,38.48596722,97.54492758,6
48,2,3,41.12708974,41.12708974,9
103,2,3,64.6667857,105.79387544000001,12
71,3,3,47.14949021,47.14949021,15
135,3,3,59.37576043,106.52525064,18
56,5,4,39.8339645,39.8339645,22
23,1,5,41.79763764,139.34256522,27
122,2,5,39.14559958,144.93947502,32
143,2,5,44.58706876,189.52654378,37
65,5,5,44.4066236,84.2405881,42
66,5,5,64.44382811,148.68441621,47
4,1,6,36.40331775,175.74588297000003,53
147,3,6,35.5552718,142.08052243999998,59
10,4,6,63.12038188,63.12038188,65
123,5,6,38.69040639,187.3748226,71
59,1,7,52.23919855,227.98508152000002,78
27,2,7,36.37710418,225.90364796,85
80,2,7,47.39904077,273.30268873,92
85,2,7,39.81936486,313.12205359,99
47,4,7,51.14671974,114.26710162,106
53,5,7,63.73606908,251.11089167999998,113
62,1,8,54.48982494,282.47490646,121
57,4,8,40.4929237,154.76002532,129
87,4,8,40.61631674,195.37634206,137
13,5,8,40.60892953,291.71982120999996,145
9,3,9,49.9985406,192.07906304,154
90,3,9,49.44122897,241.52029201,163
36,4,9,63.05172666,258.42806872,172
88,4,9,55.90292767,314.33099639,181
49,5,9,48.50865344,340.22847464999995,190
74,5,9,62.88141752,403.10989216999997,199
116,5,9,54.907644,458.01753616999997,208
97,2,10,49.04355789,362.16561148,218
11,3,10,63.7118043,305.23209631,228
84,1,11,49.50781665,331.98272311,239
37,2,11,40.77396592,402.9395774,250
89,2,11,42.61411328,445.55369068000005,261
121,2,11,43.44180597,488.99549665000006,272
131,2,11,40.7044132,529.69990985,283
83,3,11,59.68436389,364.91646019999996,294
60,4,11,57.03641574,371.36741213,305
124,4,11,38.17991123,409.54732336,316
150,4,11,57.12008594,466.66740930000003,327
22,1,12,64.06758851,396.05031162,339
141,1,12,60.91065902,456.96097064,351
63,2,12,38.62374353,568.32365338,363
35,3,12,57.24475908,422.16121927999995,375
15,4,12,36.88169378,503.54910308,387
28,4,12,55.38231616,558.93141924,399
33,4,12,36.13312321,595.06454245,411
52,4,12,58.76139914,653.82594159,423
