house,battery,distance,max_output_house
85,2,1,59.68412189
146,2,5,49.16852893
65,3,5,59.63813712
73,4,5,31.97506792
102,1,6,66.45865072
125,1,6,69.53106382
48,5,6,29.93133051
144,3,8,30.41692196
59,2,7,31.4973607
44,3,7,58.90934923
66,5,7,44.14228862
38,1,8,66.05341632
101,2,10,64.25603513
127,3,13,41.23924682
21,3,8,41.78571625
79,3,8,60.5787997
58,5,8,28.04976611
83,1,9,32.56142196
115,1,9,33.56390131
67,4,9,28.73871494
32,5,9,41.7880369
95,5,9,70.68631843
14,3,13,39.45690812
22,1,10,59.91115918
122,1,10,39.85726456
106,5,10,68.63304898
63,5,11,38.5524821
40,1,12,51.94608562
61,1,12,49.93687743
126,2,16,72.11411933
130,1,12,50.53984719
13,3,12,39.13247939
72,1,13,38.85647001
113,1,13,37.81128037
49,3,13,60.7690834
56,3,13,29.51140333
31,4,13,54.25835415
27,5,13,38.13617191
35,5,13,53.08761347
97,5,13,46.25506287
117,5,13,63.30973309
135,3,17,60.8375359
110,3,14,29.90737428
9,5,14,63.19785578
96,5,14,74.53947279
41,3,15,57.11814462
47,4,15,46.63929091
109,4,15,51.84271486
90,5,15,74.82543524
28,5,16,29.83002147
16,1,17,60.40913294
42,1,17,29.34726889
145,2,21,74.26615041
80,5,17,47.17876571
91,5,17,34.78697213
33,1,18,72.88165705
119,1,18,47.29043731
143,1,18,42.32972013
114,4,18,73.40226925
137,4,18,43.0013272
11,1,19,40.20336825
12,1,19,53.03976583
87,1,19,56.03511409
81,3,19,55.93567156
23,4,19,71.42208448
92,5,19,46.65642768
45,1,20,45.14508246
5,5,20,62.43058175
10,5,20,65.00367928
20,1,21,29.92408755
24,3,21,37.23961036
3,4,21,39.82123377
19,4,21,38.72179636
51,4,21,60.96696147
131,4,21,63.13649746
62,5,21,65.6434655
93,5,21,60.03957103
147,5,21,71.35472201
121,3,22,67.12368936
70,4,22,66.07952654
86,4,22,30.57764452
118,4,22,26.81272998
138,3,23,70.34144168
4,1,45,46.4333204
18,5,23,57.77286486
25,5,23,70.21473166
37,5,23,38.71047582
120,5,23,54.40644245
103,2,24,38.3766668
7,3,24,52.43116675
94,4,24,29.26065385
124,4,24,41.46231813
148,2,25,66.78438663
75,4,25,40.72933179
128,3,26,33.61818802
2,2,28,66.13020717
139,4,26,52.07076394
77,2,27,57.15314373
98,4,27,33.30314048
107,4,27,62.33504063
132,4,27,38.24420236
149,4,27,56.65609954
6,1,22,62.14055349
53,3,28,70.02856894
68,4,28,35.97663002
99,4,29,70.41480105
34,4,30,62.0133643
100,4,30,39.37298309
104,4,31,26.65336877
136,4,31,29.1671214
29,3,32,74.15296092
46,3,32,44.75870431
88,4,32,38.69411298
55,3,34,31.03872389
39,4,34,45.33453242
57,3,38,63.87594515
133,2,36,76.1538049
26,2,37,61.05026554
8,3,37,30.48448777
69,2,38,57.19809379
52,3,38,45.9393011
50,2,39,55.74063546
30,2,40,68.6532457
36,2,40,52.08494864
54,2,40,26.27681146
84,2,40,55.75694271
134,3,40,43.28587772
116,2,41,33.96614241
141,3,41,29.86780761
71,1,36,75.8473443
74,1,36,38.37311881
140,2,42,63.12900053
1,2,43,53.97543253
111,3,43,58.40033018
43,2,44,37.28002017
76,3,45,53.27408283
105,2,44,32.63123071
123,2,44,29.43663895
129,2,44,44.9319234
142,2,44,66.97873982
78,2,45,56.14106998
82,4,41,67.70113184
17,3,45,27.78076375
89,1,41,64.25056806
15,2,46,53.84443114
64,1,42,48.15325636
108,1,42,41.71675352
60,1,43,45.25994244
150,5,25,26.19979919
112,5,24,38.50460131
total distance: 3481,costs grid:31329,costs batteries:25000,total costs:56329,
