house,battery,distance,max_output_house
49,5,0,54.16981224
18,1,1,54.18469088
120,3,1,45.17557463
129,1,2,49.54607954
40,2,3,54.91354462
142,3,3,51.83878558
26,5,3,46.26812357
86,5,3,53.32105133
147,5,3,51.07946117
93,1,4,45.29702228
31,1,5,51.95373609
52,1,5,47.37788381
125,1,5,46.43816048
122,2,5,50.20207187
131,3,5,47.92097158
69,4,5,51.72717898
87,5,5,50.63918945
95,5,5,45.31733653
54,1,6,48.14242474
110,1,6,53.26904882
44,2,6,54.54461427
66,2,6,46.05322103
117,2,6,53.95936785
46,3,6,49.86535747
97,3,6,52.38040091
65,4,6,49.65236115
72,4,6,49.13738507
104,4,6,53.76285577
1,5,6,51.94411629
27,5,6,53.63368373
116,5,6,51.79628813
124,5,6,53.34058355
10,1,7,51.86891316
36,3,7,53.46156177
33,5,7,54.2211502
74,5,7,48.0219944
81,5,7,53.15980812
2,1,8,47.82087397
25,1,8,47.34915773
29,1,8,46.60969509
139,2,8,52.57995149
75,3,8,45.78474275
43,4,8,48.85814641
88,4,8,52.2305101
106,5,8,45.61104522
134,1,9,47.56339729
39,2,9,48.27297674
109,2,9,50.30256407
118,2,9,49.52760828
108,3,9,51.58057128
132,2,12,48.43719875
119,4,12,46.13662116
12,2,10,54.99730646
130,2,10,54.56844455
145,2,10,48.22881096
80,3,10,45.2342213
37,2,11,49.79974209
91,5,10,54.53006205
103,3,11,50.91041056
105,3,11,47.6825473
107,3,11,53.3512745
19,2,14,46.63089313
28,4,11,52.96938435
32,4,11,54.30849405
22,5,11,53.98009231
71,1,12,52.78210048
121,1,12,51.57104914
13,3,12,47.04037014
102,3,12,53.48855448
136,3,12,45.25109877
11,4,12,46.8033198
92,4,12,46.51627586
114,4,12,53.12331423
68,5,12,48.54997218
83,5,12,46.01918212
35,1,13,46.9524009
6,3,13,45.24272018
150,3,13,47.73944395
17,4,13,49.07862835
34,4,13,52.58547404
82,5,13,50.30051709
84,1,14,50.8435769
5,3,14,54.14676516
41,3,14,50.04190502
24,4,14,46.75613739
127,4,14,53.08724525
128,4,14,53.63429606
61,5,14,46.46747877
50,1,15,48.01065715
59,1,15,52.0929123
15,3,15,45.54596912
51,3,15,50.55356632
123,3,15,54.7990422
55,5,15,49.72629004
56,5,15,46.01633925
60,5,15,45.5472391
90,5,15,52.8088529
14,1,16,50.25432556
16,1,16,49.93506537
100,1,16,54.12515118
138,1,16,47.97674042
3,4,16,51.81241388
48,4,16,53.35585729
96,4,16,50.16548949
111,4,16,46.65187897
126,2,19,48.72125695
57,2,24,51.03867367
137,4,21,53.54773542
141,5,16,48.94518723
45,1,17,47.94582721
53,2,17,48.60918505
58,2,17,48.4395487
7,3,17,46.74039375
8,3,17,54.75398768
64,3,17,49.93311335
144,2,20,48.74438962
38,3,18,51.75273225
85,3,18,53.95360569
67,5,18,48.70842308
115,5,18,48.31035497
42,1,19,54.22966024
79,3,19,53.71601636
99,1,23,52.05437525
149,2,20,46.27510427
148,3,20,48.82801588
63,4,20,45.40186719
30,1,21,45.84094791
78,1,21,47.99198559
112,1,21,51.54326497
140,4,21,47.67000862
94,2,26,47.09131203
21,1,27,52.92581641
113,2,23,50.38289294
4,2,30,53.11777253
23,2,24,52.91142802
62,4,24,48.25043584
98,4,24,47.58049297
77,2,26,49.79777396
143,2,27,47.71839737
76,2,31,52.98566399
9,5,23,47.72196575
70,2,38,51.62646163
101,2,39,45.16959822
73,4,34,52.76961749
146,4,32,48.23526882
135,4,34,47.77817151
47,5,20,46.38651333
133,4,27,50.74878243
20,5,20,48.43740503
89,3,24,51.82639703
total distance: 2047,costs grid:18423,costs batteries:25000,total costs:43423,
Batterij:  1 44 45
Batterij:  2 1 42
Batterij:  3 39 8
Batterij:  4 10 30
Batterij:  5 16 19
