house,battery,distance,max_output_house,current_capacity_battery
1,4,49,53.97543253,53.97543253
2,4,26,66.13020717,120.10563970000001
3,3,51,39.82123377,39.82123377
4,2,15,46.4333204,46.4333204
5,3,26,62.43058175,102.25181552000001
6,4,30,62.14055349,182.24619319
7,4,39,52.43116675,234.67735994000003
8,1,47,30.48448777,30.48448777
9,1,21,63.19785578,93.68234355
10,2,18,65.00367928,111.43699968
11,2,39,40.20336825,151.64036793
12,5,6,53.03976583,53.03976583
13,4,57,39.13247939,273.80983933000005
14,2,30,39.45690812,191.09727605
15,2,12,53.84443114,244.94170719
16,3,23,60.40913294,162.66094846000001
17,4,22,27.78076375,301.59060308000005
18,1,18,57.77286486,151.45520841
19,3,11,38.72179636,201.38274482000003
20,3,11,29.92408755,231.30683237000002
21,4,65,41.78571625,343.37631933000006
22,3,22,59.91115918,291.21799155
23,2,17,71.42208448,316.36379166999996
24,5,13,37.23961036,90.27937619
25,1,12,70.21473166,221.66994007
26,3,25,61.05026554,352.26825709
27,2,33,38.13617191,354.49996358
28,1,25,29.83002147,251.49996154
29,4,31,74.15296092,417.52928025000006
30,2,6,68.6532457,423.15320928
31,5,48,54.25835415,144.53773034
32,1,32,41.7880369,293.28799843999997
33,5,5,72.88165705,217.41938739
34,3,14,62.0133643,414.28162139
35,1,22,53.08761347,346.37561191
36,5,23,52.08494864,269.50433603
37,3,29,38.71047582,452.99209721
38,2,28,66.05341632,489.2066256
39,3,8,45.33453242,498.32662963
40,1,21,51.94608562,398.32169753
41,3,30,57.11814462,555.44477425
42,3,19,29.34726889,584.79204314
43,1,21,37.28002017,435.6017177
44,3,50,58.90934923,643.70139237
45,3,12,45.14508246,688.84647483
46,4,31,44.75870431,462.28798456000004
47,3,33,46.63929091,735.48576574
48,4,24,29.93133051,492.21931507000005
49,1,35,60.7690834,496.3708011
50,5,28,55.74063546,325.24497149
51,1,16,60.96696147,557.33776257
52,5,30,45.9393011,371.18427259000003
53,3,23,70.02856894,805.51433468
54,4,52,26.27681146,518.4961265300001
55,4,29,31.03872389,549.5348504200001
56,4,50,29.51140333,579.0462537500001
57,4,25,63.87594515,642.9221989000001
58,4,10,28.04976611,670.9719650100001
59,3,37,31.4973607,837.01169538
60,1,42,45.25994244,602.59770501
61,2,24,49.93687743,539.14350303
62,2,17,65.6434655,604.7869685300001
63,5,54,38.5524821,409.73675469000005
64,3,26,48.15325636,885.16495174
65,1,51,59.63813712,662.23584213
66,4,21,44.14228862,715.1142536300001
67,3,29,28.73871494,913.90366668
68,1,37,35.97663002,698.21247215
69,3,24,57.19809379,971.10176047
70,2,18,66.07952654,670.86649507
71,4,18,75.8473443,790.9615979300002
72,5,12,38.85647001,448.59322470000006
73,1,28,31.97506792,730.1875400700001
74,5,23,38.37311881,486.96634351000006
75,3,37,40.72933179,1011.8310922600001
76,4,20,53.27408283,844.2356807600002
77,4,27,57.15314373,901.3888244900002
78,5,28,56.14106998,543.10741349
79,3,53,60.5787997,1072.40989196
80,2,31,47.17876571,718.04526078
81,5,7,55.93567156,599.04308505
82,2,11,67.70113184,785.74639262
83,1,30,32.56142196,762.74896203
84,5,23,55.75694271,654.8000277599999
85,5,20,59.68412189,714.48414965
86,1,21,30.57764452,793.3266065500001
87,4,31,56.03511409,957.4239385800001
88,1,13,38.69411298,832.0207195300001
89,4,19,64.25056806,1021.6745066400001
90,2,23,74.82543524,860.5718278600001
91,2,21,34.78697213,895.3587999900001
92,4,33,46.65642768,1068.33093432
93,1,14,60.03957103,892.0602905600001
94,2,6,29.26065385,924.6194538400001
95,4,25,70.68631843,1139.0172527500001
96,1,27,74.53947279,966.5997633500001
97,1,22,46.25506287,1012.8548262200001
98,2,9,33.30314048,957.9225943200001
99,4,65,70.41480105,1209.4320538000002
100,2,12,39.37298309,997.2955774100002
101,2,24,64.25603513,1061.5516125400002
102,5,9,66.45865072,780.94280037
103,3,12,38.3766668,1110.7865587600002
104,5,52,26.65336877,807.59616914
105,3,8,32.63123071,1143.4177894700001
106,4,10,68.63304898,1278.0651027800002
107,3,17,62.33504063,1205.7528301000002
108,2,14,41.71675352,1103.26836606
109,1,18,51.84271486,1064.69754108
110,5,12,29.90737428,837.50354342
111,5,27,58.40033018,895.9038736
112,1,29,38.50460131,1103.20214239
113,3,19,37.81128037,1243.5641104700003
114,2,14,73.40226925,1176.67063531
115,4,41,33.56390131,1311.62900409
116,1,4,33.96614241,1137.1682848
117,5,44,63.30973309,959.21360669
118,5,37,26.81272998,986.02633667
119,3,16,47.29043731,1290.8545477800003
120,1,36,54.40644245,1191.57472725
121,3,23,67.12368936,1357.9782371400004
122,5,9,39.85726456,1025.88360123
123,3,10,29.43663895,1387.4148760900005
124,4,50,41.46231813,1353.0913222200002
125,5,19,69.53106382,1095.4146650500002
126,2,30,72.11411933,1248.78475464
127,2,30,41.23924682,1290.0240014600001
128,5,18,33.61818802,1129.03285307
129,3,12,44.9319234,1432.3467994900004
130,1,21,50.53984719,1242.11457444
131,2,15,63.13649746,1353.1604989200002
132,5,62,38.24420236,1167.27705543
133,4,22,76.1538049,1429.2451271200002
134,1,52,43.28587772,1285.40045216
135,4,46,60.8375359,1490.0826630200002
136,3,35,29.1671214,1461.5139208900005
137,3,34,43.0013272,1504.5152480900006
138,1,39,70.34144168,1355.74189384
139,2,22,52.07076394,1405.2312628600002
140,5,25,63.12900053,1230.40605596
141,5,33,29.86780761,1260.27386357
142,5,27,66.97873982,1327.25260339
143,1,25,42.32972013,1398.07161397
144,5,18,30.41692196,1357.6695253500002
145,2,13,74.26615041,1479.4974132700002
146,1,32,49.16852893,1447.2401429000001
147,5,40,71.35472201,1429.0242473600001
148,5,8,66.78438663,1495.80863399
149,1,8,56.65609954,1503.8962424400002
150,2,33,26.19979919,1505.6972124600002
total distance: 3891,costs grid:35019,costs batteries:25000,total costs:60019,
