house,battery,distance,max_output_house,current_capacity_battery
1,2,24,53.97543253,53.97543253
2,1,14,66.13020717,66.13020717
3,5,18,39.82123377,39.82123377
4,3,32,46.4333204,46.4333204
5,3,37,62.43058175,108.86390215
6,3,11,62.14055349,171.00445564
7,1,11,52.43116675,118.56137392000001
8,3,25,30.48448777,201.48894341
9,1,44,63.19785578,181.7592297
10,5,39,65.00367928,104.82491304999999
11,2,26,40.20336825,94.17880077999999
12,3,8,53.03976583,254.52870923999998
13,5,42,39.13247939,143.95739243999998
14,1,10,39.45690812,221.21613782
15,2,1,53.84443114,148.02323192
16,4,7,60.40913294,60.40913294
17,3,29,27.78076375,282.30947298999996
18,2,14,57.77286486,205.79609678
19,5,24,38.72179636,182.67918879999996
20,1,15,29.92408755,251.14022537
21,1,25,41.78571625,292.92594162
22,3,21,59.91115918,342.22063216999993
23,4,19,71.42208448,131.83121742
24,3,15,37.23961036,379.46024252999996
25,4,21,70.21473166,202.04594908
26,3,28,61.05026554,440.51050806999996
27,5,46,38.13617191,220.81536070999996
28,4,34,29.83002147,231.87597055
29,3,22,74.15296092,514.66346899
30,1,38,68.6532457,361.57918732
31,1,51,54.25835415,415.83754147
32,3,52,41.7880369,556.4515058899999
33,1,4,72.88165705,488.71919852
34,4,12,62.0133643,293.88933485
35,1,45,53.08761347,541.80681199
36,3,23,52.08494864,608.5364545299999
37,5,46,38.71047582,259.52583653
38,3,5,66.05341632,674.5898708499999
39,2,9,45.33453242,251.1306292
40,3,21,51.94608562,726.5359564699999
41,3,11,57.11814462,783.6541010899998
42,4,35,29.34726889,323.23660374
43,3,27,37.28002017,820.9341212599998
44,5,27,58.90934923,318.43518575999997
45,1,10,45.14508246,586.95189445
46,3,24,44.75870431,865.6928255699997
47,4,9,46.63929091,369.87589465
48,1,64,29.93133051,616.88322496
49,5,43,60.7690834,379.20426915999997
50,2,8,55.74063546,306.87126466
51,5,12,60.96696147,440.17123062999997
52,4,61,45.9393011,415.81519575000004
53,4,49,70.02856894,485.84376469000006
54,2,27,26.27681146,333.14807612
55,2,46,31.03872389,364.18680000999996
56,2,43,29.51140333,393.69820333999996
57,1,15,63.87594515,680.75917011
58,4,36,28.04976611,513.8935308
59,5,14,31.4973607,471.66859132999997
60,3,30,45.25994244,910.9527680099998
61,2,31,49.93687743,443.63508076999995
62,4,23,65.6434655,579.5369963
63,3,54,38.5524821,949.5052501099998
64,4,52,48.15325636,627.69025266
65,5,29,59.63813712,531.3067284499999
66,2,18,44.14228862,487.77736938999993
67,1,37,28.73871494,709.49788505
68,2,41,35.97663002,523.7539994099999
69,1,24,57.19809379,766.6959788400001
70,1,54,66.07952654,832.77550538
71,3,25,75.8473443,1025.3525944099997
72,2,30,38.85647001,562.6104694199998
73,5,6,31.97506792,563.2817963699999
74,1,20,38.37311881,871.1486241900001
75,5,16,40.72933179,604.01112816
76,2,45,53.27408283,615.8845522499998
77,1,13,57.15314373,928.3017679200001
78,1,31,56.14106998,984.4428379000001
79,3,34,60.5787997,1085.9313941099997
80,3,48,47.17876571,1133.1101598199998
81,1,4,55.93567156,1040.37850946
82,3,28,67.70113184,1200.8112916599998
83,3,10,32.56142196,1233.3727136199998
84,1,26,55.75694271,1096.13545217
85,5,18,59.68412189,663.69525005
86,3,43,30.57764452,1263.9503581399997
87,3,12,56.03511409,1319.9854722299997
88,1,22,38.69411298,1134.82956515
89,3,28,64.25056806,1384.2360402899997
90,1,43,74.82543524,1209.65500039
91,3,38,34.78697213,1419.0230124199998
92,3,36,46.65642768,1465.6794400999997
93,4,23,60.03957103,687.7298236900001
94,1,38,29.26065385,1238.9156542399999
95,2,20,70.68631843,686.5708706799999
96,2,23,74.53947279,761.1103434699999
97,1,45,46.25506287,1285.17071711
98,3,22,33.30314048,1498.9825805799996
99,2,40,70.41480105,831.5251445199999
100,4,14,39.37298309,727.1028067800002
101,4,18,64.25603513,791.3588419100001
102,2,39,66.45865072,897.98379524
103,4,26,38.3766668,829.7355087100001
104,5,22,26.65336877,690.3486188200001
105,4,18,32.63123071,862.36673942
106,5,49,68.63304898,758.9816678000001
107,4,9,62.33504063,924.70178005
108,5,33,41.71675352,800.6984213200001
109,4,9,51.84271486,976.54449491
110,4,37,29.90737428,1006.45186919
111,1,24,58.40033018,1343.57104729
112,4,36,38.50460131,1044.9564705
113,1,9,37.81128037,1381.38232766
114,5,9,73.40226925,874.1006905700001
115,5,16,33.56390131,907.6645918800001
116,2,6,33.96614241,931.9499376499999
117,4,33,63.30973309,1108.26620359
118,1,40,26.81272998,1408.1950576400002
119,2,27,47.29043731,979.2403749599999
120,2,32,54.40644245,1033.64681741
121,1,11,67.12368936,1475.3187470000003
122,5,29,39.85726456,947.5218564400001
123,1,30,29.43663895,1504.7553859500003
124,5,15,41.46231813,988.98417457
125,4,18,69.53106382,1177.7972674100001
126,4,28,72.11411933,1249.9113867400001
127,5,33,41.23924682,1030.22342139
128,5,56,33.61818802,1063.84160941
129,4,16,44.9319234,1294.84331014
130,2,31,50.53984719,1084.1866646
131,4,13,63.13649746,1357.9798076000002
132,4,31,38.24420236,1396.22400996
133,4,14,76.1538049,1472.3778148600002
134,2,48,43.28587772,1127.47254232
135,2,39,60.8375359,1188.31007822
136,4,9,29.1671214,1501.5449362600002
137,5,9,43.0013272,1106.8429366100002
138,2,35,70.34144168,1258.6515199
139,2,17,52.07076394,1310.72228384
140,5,29,63.12900053,1169.9719371400001
141,2,53,29.86780761,1340.59009145
142,2,5,66.97873982,1407.5688312700001
143,2,25,42.32972013,1449.8985514
144,2,48,30.41692196,1480.3154733600002
145,5,18,74.26615041,1244.23808755
146,5,22,49.16852893,1293.4066164800001
147,5,44,71.35472201,1364.76133849
148,5,36,66.78438663,1431.54572512
149,5,22,56.65609954,1488.20182466
150,2,20,26.19979919,1506.5152725500002
total distance: 4019,costs grid:36171,costs batteries:25000,total costs:61171,
