house,battery,distance,max_output_house,current_capacity_battery
1,1,48,48.76400191,48.76400191
2,5,22,44.09168174,44.09168174
3,2,62,38.4723184,38.4723184
4,5,9,36.40331775,80.49499949
5,2,51,44.36102572,82.83334411999999
6,3,10,55.71262043,55.71262043
7,1,36,45.9622578,94.72625971
8,3,38,36.90684143,92.61946186
9,2,29,49.9985406,132.83188472
10,4,32,63.12038188,63.12038188
11,1,37,63.7118043,158.43806401
12,1,38,56.91378259,215.3518466
13,1,22,40.60892953,255.96077613
14,5,21,35.82814756,116.32314704999999
15,3,55,36.88169378,129.50115564
16,3,39,64.52218421,194.02333985
17,4,40,39.38884807,102.50922994999999
18,1,18,49.84931475,305.81009088
19,5,51,61.0137363,177.33688335
20,3,18,62.28650955,256.3098494
21,1,38,36.98224478,342.79233566000005
22,4,67,64.06758851,166.57681845999997
23,3,29,41.79763764,298.10748704
24,4,54,56.03098521,222.60780366999995
25,3,66,64.50983467,362.61732171000006
26,3,54,53.17296019,415.7902819000001
27,1,26,36.37710418,379.16943984000005
28,1,36,55.38231616,434.55175600000007
29,1,53,61.3949773,495.94673330000006
30,3,37,52.84858044,468.63886234000006
31,4,64,37.73044496,260.33824862999995
32,5,51,47.48157843,224.81846178
33,4,26,36.13312321,296.47137183999996
34,4,36,47.33240149,343.80377332999996
35,4,11,57.24475908,401.04853240999995
36,1,33,63.05172666,558.9984599600001
37,1,14,40.77396592,599.7724258800001
38,4,86,54.13000914,455.17854155
39,4,33,57.01992312,512.19846467
40,3,5,49.57599547,518.21485781
41,1,7,48.83351279,648.6059386700001
42,2,57,64.4517609,197.28364562000002
43,5,25,39.91374306,264.73220484
44,4,40,64.79397046,576.99243513
45,4,38,58.44840778,635.44084291
46,1,47,52.20518124,700.8111199100001
47,5,31,51.14671974,315.87892458
48,3,7,41.12708974,559.34194755
49,5,31,48.50865344,364.38757802
50,1,33,59.78619507,760.5973149800001
51,5,30,39.31626881,403.70384683
52,4,20,58.76139914,694.20224205
53,1,19,63.73606908,824.3333840600001
54,5,24,52.204709,455.90855582999995
55,1,32,36.7394839,861.07286796
56,4,50,39.8339645,734.03620655
57,4,28,40.4929237,774.52913025
58,5,11,61.5437326,517.45228843
59,5,14,52.23919855,569.6914869799999
60,1,37,57.03641574,918.1092837000001
61,5,14,61.57329114,631.26477812
62,3,24,54.48982494,613.8317724899999
63,3,10,38.62374353,652.4555160199999
64,4,6,43.1260208,817.65515105
65,4,49,44.4066236,862.06177465
66,1,15,64.44382811,982.5531118100001
67,4,44,38.40462319,900.46639784
68,3,45,64.1795134,716.6350294199999
69,1,26,40.87885768,1023.4319694900001
70,4,64,63.87700034,964.34339818
71,1,50,47.14949021,1070.5814597
72,4,82,58.3986013,1022.74199948
73,3,50,64.49005705,781.1250864699999
74,4,37,62.88141752,1085.623417
75,4,12,43.94928406,1129.57270106
76,1,24,50.35807729,1120.93953699
77,3,17,56.40032746,837.5254139299999
78,4,36,60.93412813,1190.5068291900002
79,5,2,58.6298162,689.89459432
80,3,9,47.39904077,884.9244546999998
81,3,44,61.34791216,946.2723668599998
82,2,37,59.05896036,256.34260598000003
83,3,27,59.68436389,1005.9567307499998
84,4,44,49.50781665,1240.0146458400002
85,3,15,39.81936486,1045.7760956099999
86,1,34,41.68226663,1162.62180362
87,5,44,40.61631674,730.51091106
88,5,41,55.90292767,786.41383873
89,4,46,42.61411328,1282.6287591200003
90,2,29,49.44122897,305.78383495
91,1,48,49.04859791,1211.67040153
92,3,24,57.36334288,1103.1394384899997
93,2,66,38.33821095,344.12204590000005
94,2,46,54.0265882,398.14863410000004
95,2,32,57.39706274,455.54569684000006
96,2,23,43.25342339,498.7991202300001
97,2,16,49.04355789,547.8426781200001
98,4,33,63.56837786,1346.1971369800003
99,4,50,58.39362925,1404.5907662300003
100,4,71,38.79808279,1443.3888490200004
101,2,42,35.44113109,583.2838092100001
102,3,18,46.87020086,1150.0096393499998
103,4,56,64.6667857,1508.0556347200004
104,2,24,52.89669021,636.18049942
105,3,57,36.64489815,1186.6545374999998
106,1,10,38.48596722,1250.15636875
107,3,36,47.63820126,1234.2927387599998
108,2,86,63.8665196,700.04701902
109,5,6,62.12319013,848.53702886
110,5,39,50.13812647,898.6751553299999
111,2,35,45.04775519,745.09477421
112,3,21,39.51931013,1273.8120488899997
113,5,22,64.74853094,963.42368627
114,5,14,45.54974087,1008.97342714
115,5,46,38.76288176,1047.7363089
116,3,28,54.907644,1328.7196928899996
117,5,20,57.5929688,1105.3292777000001
118,1,30,54.51204967,1304.6684184199999
119,5,30,45.8934274,1151.2227051000002
120,3,24,41.48920914,1370.2089020299995
121,3,19,43.44180597,1413.6507079999994
122,3,3,39.14559958,1452.7963075799994
123,2,39,38.69040639,783.7851806
124,2,60,38.17991123,821.96509183
125,5,55,50.56612579,1201.78883089
126,5,26,54.8377261,1256.6265569900002
127,5,8,36.67499817,1293.3015551600001
128,2,30,41.88875758,863.85384941
129,5,10,52.8837846,1346.18533976
130,5,54,44.36408371,1390.54942347
131,3,3,40.7044132,1493.5007207799995
132,2,29,48.28655559,912.140405
133,1,16,47.83949256,1352.50791098
134,5,11,51.50674585,1442.05616932
135,2,35,59.37576043,971.51616543
136,2,13,50.04026027,1021.5564257
137,1,20,49.40039856,1401.90830954
138,1,39,55.9303441,1457.8386536399998
139,2,12,41.16116018,1062.71758588
140,2,41,50.75214489,1113.4697307699998
141,5,19,60.91065902,1502.96682834
142,1,42,40.55434782,1498.3930014599998
143,2,11,44.58706876,1158.0567995299998
144,2,56,58.83768219,1216.8944817199997
145,2,35,56.32473588,1273.2192175999996
146,2,24,54.95406591,1328.1732835099997
147,2,40,35.5552718,1363.7285553099996
148,2,19,38.40802103,1402.1365763399997
149,2,74,37.82715244,1439.9637287799997
150,2,50,57.12008594,1497.0838147199997
total distance: 4999,costs grid:44991,costs batteries:25000,total costs:69991,
