house,battery,distance,max_output_house
56,4,1,29.51140333
41,2,2,57.11814462
81,2,2,55.93567156
110,4,2,29.90737428
21,1,3,41.78571625
49,4,3,60.7690834
135,4,3,60.8375359
136,5,3,29.1671214
24,2,4,37.23961036
47,3,4,46.63929091
109,3,4,51.84271486
94,5,4,29.26065385
121,2,5,67.12368936
75,5,5,40.72933179
44,1,6,58.90934923
65,1,6,59.63813712
138,2,6,70.34144168
67,3,6,28.73871494
118,5,6,26.81272998
144,1,7,30.41692196
7,2,7,52.43116675
114,3,7,73.40226925
137,3,7,43.0013272
14,4,7,39.45690812
26,5,7,61.05026554
51,5,7,60.96696147
31,3,8,54.25835415
73,3,8,31.97506792
13,4,8,39.13247939
83,4,8,32.56142196
30,5,8,68.6532457
86,5,8,30.57764452
100,5,8,39.37298309
124,5,8,41.46231813
79,1,9,60.5787997
85,1,9,59.68412189
42,2,9,29.34726889
128,2,9,33.61818802
38,4,9,66.05341632
127,4,9,41.23924682
50,5,9,55.74063546
33,2,10,72.88165705
23,3,10,71.42208448
54,5,10,26.27681146
53,2,11,70.02856894
70,3,11,66.07952654
102,4,11,66.45865072
126,4,11,72.11411933
1,5,11,53.97543253
16,5,11,60.40913294
116,5,11,33.96614241
119,2,12,47.29043731
113,4,12,37.81128037
59,1,13,31.4973607
146,1,13,49.16852893
11,2,13,40.20336825
61,4,13,49.93687743
122,4,13,39.85726456
82,5,13,67.70113184
98,5,13,33.30314048
143,2,14,42.32972013
108,5,14,41.71675352
140,5,14,63.12900053
12,2,15,53.03976583
29,2,15,74.15296092
46,2,15,44.75870431
130,3,15,50.53984719
104,5,15,26.65336877
107,5,15,62.33504063
6,2,16,62.14055349
45,2,16,45.14508246
103,2,16,38.3766668
3,3,16,39.82123377
72,4,16,38.85647001
15,5,16,53.84443114
40,5,16,51.94608562
55,2,17,31.03872389
148,2,17,66.78438663
22,3,17,59.91115918
4,5,17,46.4333204
145,5,17,74.26615041
101,1,18,64.25603513
125,1,18,69.53106382
115,3,18,33.56390131
87,4,18,56.03511409
34,5,18,62.0133643
77,2,19,57.15314373
25,5,19,70.21473166
62,5,19,65.6434655
93,5,19,60.03957103
131,5,19,63.13649746
2,2,20,66.13020717
8,2,20,30.48448777
99,3,20,70.41480105
19,4,20,38.72179636
20,4,20,29.92408755
52,2,21,45.9393011
57,2,21,63.87594515
68,3,21,35.97663002
139,2,22,52.07076394
132,3,22,38.24420236
134,2,23,43.28587772
133,3,23,76.1538049
141,2,24,29.86780761
149,3,24,56.65609954
39,3,27,45.33453242
88,3,29,38.69411298
105,3,29,32.63123071
129,3,29,44.9319234
142,3,29,66.97873982
74,4,29,38.37311881
111,4,29,58.40033018
89,3,30,64.25056806
84,3,31,55.75694271
17,4,31,27.78076375
76,4,31,53.27408283
69,4,33,57.19809379
36,4,35,52.08494864
71,4,35,75.8473443
78,3,36,56.14106998
10,3,37,65.00367928
43,3,37,37.28002017
92,3,38,46.65642768
150,2,39,26.19979919
123,4,39,29.43663895
64,4,41,48.15325636
60,4,42,45.25994244
112,4,43,38.50460131
120,4,48,54.40644245
5,4,49,62.43058175
91,4,50,34.78697213
18,1,63,57.77286486
90,1,65,74.82543524
147,1,65,71.35472201
9,1,66,63.19785578
27,1,67,38.13617191
35,1,67,53.08761347
37,1,67,38.71047582
97,1,67,46.25506287
117,1,69,63.30973309
28,1,70,29.83002147
106,1,70,68.63304898
58,1,72,28.04976611
96,1,72,74.53947279
66,1,73,44.14228862
80,1,73,47.17876571
95,1,75,70.68631843
32,1,77,41.7880369
63,1,79,38.5524821
48,1,86,29.93133051
total distance: 3557,costs grid:32013,costs batteries:25000,total costs:57013,
