house,battery,distance,max_output_house,current_capacity_battery
1,2,43,53.97543253,53.97543253
2,4,26,66.13020717,66.13020717
3,5,47,39.82123377,39.82123377
4,2,49,46.4333204,100.40875292999999
5,4,50,62.43058175,128.56078892
6,1,22,62.14055349,62.14055349
7,4,49,52.43116675,180.99195566999998
8,4,58,30.48448777,211.47644343999997
9,4,54,63.19785578,274.67429921999997
10,2,52,65.00367928,165.41243221
11,4,41,40.20336825,314.87766746999995
12,2,25,53.03976583,218.45219803999998
13,1,17,39.13247939,101.27303288
14,1,10,39.45690812,140.729941
15,4,42,53.84443114,368.72209860999993
16,3,30,60.40913294,60.40913294
17,1,40,27.78076375,168.51070475
18,3,64,57.77286486,118.1819978
19,3,34,38.72179636,156.90379416000002
20,1,21,29.92408755,198.4347923
21,1,15,41.78571625,240.22050855
22,1,10,59.91115918,300.13166773
23,2,31,71.42208448,289.87428251999995
24,4,48,37.23961036,405.9617089699999
25,4,45,70.21473166,476.1764406299999
26,3,46,61.05026554,217.95405970000002
27,3,68,38.13617191,256.09023161000005
28,1,58,29.83002147,329.9616892
29,4,55,74.15296092,550.3294015499998
30,1,36,68.6532457,398.61493490000004
31,1,35,54.25835415,452.87328905000004
32,2,69,41.7880369,331.66231941999996
33,5,54,72.88165705,112.70289082
34,4,30,62.0133643,612.3427658499999
35,5,13,53.08761347,165.79050429
36,1,36,52.08494864,504.95823769000003
37,5,23,38.71047582,204.50098011
38,2,14,66.05341632,397.71573573999996
39,2,38,45.33453242,443.05026816
40,5,56,51.94608562,256.44706573
41,1,20,57.11814462,562.07638231
42,5,55,29.34726889,285.79433462000003
43,1,40,37.28002017,599.35640248
44,1,18,58.90934923,658.26575171
45,4,38,45.14508246,657.4878483099999
46,3,32,44.75870431,300.84893592000003
47,4,15,46.63929091,704.1271392199999
48,5,6,29.93133051,315.72566513000004
49,3,13,60.7690834,361.61801932000003
50,2,39,55.74063546,498.79090362
51,2,25,60.96696147,559.75786509
52,3,38,45.9393011,407.55732042000005
53,2,37,70.02856894,629.78643403
54,1,36,26.27681146,684.54256317
55,2,45,31.03872389,660.82515792
56,2,22,29.51140333,690.33656125
57,4,51,63.87594515,768.0030843699999
58,1,60,28.04976611,712.59232928
59,2,7,31.4973607,721.8339219500001
60,3,56,45.25994244,452.81726286
61,1,12,49.93687743,762.5292067099999
62,3,60,65.6434655,518.4607283600001
63,5,11,38.5524821,354.27814723000006
64,3,55,48.15325636,566.6139847200001
65,3,5,59.63813712,626.2521218400001
66,2,65,44.14228862,765.9762105700001
67,1,21,28.73871494,791.26792165
68,3,53,35.97663002,662.2287518600001
69,4,54,57.19809379,825.2011781599999
70,3,43,66.07952654,728.3082784000001
71,2,42,75.8473443,841.8235548700002
72,3,26,38.85647001,767.16474841
73,5,63,31.97506792,386.2532151500001
74,2,42,38.37311881,880.1966736800002
75,5,43,40.72933179,426.9825469400001
76,2,44,53.27408283,933.4707565100002
77,5,45,57.15314373,484.1356906700001
78,2,45,56.14106998,989.6118264900002
79,4,21,60.5787997,885.7799778599999
80,2,65,47.17876571,1036.7905922000002
81,3,19,55.93567156,823.1004199700001
82,1,41,67.70113184,858.96905349
83,2,15,32.56142196,1069.3520141600002
84,2,40,55.75694271,1125.1089568700002
85,1,7,59.68412189,918.65317538
86,1,32,30.57764452,949.2308199
87,3,32,56.03511409,879.13553406
88,4,32,38.69411298,924.4740908399999
89,2,45,64.25056806,1189.3595249300001
90,5,15,74.82543524,558.9611259100001
91,3,64,34.78697213,913.92250619
92,3,62,46.65642768,960.57893387
93,2,51,60.03957103,1249.39909596
94,4,24,29.26065385,953.73474469
95,3,76,70.68631843,1031.2652523
96,5,14,74.53947279,633.5005987000001
