house,battery,distance,max_output_house,current_capacity_battery
1,1,39,53.97543253,53.97543253
2,1,24,66.13020717,120.10563970000001
3,1,43,39.82123377,159.92687347
4,1,45,46.4333204,206.36019387
5,1,50,62.43058175,268.79077562
6,1,22,62.14055349,330.93132911
7,1,27,52.43116675,383.36249585999997
8,1,36,30.48448777,413.84698362999995
9,1,54,63.19785578,477.04483940999995
10,1,48,65.00367928,542.0485186899999
11,1,19,40.20336825,582.25188694
12,1,19,53.03976583,635.2916527699999
13,1,17,39.13247939,674.4241321599999
14,1,10,39.45690812,713.8810402799999
15,1,42,53.84443114,767.7254714199998
16,1,17,60.40913294,828.1346043599998
17,1,40,27.78076375,855.9153681099998
18,1,51,57.77286486,913.6882329699998
19,1,21,38.72179636,952.4100293299998
20,1,21,29.92408755,982.3341168799998
21,1,15,41.78571625,1024.1198331299997
22,1,10,59.91115918,1084.0309923099996
23,1,37,71.42208448,1155.4530767899996
24,1,26,37.23961036,1192.6926871499995
25,1,45,70.21473166,1262.9074188099996
26,1,33,61.05026554,1323.9576843499997
27,1,55,38.13617191,1362.0938562599997
28,1,58,29.83002147,1391.9238777299997
29,1,33,74.15296092,1466.0768386499997
30,1,36,68.6532457,1534.7300843499997
31,1,35,54.25835415,1588.9884384999998
32,1,65,41.7880369,1630.7764753999998
33,1,18,72.88165705,1703.6581324499998
34,1,30,62.0133643,1765.6714967499997
35,1,55,53.08761347,1818.7591102199997
36,1,36,52.08494864,1870.8440588599997
37,1,55,38.71047582,1909.5545346799997
38,1,8,66.05341632,1975.6079509999997
39,1,34,45.33453242,2020.9424834199997
40,1,12,51.94608562,2072.8885690399998
41,1,20,57.11814462,2130.0067136599996
42,1,17,29.34726889,2159.3539825499997
43,1,40,37.28002017,2196.63400272
44,1,18,58.90934923,2255.5433519499998
45,1,20,45.14508246,2300.68843441
46,1,35,44.75870431,2345.44713872
47,1,25,46.63929091,2392.08642963
48,1,74,29.93133051,2422.01776014
49,1,18,60.7690834,2482.78684354
50,1,35,55.74063546,2538.527479
51,1,27,60.96696147,2599.49444047
52,1,43,45.9393011,2645.43374157
53,1,31,70.02856894,2715.46231051
54,1,36,26.27681146,2741.73912197
55,1,39,31.03872389,2772.7778458599996
56,1,16,29.51140333,2802.2892491899997
57,1,29,63.87594515,2866.1651943399997
58,1,60,28.04976611,2894.2149604499996
59,1,13,31.4973607,2925.7123211499998
60,1,43,45.25994244,2970.97226359
61,1,12,49.93687743,3020.90914102
62,1,47,65.6434655,3086.5526065199997
63,1,67,38.5524821,3125.1050886199996
64,1,42,48.15325636,3173.2583449799995
65,1,18,59.63813712,3232.8964820999995
66,1,61,44.14228862,3277.0387707199993
67,1,21,28.73871494,3305.7774856599995
68,1,48,35.97663002,3341.7541156799994
69,1,34,57.19809379,3398.952209469999
70,1,38,66.07952654,3465.0317360099993
71,1,36,75.8473443,3540.879080309999
72,1,13,38.85647001,3579.735550319999
73,1,19,31.97506792,3611.7106182399993
74,1,36,38.37311881,3650.0837370499994
75,1,29,40.72933179,3690.8130688399992
76,1,38,53.27408283,3744.087151669999
77,1,23,57.15314373,3801.240295399999
78,1,41,56.14106998,3857.381365379999
79,1,21,60.5787997,3917.960165079999
80,1,61,47.17876571,3965.138930789999
81,1,20,55.93567156,4021.074602349999
82,1,41,67.70113184,4088.775734189999
83,1,9,32.56142196,4121.337156149999
84,1,36,55.75694271,4177.094098859999
85,1,7,59.68412189,4236.778220749999
86,1,32,30.57764452,4267.3558652699985
87,1,19,56.03511409,4323.390979359999
88,1,32,38.69411298,4362.0850923399985
89,1,41,64.25056806,4426.335660399998
90,1,53,74.82543524,4501.161095639998
91,1,51,34.78697213,4535.9480677699985
92,1,49,46.65642768,4582.6044954499985
93,1,47,60.03957103,4642.644066479998
94,1,24,29.26065385,4671.904720329999
95,1,63,70.68631843,4742.591038759999
96,1,60,74.53947279,4817.130511549999
97,1,55,46.25506287,4863.385574419999
98,1,27,33.30314048,4896.6887148999995
99,1,47,70.41480105,4967.10351595
100,1,32,39.37298309,5006.47649904
101,1,8,64.25603513,5070.73253417
102,1,6,66.45865072,5137.19118489
103,1,20,38.3766668,5175.56785169
104,1,39,26.65336877,5202.22122046
105,1,40,32.63123071,5234.85245117
106,1,58,68.63304898,5303.48550015
107,1,27,62.33504063,5365.82054078
108,1,42,41.71675352,5407.537294299999
109,1,27,51.84271486,5459.38000916
110,1,19,29.90737428,5489.28738344
111,1,40,58.40033018,5547.68771362
112,1,44,38.50460131,5586.19231493
113,1,13,37.81128037,5624.0035953
114,1,34,73.40226925,5697.40586455
115,1,9,33.56390131,5730.96976586
116,1,37,33.96614241,5764.93590827
117,1,57,63.30973309,5828.24564136
118,1,24,26.81272998,5855.05837134
119,1,18,47.29043731,5902.34880865
120,1,49,54.40644245,5956.7552511
121,1,27,67.12368936,6023.87894046
122,1,10,39.85726456,6063.73620502
123,1,40,29.43663895,6093.17284397
124,1,32,41.46231813,6134.6351621
125,1,6,69.53106382,6204.16622592
126,1,12,72.11411933,6276.28034525
127,1,8,41.23924682,6317.51959207
128,1,31,33.61818802,6351.13778009
129,1,40,44.9319234,6396.06970349
130,1,12,50.53984719,6446.60955068
131,1,21,63.13649746,6509.74604814
132,1,49,38.24420236,6547.9902505
133,1,32,76.1538049,6624.1440554
134,1,41,43.28587772,6667.42993312
135,1,14,60.8375359,6728.26746902
136,1,31,29.1671214,6757.43459042
137,1,26,43.0013272,6800.43591762
138,1,28,70.34144168,6870.777359299999
139,1,26,52.07076394,6922.848123239999
140,1,38,63.12900053,6985.977123769999
141,1,46,29.86780761,7015.844931379999
142,1,40,66.97873982,7082.823671199999
143,1,18,42.32972013,7125.153391329999
144,1,7,30.41692196,7155.570313289999
145,1,17,74.26615041,7229.836463699999
146,1,3,49.16852893,7279.004992629999
147,1,53,71.35472201,7350.359714639999
148,1,21,66.78438663,7417.144101269999
149,1,27,56.65609954,7473.800200809998
150,1,43,26.19979919,7499.999999999998
1,2,43,53.97543253,53.97543253
2,2,28,66.13020717,120.10563970000001
3,2,37,39.82123377,159.92687347
4,2,49,46.4333204,206.36019387
5,2,54,62.43058175,268.79077562
6,2,28,62.14055349,330.93132911
7,2,33,52.43116675,383.36249585999997
8,2,42,30.48448777,413.84698362999995
9,2,58,63.19785578,477.04483940999995
10,2,52,65.00367928,542.0485186899999
11,2,25,40.20336825,582.25188694
12,2,25,53.03976583,635.2916527699999
13,2,23,39.13247939,674.4241321599999
14,2,16,39.45690812,713.8810402799999
15,2,46,53.84443114,767.7254714199998
16,2,21,60.40913294,828.1346043599998
17,2,46,27.78076375,855.9153681099998
18,2,55,57.77286486,913.6882329699998
19,2,25,38.72179636,952.4100293299998
20,2,25,29.92408755,982.3341168799998
21,2,11,41.78571625,1024.1198331299997
22,2,14,59.91115918,1084.0309923099996
23,2,31,71.42208448,1155.4530767899996
24,2,32,37.23961036,1192.6926871499995
25,2,49,70.21473166,1262.9074188099996
26,2,37,61.05026554,1323.9576843499997
27,2,59,38.13617191,1362.0938562599997
28,2,62,29.83002147,1391.9238777299997
29,2,39,74.15296092,1466.0768386499997
30,2,40,68.6532457,1534.7300843499997
31,2,29,54.25835415,1588.9884384999998
32,2,69,41.7880369,1630.7764753999998
33,2,24,72.88165705,1703.6581324499998
34,2,34,62.0133643,1765.6714967499997
35,2,59,53.08761347,1818.7591102199997
36,2,40,52.08494864,1870.8440588599997
37,2,59,38.71047582,1909.5545346799997
38,2,14,66.05341632,1975.6079509999997
39,2,38,45.33453242,2020.9424834199997
40,2,16,51.94608562,2072.8885690399998
41,2,26,57.11814462,2130.0067136599996
42,2,23,29.34726889,2159.3539825499997
43,2,44,37.28002017,2196.63400272
44,2,14,58.90934923,2255.5433519499998
45,2,24,45.14508246,2300.68843441
46,2,41,44.75870431,2345.44713872
47,2,19,46.63929091,2392.08642963
48,2,78,29.93133051,2422.01776014
49,2,24,60.7690834,2482.78684354
50,2,39,55.74063546,2538.527479
51,2,25,60.96696147,2599.49444047
52,2,49,45.9393011,2645.43374157
53,2,37,70.02856894,2715.46231051
54,2,40,26.27681146,2741.73912197
55,2,45,31.03872389,2772.7778458599996
56,2,22,29.51140333,2802.2892491899997
57,2,35,63.87594515,2866.1651943399997
58,2,64,28.04976611,2894.2149604499996
59,2,7,31.4973607,2925.7123211499998
60,2,47,45.25994244,2970.97226359
61,2,16,49.93687743,3020.90914102
62,2,51,65.6434655,3086.5526065199997
63,2,71,38.5524821,3125.1050886199996
64,2,46,48.15325636,3173.2583449799995
65,2,14,59.63813712,3232.8964820999995
66,2,65,44.14228862,3277.0387707199993
67,2,15,28.73871494,3305.7774856599995
68,2,42,35.97663002,3341.7541156799994
69,2,38,57.19809379,3398.952209469999
70,2,32,66.07952654,3465.0317360099993
71,2,42,75.8473443,3540.879080309999
72,2,17,38.85647001,3579.735550319999
73,2,13,31.97506792,3611.7106182399993
74,2,42,38.37311881,3650.0837370499994
75,2,29,40.72933179,3690.8130688399992
76,2,44,53.27408283,3744.087151669999
77,2,27,57.15314373,3801.240295399999
78,2,45,56.14106998,3857.381365379999
79,2,17,60.5787997,3917.960165079999
80,2,65,47.17876571,3965.138930789999
81,2,26,55.93567156,4021.074602349999
82,2,45,67.70113184,4088.775734189999
83,2,15,32.56142196,4121.337156149999
84,2,40,55.75694271,4177.094098859999
85,2,1,59.68412189,4236.778220749999
86,2,26,30.57764452,4267.3558652699985
87,2,23,56.03511409,4323.390979359999
88,2,36,38.69411298,4362.0850923399985
89,2,45,64.25056806,4426.335660399998
90,2,57,74.82543524,4501.161095639998
91,2,55,34.78697213,4535.9480677699985
92,2,53,46.65642768,4582.6044954499985
93,2,51,60.03957103,4642.644066479998
94,2,28,29.26065385,4671.904720329999
95,2,67,70.68631843,4742.591038759999
96,2,64,74.53947279,4817.130511549999
97,2,59,46.25506287,4863.385574419999
98,2,31,33.30314048,4896.6887148999995
99,2,41,70.41480105,4967.10351595
100,2,34,39.37298309,5006.47649904
101,2,10,64.25603513,5070.73253417
102,2,12,66.45865072,5137.19118489
103,2,24,38.3766668,5175.56785169
104,2,35,26.65336877,5202.22122046
105,2,44,32.63123071,5234.85245117
106,2,62,68.63304898,5303.48550015
107,2,31,62.33504063,5365.82054078
108,2,46,41.71675352,5407.537294299999
109,2,21,51.84271486,5459.38000916
110,2,25,29.90737428,5489.28738344
111,2,46,58.40033018,5547.68771362
112,2,48,38.50460131,5586.19231493
113,2,17,37.81128037,5624.0035953
114,2,28,73.40226925,5697.40586455
115,2,13,33.56390131,5730.96976586
116,2,41,33.96614241,5764.93590827
117,2,61,63.30973309,5828.24564136
118,2,26,26.81272998,5855.05837134
119,2,24,47.29043731,5902.34880865
120,2,53,54.40644245,5956.7552511
121,2,33,67.12368936,6023.87894046
122,2,14,39.85726456,6063.73620502
123,2,44,29.43663895,6093.17284397
124,2,28,41.46231813,6134.6351621
125,2,10,69.53106382,6204.16622592
126,2,16,72.11411933,6276.28034525
127,2,14,41.23924682,6317.51959207
128,2,37,33.61818802,6351.13778009
129,2,44,44.9319234,6396.06970349
130,2,16,50.53984719,6446.60955068
131,2,25,63.13649746,6509.74604814
132,2,43,38.24420236,6547.9902505
133,2,36,76.1538049,6624.1440554
134,2,47,43.28587772,6667.42993312
135,2,20,60.8375359,6728.26746902
136,2,35,29.1671214,6757.43459042
137,2,22,43.0013272,6800.43591762
138,2,34,70.34144168,6870.777359299999
139,2,30,52.07076394,6922.848123239999
140,2,42,63.12900053,6985.977123769999
141,2,52,29.86780761,7015.844931379999
142,2,44,66.97873982,7082.823671199999
143,2,22,42.32972013,7125.153391329999
144,2,13,30.41692196,7155.570313289999
145,2,21,74.26615041,7229.836463699999
146,2,5,49.16852893,7279.004992629999
147,2,57,71.35472201,7350.359714639999
148,2,25,66.78438663,7417.144101269999
149,2,31,56.65609954,7473.800200809998
150,2,47,26.19979919,7499.999999999998
1,3,52,53.97543253,53.97543253
2,3,37,66.13020717,120.10563970000001
3,3,48,39.82123377,159.92687347
4,3,58,46.4333204,206.36019387
5,3,63,62.43058175,268.79077562
6,3,33,62.14055349,330.93132911
7,3,24,52.43116675,383.36249585999997
8,3,37,30.48448777,413.84698362999995
9,3,67,63.19785578,477.04483940999995
10,3,61,65.00367928,542.0485186899999
11,3,30,40.20336825,582.25188694
12,3,32,53.03976583,635.2916527699999
13,3,12,39.13247939,674.4241321599999
14,3,13,39.45690812,713.8810402799999
15,3,55,53.84443114,767.7254714199998
16,3,30,60.40913294,828.1346043599998
17,3,45,27.78076375,855.9153681099998
18,3,64,57.77286486,913.6882329699998
19,3,34,38.72179636,952.4100293299998
20,3,34,29.92408755,982.3341168799998
21,3,8,41.78571625,1024.1198331299997
22,3,23,59.91115918,1084.0309923099996
23,3,42,71.42208448,1155.4530767899996
24,3,21,37.23961036,1192.6926871499995
25,3,58,70.21473166,1262.9074188099996
26,3,46,61.05026554,1323.9576843499997
27,3,68,38.13617191,1362.0938562599997
28,3,71,29.83002147,1391.9238777299997
29,3,32,74.15296092,1466.0768386499997
30,3,49,68.6532457,1534.7300843499997
31,3,40,54.25835415,1588.9884384999998
32,3,78,41.7880369,1630.7764753999998
33,3,27,72.88165705,1703.6581324499998
34,3,43,62.0133643,1765.6714967499997
35,3,68,53.08761347,1818.7591102199997
36,3,49,52.08494864,1870.8440588599997
37,3,68,38.71047582,1909.5545346799997
38,3,21,66.05341632,1975.6079509999997
39,3,47,45.33453242,2020.9424834199997
40,3,25,51.94608562,2072.8885690399998
41,3,15,57.11814462,2130.0067136599996
42,3,26,29.34726889,2159.3539825499997
43,3,53,37.28002017,2196.63400272
44,3,7,58.90934923,2255.5433519499998
45,3,33,45.14508246,2300.68843441
46,3,32,44.75870431,2345.44713872
47,3,30,46.63929091,2392.08642963
48,3,87,29.93133051,2422.01776014
49,3,13,60.7690834,2482.78684354
50,3,48,55.74063546,2538.527479
51,3,34,60.96696147,2599.49444047
52,3,38,45.9393011,2645.43374157
53,3,28,70.02856894,2715.46231051
54,3,49,26.27681146,2741.73912197
55,3,34,31.03872389,2772.7778458599996
56,3,13,29.51140333,2802.2892491899997
57,3,38,63.87594515,2866.1651943399997
58,3,73,28.04976611,2894.2149604499996
59,3,18,31.4973607,2925.7123211499998
60,3,56,45.25994244,2970.97226359
61,3,25,49.93687743,3020.90914102
62,3,60,65.6434655,3086.5526065199997
63,3,80,38.5524821,3125.1050886199996
64,3,55,48.15325636,3173.2583449799995
65,3,5,59.63813712,3232.8964820999995
66,3,74,44.14228862,3277.0387707199993
67,3,26,28.73871494,3305.7774856599995
68,3,53,35.97663002,3341.7541156799994
69,3,47,57.19809379,3398.952209469999
70,3,43,66.07952654,3465.0317360099993
71,3,49,75.8473443,3540.879080309999
72,3,26,38.85647001,3579.735550319999
73,3,24,31.97506792,3611.7106182399993
74,3,43,38.37311881,3650.0837370499994
75,3,38,40.72933179,3690.8130688399992
76,3,45,53.27408283,3744.087151669999
77,3,36,57.15314373,3801.240295399999
78,3,54,56.14106998,3857.381365379999
79,3,8,60.5787997,3917.960165079999
80,3,74,47.17876571,3965.138930789999
81,3,19,55.93567156,4021.074602349999
82,3,54,67.70113184,4088.775734189999
83,3,16,32.56142196,4121.337156149999
84,3,49,55.75694271,4177.094098859999
85,3,12,59.68412189,4236.778220749999
86,3,37,30.57764452,4267.3558652699985
87,3,32,56.03511409,4323.390979359999
88,3,45,38.69411298,4362.0850923399985
89,3,54,64.25056806,4426.335660399998
90,3,66,74.82543524,4501.161095639998
91,3,64,34.78697213,4535.9480677699985
92,3,62,46.65642768,4582.6044954499985
93,3,60,60.03957103,4642.644066479998
94,3,37,29.26065385,4671.904720329999
95,3,76,70.68631843,4742.591038759999
96,3,73,74.53947279,4817.130511549999
97,3,68,46.25506287,4863.385574419999
98,3,40,33.30314048,4896.6887148999995
99,3,52,70.41480105,4967.10351595
100,3,43,39.37298309,5006.47649904
101,3,19,64.25603513,5070.73253417
102,3,17,66.45865072,5137.19118489
103,3,33,38.3766668,5175.56785169
104,3,44,26.65336877,5202.22122046
105,3,53,32.63123071,5234.85245117
106,3,71,68.63304898,5303.48550015
107,3,40,62.33504063,5365.82054078
108,3,55,41.71675352,5407.537294299999
109,3,32,51.84271486,5459.38000916
110,3,14,29.90737428,5489.28738344
111,3,43,58.40033018,5547.68771362
112,3,57,38.50460131,5586.19231493
113,3,26,37.81128037,5624.0035953
114,3,39,73.40226925,5697.40586455
115,3,22,33.56390131,5730.96976586
116,3,50,33.96614241,5764.93590827
117,3,70,63.30973309,5828.24564136
118,3,35,26.81272998,5855.05837134
119,3,29,47.29043731,5902.34880865
120,3,62,54.40644245,5956.7552511
121,3,22,67.12368936,6023.87894046
122,3,23,39.85726456,6063.73620502
123,3,53,29.43663895,6093.17284397
124,3,37,41.46231813,6134.6351621
125,3,19,69.53106382,6204.16622592
126,3,25,72.11411933,6276.28034525
127,3,13,41.23924682,6317.51959207
128,3,26,33.61818802,6351.13778009
129,3,53,44.9319234,6396.06970349
130,3,25,50.53984719,6446.60955068
131,3,34,63.13649746,6509.74604814
132,3,54,38.24420236,6547.9902505
133,3,45,76.1538049,6624.1440554
134,3,40,43.28587772,6667.42993312
135,3,17,60.8375359,6728.26746902
136,3,44,29.1671214,6757.43459042
137,3,31,43.0013272,6800.43591762
138,3,23,70.34144168,6870.777359299999
139,3,39,52.07076394,6922.848123239999
140,3,51,63.12900053,6985.977123769999
141,3,41,29.86780761,7015.844931379999
142,3,53,66.97873982,7082.823671199999
143,3,31,42.32972013,7125.153391329999
144,3,8,30.41692196,7155.570313289999
145,3,30,74.26615041,7229.836463699999
146,3,14,49.16852893,7279.004992629999
147,3,66,71.35472201,7350.359714639999
148,3,34,66.78438663,7417.144101269999
149,3,40,56.65609954,7473.800200809998
150,3,56,26.19979919,7499.999999999998
1,4,39,53.97543253,53.97543253
2,4,26,66.13020717,120.10563970000001
3,4,21,39.82123377,159.92687347
4,4,45,46.4333204,206.36019387
5,4,50,62.43058175,268.79077562
6,4,44,62.14055349,330.93132911
7,4,49,52.43116675,383.36249585999997
8,4,58,30.48448777,413.84698362999995
9,4,54,63.19785578,477.04483940999995
10,4,48,65.00367928,542.0485186899999
11,4,41,40.20336825,582.25188694
12,4,41,53.03976583,635.2916527699999
13,4,39,39.13247939,674.4241321599999
14,4,32,39.45690812,713.8810402799999
15,4,42,53.84443114,767.7254714199998
16,4,17,60.40913294,828.1346043599998
17,4,62,27.78076375,855.9153681099998
18,4,51,57.77286486,913.6882329699998
19,4,21,38.72179636,952.4100293299998
20,4,23,29.92408755,982.3341168799998
21,4,19,41.78571625,1024.1198331299997
22,4,12,59.91115918,1084.0309923099996
23,4,19,71.42208448,1155.4530767899996
24,4,48,37.23961036,1192.6926871499995
25,4,45,70.21473166,1262.9074188099996
26,4,33,61.05026554,1323.9576843499997
27,4,55,38.13617191,1362.0938562599997
28,4,58,29.83002147,1391.9238777299997
29,4,55,74.15296092,1466.0768386499997
30,4,36,68.6532457,1534.7300843499997
31,4,13,54.25835415,1588.9884384999998
32,4,65,41.7880369,1630.7764753999998
33,4,40,72.88165705,1703.6581324499998
34,4,30,62.0133643,1765.6714967499997
35,4,55,53.08761347,1818.7591102199997
36,4,52,52.08494864,1870.8440588599997
37,4,55,38.71047582,1909.5545346799997
38,4,30,66.05341632,1975.6079509999997
39,4,34,45.33453242,2020.9424834199997
40,4,12,51.94608562,2072.8885690399998
41,4,42,57.11814462,2130.0067136599996
42,4,39,29.34726889,2159.3539825499997
43,4,40,37.28002017,2196.63400272
44,4,20,58.90934923,2255.5433519499998
45,4,38,45.14508246,2300.68843441
46,4,57,44.75870431,2345.44713872
47,4,15,46.63929091,2392.08642963
48,4,74,29.93133051,2422.01776014
49,4,40,60.7690834,2482.78684354
50,4,35,55.74063546,2538.527479
51,4,21,60.96696147,2599.49444047
52,4,65,45.9393011,2645.43374157
53,4,53,70.02856894,2715.46231051
54,4,36,26.27681146,2741.73912197
55,4,61,31.03872389,2772.7778458599996
56,4,38,29.51140333,2802.2892491899997
57,4,51,63.87594515,2866.1651943399997
58,4,60,28.04976611,2894.2149604499996
59,4,9,31.4973607,2925.7123211499998
