house,battery,distance,max_output_house,current_capacity_battery
1,5,33,53.97543253,53.97543253
2,3,37,66.13020717,66.13020717
3,5,47,39.82123377,93.7966663
4,4,45,46.4333204,46.4333204
5,2,54,62.43058175,62.43058175
6,2,28,62.14055349,124.57113524
7,1,27,52.43116675,52.43116675
8,2,42,30.48448777,155.05562301
9,2,58,63.19785578,218.25347879
10,4,48,65.00367928,111.43699968
11,1,19,40.20336825,92.634535
12,3,32,53.03976583,119.169973
13,5,75,39.13247939,132.92914568999998
14,3,13,39.45690812,158.62688112
15,4,42,53.84443114,165.28143082
16,2,21,60.40913294,278.66261173
17,4,62,27.78076375,193.06219457
18,1,51,57.77286486,150.40739986
19,1,21,38.72179636,189.12919621999998
20,5,47,29.92408755,162.85323323999998
21,4,19,41.78571625,234.84791082
22,4,12,59.91115918,294.75907
23,4,19,71.42208448,366.18115448000003
24,3,21,37.23961036,195.86649148
25,5,23,70.21473166,233.0679649
26,2,37,61.05026554,339.71287727
27,4,55,38.13617191,404.31732639000006
28,1,58,29.83002147,218.95921768999997
29,4,55,74.15296092,478.47028731000006
30,1,36,68.6532457,287.61246338999996
31,3,40,54.25835415,250.12484563
32,1,65,41.7880369,329.40050028999997
33,4,40,72.88165705,551.3519443600001
34,1,30,62.0133643,391.41386458999995
35,4,55,53.08761347,604.43955783
36,4,52,52.08494864,656.52450647
37,5,23,38.71047582,271.77844072
38,4,30,66.05341632,722.57792279
39,1,34,45.33453242,436.74839700999996
40,3,25,51.94608562,302.07093125
41,2,26,57.11814462,396.83102189
42,1,17,29.34726889,466.0956659
43,5,28,37.28002017,309.05846089
44,2,14,58.90934923,455.74037111999996
45,3,33,45.14508246,347.21601370999997
46,1,35,44.75870431,510.85437020999996
47,2,19,46.63929091,502.37966202999996
48,2,78,29.93133051,532.3109925399999
49,3,13,60.7690834,407.98509710999997
50,3,48,55.74063546,463.72573257
51,3,34,60.96696147,524.69269404
52,1,43,45.9393011,556.7936713099999
53,5,53,70.02856894,379.08702983
54,2,40,26.27681146,558.5878039999999
55,5,47,31.03872389,410.12575372000003
56,4,38,29.51140333,752.08932612
57,5,43,63.87594515,474.00169887000004
58,5,8,28.04976611,502.05146498000005
59,5,73,31.4973607,533.54882568
60,3,56,45.25994244,569.95263648
61,2,16,49.93687743,608.5246814299999
62,2,51,65.6434655,674.1681469299999
63,4,67,38.5524821,790.64180822
64,5,32,48.15325636,581.70208204
65,1,18,59.63813712,616.4318084299999
66,4,61,44.14228862,834.7840968400001
67,3,26,28.73871494,598.69135142
68,1,48,35.97663002,652.40843845
69,5,34,57.19809379,638.9001758300001
70,2,32,66.07952654,740.2476734699999
71,5,34,75.8473443,714.7475201300001
72,4,23,38.85647001,873.64056685
73,5,63,31.97506792,746.7225880500001
74,1,36,38.37311881,690.78155726
75,2,29,40.72933179,780.9770052599999
76,4,60,53.27408283,926.91464968
77,5,45,57.15314373,803.8757317800001
78,1,41,56.14106998,746.92262724
79,5,89,60.5787997,864.4545314800001
80,1,61,47.17876571,794.10139295
81,5,62,55.93567156,920.3902030400002
82,1,41,67.70113184,861.80252479
83,3,16,32.56142196,631.25277338
84,1,36,55.75694271,917.5594675
85,5,71,59.68412189,980.0743249300002
86,5,46,30.57764452,1010.6519694500003
87,2,23,56.03511409,837.0121193499999
88,4,32,38.69411298,965.60876266
89,1,41,64.25056806,981.81003556
90,4,53,74.82543524,1040.4341979
91,3,64,34.78697213,666.03974551
92,1,49,46.65642768,1028.46646324
