house,battery,distance,max_output_house,current_capacity_battery
1,4,39,53.97543253,53.97543253
2,3,37,66.13020717,66.13020717
3,1,43,39.82123377,39.82123377
4,5,23,46.4333204,46.4333204
5,3,63,62.43058175,128.56078892
6,2,28,62.14055349,62.14055349
7,1,27,52.43116675,92.25240052000001
8,5,44,30.48448777,76.91780817
9,5,14,63.19785578,140.11566395
10,3,61,65.00367928,193.5644682
11,5,51,40.20336825,180.31903219999998
12,2,25,53.03976583,115.18031932
13,1,17,39.13247939,131.38487991
14,3,13,39.45690812,233.02137632
15,5,26,53.84443114,234.16346333999996
16,4,17,60.40913294,114.38456547
17,4,62,27.78076375,142.16532922
18,3,64,57.77286486,290.79424118
19,3,34,38.72179636,329.51603753999996
20,3,34,29.92408755,359.44012509
21,5,83,41.78571625,275.94917958999997
22,4,12,59.91115918,202.0764884
23,5,49,71.42208448,347.37126406999994
24,4,48,37.23961036,239.31609876
25,3,58,70.21473166,429.65485674999996
26,1,33,61.05026554,192.43514545
27,1,55,38.13617191,230.57131736
28,2,62,29.83002147,145.01034079
29,1,33,74.15296092,304.72427828
30,2,40,68.6532457,213.66358649
31,5,57,54.25835415,401.62961821999994
32,3,78,41.7880369,471.44289365
33,3,27,72.88165705,544.3245506999999
34,2,34,62.0133643,275.67695079
35,1,55,53.08761347,357.81189175000003
36,5,32,52.08494864,453.71456685999993
37,5,23,38.71047582,492.42504267999993
38,4,30,66.05341632,305.36951508
39,2,38,45.33453242,321.01148321
40,2,16,51.94608562,372.95756883
41,5,66,57.11814462,549.5431872999999
42,3,26,29.34726889,573.6718195899999
43,1,40,37.28002017,395.09191192000003
44,1,18,58.90934923,454.00126115
45,2,24,45.14508246,418.10265129000004
46,5,49,44.75870431,594.3018916099999
47,4,15,46.63929091,352.00880599
48,5,6,29.93133051,624.2332221199998
49,3,13,60.7690834,634.4409029899999
50,4,35,55.74063546,407.74944145
51,2,25,60.96696147,479.06961276000004
52,2,49,45.9393011,525.00891386
53,3,28,70.02856894,704.4694719299999
54,5,36,26.27681146,650.5100335799998
55,4,61,31.03872389,438.78816534
56,2,22,29.51140333,554.52031719
57,2,35,63.87594515,618.39626234
58,1,60,28.04976611,482.05102726
59,5,73,31.4973607,682.0073942799997
60,1,43,45.25994244,527.3109697
61,5,56,49.93687743,731.9442717099997
62,4,47,65.6434655,504.43163083999997
63,5,11,38.5524821,770.4967538099997
64,5,32,48.15325636,818.6500101699997
65,5,86,59.63813712,878.2881472899998
66,2,65,44.14228862,662.5385509600001
67,2,15,28.73871494,691.2772659000001
68,3,53,35.97663002,740.44610195
69,4,54,57.19809379,561.6297246299999
70,4,22,66.07952654,627.7092511699999
71,4,58,75.8473443,703.5565954699999
72,4,23,38.85647001,742.4130654799999
73,4,5,31.97506792,774.3881333999999
74,2,42,38.37311881,729.6503847100001
75,3,38,40.72933179,781.17543374
76,1,38,53.27408283,580.58505253
77,5,45,57.15314373,935.4412910199998
78,2,45,56.14106998,785.7914546900001
79,1,21,60.5787997,641.16385223
80,5,17,47.17876571,982.6200567299998
81,1,20,55.93567156,697.0995237899999
82,3,54,67.70113184,848.87656558
83,3,16,32.56142196,881.43798754
84,4,36,55.75694271,830.1450761099999
85,1,7,59.68412189,756.78364568
86,2,26,30.57764452,816.3690992100002
87,1,19,56.03511409,812.8187597699999
88,3,45,38.69411298,920.13210052
89,4,41,64.25056806,894.3956441699999
90,4,53,74.82543524,969.2210794099999
91,5,17,34.78697213,1017.4070288599997
92,5,19,46.65642768,1064.0634565399998
93,1,47,60.03957103,872.8583308
94,1,24,29.26065385,902.11898465
95,3,76,70.68631843,990.81841895
96,3,73,74.53947279,1065.35789174
97,5,13,46.25506287,1110.31851941
98,4,27,33.30314048,1002.5242198899999
99,1,47,70.41480105,972.5337857
100,4,30,39.37298309,1041.89720298
101,3,19,64.25603513,1129.6139268700001
102,2,12,66.45865072,882.8277499300002
103,1,20,38.3766668,1010.9104524999999
104,2,35,26.65336877,909.4811187000003
105,4,40,32.63123071,1074.52843369
106,4,58,68.63304898,1143.16148267
107,4,27,62.33504063,1205.4965233
108,3,55,41.71675352,1171.33068039
109,3,32,51.84271486,1223.1733952499999
110,1,19,29.90737428,1040.81782678
111,4,62,58.40033018,1263.8968534800001
112,5,24,38.50460131,1148.82312072
113,1,13,37.81128037,1078.62910715
114,2,28,73.40226925,982.8833879500003
115,1,9,33.56390131,1112.1930084599999
116,5,31,33.96614241,1182.7892631299999
117,1,57,63.30973309,1175.5027415499999
118,4,22,26.81272998,1290.7095834600002
119,2,24,47.29043731,1030.1738252600003
120,5,23,54.40644245,1237.1957055799999
121,3,22,67.12368936,1290.29708461
122,2,14,39.85726456,1070.0310898200003
123,2,44,29.43663895,1099.4677287700003
124,2,28,41.46231813,1140.9300469000004
125,5,62,69.53106382,1306.7267694
126,2,16,72.11411933,1213.0441662300004
127,2,14,41.23924682,1254.2834130500005
128,3,26,33.61818802,1323.91527263
129,1,40,44.9319234,1220.4346649499998
130,3,25,50.53984719,1374.45511982
131,2,25,63.13649746,1317.4199105100006
132,1,49,38.24420236,1258.6788673099998
133,1,32,76.1538049,1334.8326722099998
134,5,41,43.28587772,1350.0126471199999
135,3,17,60.8375359,1435.2926557199999
136,1,31,29.1671214,1363.9997936099999
137,5,50,43.0013272,1393.01397432
138,2,34,70.34144168,1387.7613521900007
139,4,26,52.07076394,1342.7803474000002
140,2,42,63.12900053,1450.8903527200007
141,3,41,29.86780761,1465.1604633299999
142,4,40,66.97873982,1409.7590872200003
143,1,18,42.32972013,1406.3295137399998
