house,battery,distance,max_output_house,current_capacity_battery
1,1,39,53.97543253,53.97543253
2,2,28,66.13020717,66.13020717
3,4,21,39.82123377,39.82123377
4,4,45,46.4333204,86.25455417
5,2,54,62.43058175,128.56078892
6,4,44,62.14055349,148.39510766
7,2,33,52.43116675,180.99195566999998
8,4,58,30.48448777,178.87959543
9,4,54,63.19785578,242.07745121
10,1,48,65.00367928,118.97911181
11,2,25,40.20336825,221.19532391999996
12,5,49,53.03976583,53.03976583
13,2,23,39.13247939,260.32780331
14,4,32,39.45690812,281.53435933
15,3,55,53.84443114,53.84443114
16,4,17,60.40913294,341.94349227
17,3,45,27.78076375,81.62519488999999
18,5,23,57.77286486,110.81263068999999
19,3,34,38.72179636,120.34699124999999
20,2,25,29.92408755,290.25189086
21,1,15,41.78571625,160.76482806
22,5,58,59.91115918,170.72378987
23,4,19,71.42208448,413.36557674999995
24,4,48,37.23961036,450.60518711
25,4,45,70.21473166,520.81991877
26,4,33,61.05026554,581.87018431
27,3,68,38.13617191,158.48316316
28,2,62,29.83002147,320.08191233
29,4,55,74.15296092,656.02314523
30,4,36,68.6532457,724.6763909299999
31,3,40,54.25835415,212.74151731
32,2,69,41.7880369,361.86994923000003
33,2,24,72.88165705,434.75160628000003
34,1,30,62.0133643,222.77819236000002
35,2,59,53.08761347,487.83921975000004
36,4,52,52.08494864,776.7613395699999
37,4,55,38.71047582,815.4718153899998
38,5,60,66.05341632,236.77720619
39,4,34,45.33453242,860.8063478099998
40,2,16,51.94608562,539.7853053700001
41,5,66,57.11814462,293.89535080999997
42,5,55,29.34726889,323.2426197
43,1,40,37.28002017,260.05821253
44,1,18,58.90934923,318.96756175999997
45,5,48,45.14508246,368.38770216
46,2,41,44.75870431,584.54400968
47,2,19,46.63929091,631.18330059
48,3,87,29.93133051,242.67284782000002
49,2,24,60.7690834,691.95238399
50,4,35,55.74063546,916.5469832699998
51,1,27,60.96696147,379.93452322999997
52,4,65,45.9393011,962.4862843699998
53,4,53,70.02856894,1032.5148533099998
54,5,36,26.27681146,394.66451362
55,3,34,31.03872389,273.71157171000004
56,5,68,29.51140333,424.17591695
57,1,29,63.87594515,443.81046838
58,3,73,28.04976611,301.76133782000005
59,2,7,31.4973607,723.44974469
60,2,47,45.25994244,768.70968713
61,4,26,49.93687743,1082.45173074
62,4,47,65.6434655,1148.09519624
63,1,67,38.5524821,482.36295048
64,2,46,48.15325636,816.86294349
65,5,86,59.63813712,483.81405407
66,3,74,44.14228862,345.90362644000004
67,5,59,28.73871494,512.55276901
68,1,48,35.97663002,518.3395805
69,4,54,57.19809379,1205.29329003
70,5,46,66.07952654,578.63229555
71,3,49,75.8473443,421.75097074000007
72,5,55,38.85647001,617.4887655599999
73,2,13,31.97506792,848.83801141
74,3,43,38.37311881,460.12408955000006
75,4,25,40.72933179,1246.02262182
76,1,38,53.27408283,571.61366333
77,5,45,57.15314373,674.64190929
78,5,27,56.14106998,730.7829792699999
79,1,21,60.5787997,632.19246303
80,1,61,47.17876571,679.37122874
81,3,19,55.93567156,516.0597611100001
82,3,54,67.70113184,583.7608929500001
83,2,15,32.56142196,881.39943337
84,4,36,55.75694271,1301.77956453
