house,battery,distance,max_output_house,current_capacity_battery
1,1,39,53.97543253,53.97543253
2,1,24,66.13020717,120.10563970000001
3,2,37,39.82123377,39.82123377
4,5,23,46.4333204,46.4333204
5,5,20,62.43058175,108.86390215
6,3,33,62.14055349,62.14055349
7,5,57,52.43116675,161.2950689
8,3,37,30.48448777,92.62504126
9,5,14,63.19785578,224.49292468
10,3,61,65.00367928,157.62872054000002
11,5,51,40.20336825,264.69629292999997
12,2,25,53.03976583,92.8609996
13,1,17,39.13247939,159.23811909
14,2,16,39.45690812,132.31790772
15,3,55,53.84443114,211.47315168
16,5,51,60.40913294,325.10542587
17,5,38,27.78076375,352.88618962
18,1,51,57.77286486,217.01098395
19,4,21,38.72179636,38.72179636
20,4,23,29.92408755,68.64588391
21,1,15,41.78571625,258.7967002
22,5,58,59.91115918,412.7973488
23,5,49,71.42208448,484.21943328
24,5,64,37.23961036,521.45904364
25,3,58,70.21473166,281.68788334
26,3,46,61.05026554,342.73814888
27,4,55,38.13617191,106.78205582
28,2,62,29.83002147,162.14792918999999
29,1,33,74.15296092,332.94966112
30,5,32,68.6532457,590.11228934
31,3,40,54.25835415,396.99650303
32,5,9,41.7880369,631.9003262399999
33,3,27,72.88165705,469.87816008
34,3,43,62.0133643,531.89152438
35,3,68,53.08761347,584.9791378499999
36,2,40,52.08494864,214.23287782999998
37,1,55,38.71047582,371.66013694
38,2,14,66.05341632,280.28629415
39,3,47,45.33453242,630.3136702699999
40,1,12,51.94608562,423.60622256
41,3,15,57.11814462,687.4318148899998
42,4,39,29.34726889,136.12932471
43,3,53,37.28002017,724.7118350599999
44,1,18,58.90934923,482.51557178999997
45,1,20,45.14508246,527.66065425
46,3,32,44.75870431,769.4705393699999
47,3,30,46.63929091,816.1098302799999
48,2,78,29.93133051,310.21762466
49,3,13,60.7690834,876.8789136799999
50,5,33,55.74063546,687.6409616999999
51,2,25,60.96696147,371.18458613
52,3,38,45.9393011,922.8182147799998
53,4,53,70.02856894,206.15789365
54,5,36,26.27681146,713.9177731599999
55,3,34,31.03872389,953.8569386699999
56,3,13,29.51140333,983.3683419999999
57,5,43,63.87594515,777.7937183099999
58,4,60,28.04976611,234.20765976
59,2,7,31.4973607,402.68194683
60,4,53,45.25994244,279.4676022
61,3,25,49.93687743,1033.3052194299999
62,5,21,65.6434655,843.43718381
63,1,67,38.5524821,566.21313635
64,5,32,48.15325636,891.59044017
65,1,18,59.63813712,625.85127347
66,3,74,44.14228862,1077.44750805
67,4,9,28.73871494,308.20631714
68,1,48,35.97663002,661.82790349
69,1,34,57.19809379,719.0259972800001
70,1,38,66.07952654,785.10552382
71,3,49,75.8473443,1153.29485235
72,4,23,38.85647001,347.06278715
73,3,24,31.97506792,1185.2699202699998
74,2,42,38.37311881,441.05506564
75,1,29,40.72933179,825.83485561
76,5,36,53.27408283,944.864523
77,2,27,57.15314373,498.20820937
78,2,45,56.14106998,554.34927935
79,1,21,60.5787997,886.41365531
80,1,61,47.17876571,933.59242102
81,1,20,55.93567156,989.52809258
82,4,41,67.70113184,414.76391899000004
83,1,9,32.56142196,1022.08951454
84,5,32,55.75694271,1000.6214657099999
85,5,71,59.68412189,1060.3055875999999
86,5,46,30.57764452,1090.8832321199998
87,3,32,56.03511409,1241.3050343599998
88,5,36,38.69411298,1129.5773450999998
89,2,45,64.25056806,618.5998474099999
90,5,15,74.82543524,1204.4027803399997
91,3,64,34.78697213,1276.09200649
92,3,62,46.65642768,1322.7484341699999
93,4,47,60.03957103,474.80349002
94,5,44,29.26065385,1233.6634341899996
95,2,67,70.68631843,689.28616584
96,2,64,74.53947279,763.82563863
97,4,55,46.25506287,521.05855289
98,4,27,33.30314048,554.36169337
99,3,52,70.41480105,1393.16323522
100,2,34,39.37298309,803.19862172
101,1,8,64.25603513,1086.34554967
102,1,6,66.45865072,1152.80420039
103,1,20,38.3766668,1191.18086719
104,1,39,26.65336877,1217.8342359600001
105,3,53,32.63123071,1425.79446593
106,1,58,68.63304898,1286.4672849400001
107,3,40,62.33504063,1488.12950656
108,2,46,41.71675352,844.91537524
109,2,21,51.84271486,896.7580901
110,5,67,29.90737428,1263.5708084699995
111,1,40,58.40033018,1344.8676151200002
112,5,24,38.50460131,1302.0754097799995
113,4,29,37.81128037,592.17297374
114,1,34,73.40226925,1418.2698843700002
115,4,13,33.56390131,625.73687505
116,5,31,33.96614241,1336.0415521899995
117,5,13,63.30973309,1399.3512852799995
118,2,26,26.81272998,923.57082008
119,1,18,47.29043731,1465.5603216800002
120,5,23,54.40644245,1453.7577277299995
121,2,33,67.12368936,990.6945094399999
122,1,10,39.85726456,1505.4175862400002
123,2,44,29.43663895,1020.1311483899999
124,4,24,41.46231813,667.19919318
125,4,16,69.53106382,736.7302569999999
126,2,16,72.11411933,1092.24526772
127,4,30,41.23924682,777.9695038199999
128,2,37,33.61818802,1125.8634557399998
129,2,44,44.9319234,1170.7953791399998
130,4,12,50.53984719,828.5093510099999
131,2,25,63.13649746,1233.9318766
132,4,27,38.24420236,866.75355337
133,4,32,76.1538049,942.9073582699999
134,5,41,43.28587772,1497.0436054499994
135,2,20,60.8375359,1294.7694124999998
136,2,35,29.1671214,1323.9365338999999
137,4,18,43.0013272,985.9086854699999
138,2,34,70.34144168,1394.2779755799997
139,2,30,52.07076394,1446.3487395199998
140,4,38,63.12900053,1049.037686
141,2,52,29.86780761,1476.2165471299998
142,4,40,66.97873982,1116.01642582
143,4,36,42.32972013,1158.34614595
144,2,13,30.41692196,1506.6334690899998
145,4,17,74.26615041,1232.6122963599998
146,4,19,49.16852893,1281.78082529
147,4,53,71.35472201,1353.1355472999999
148,4,33,66.78438663,1419.9199339299998
149,4,27,56.65609954,1476.5760334699999
150,4,43,26.19979919,1502.7758326599999
total distance: 5307,costs grid:47763,costs batteries:25000,total costs:72763,
