house,battery,distance,max_output_house,current_capacity_battery
1,5,33,53.97543253,53.97543253
2,2,28,66.13020717,66.13020717
3,3,48,39.82123377,39.82123377
4,3,58,46.4333204,86.25455417
5,3,63,62.43058175,148.68513592
6,1,22,62.14055349,62.14055349
7,5,57,52.43116675,106.40659928
8,2,42,30.48448777,96.61469494
9,2,58,63.19785578,159.81255072
10,4,48,65.00367928,65.00367928
11,1,19,40.20336825,102.34392174
12,1,19,53.03976583,155.38368757
13,5,75,39.13247939,145.53907866999998
14,1,10,39.45690812,194.84059569000001
15,3,55,53.84443114,202.52956705999998
16,4,17,60.40913294,125.41281222
17,1,40,27.78076375,222.62135944000002
18,1,51,57.77286486,280.3942243
19,1,21,38.72179636,319.11602066
20,5,47,29.92408755,175.46316621999998
21,4,19,41.78571625,167.19852847
22,5,58,59.91115918,235.37432539999998
23,5,49,71.42208448,306.79640987999994
24,3,21,37.23961036,239.76917741999998
25,2,49,70.21473166,230.02728237999997
26,1,33,61.05026554,380.1662862
27,4,55,38.13617191,205.33470038000002
28,4,58,29.83002147,235.16472185
29,3,32,74.15296092,313.92213833999995
30,3,49,68.6532457,382.57538403999996
31,2,29,54.25835415,284.28563653
32,5,9,41.7880369,348.58444677999995
33,3,27,72.88165705,455.45704108999996
34,4,30,62.0133643,297.17808615
35,1,55,53.08761347,433.25389967
36,3,49,52.08494864,507.54198972999995
37,1,55,38.71047582,471.96437549
38,5,60,66.05341632,414.63786309999995
39,1,34,45.33453242,517.29890791
40,3,25,51.94608562,559.4880753499999
41,5,66,57.11814462,471.75600771999996
42,4,39,29.34726889,326.52535504
43,4,40,37.28002017,363.80537521
44,5,86,58.90934923,530.6653569499999
45,2,24,45.14508246,329.43071898999995
46,2,41,44.75870431,374.18942329999993
47,1,25,46.63929091,563.93819882
48,3,87,29.93133051,589.4194058599999
49,1,18,60.7690834,624.70728222
50,5,33,55.74063546,586.40599241
51,4,21,60.96696147,424.77233668
52,3,38,45.9393011,635.3587069599998
53,2,37,70.02856894,444.21799223999994
54,4,36,26.27681146,451.04914814
55,1,39,31.03872389,655.74600611
56,3,13,29.51140333,664.8701102899998
57,1,29,63.87594515,719.6219512600001
