house,battery,distance,max_output_house
1,1,39,53.97543253
2,2,28,66.13020717
3,4,21,39.82123377
4,5,23,46.4333204
5,5,20,62.43058175
6,1,22,62.14055349
7,3,24,52.43116675
8,3,37,30.48448777
9,5,14,63.19785578
10,5,20,65.00367928
11,1,19,40.20336825
12,1,19,53.03976583
13,3,12,39.13247939
14,3,13,39.45690812
15,2,46,53.84443114
16,1,17,60.40913294
17,3,45,27.78076375
18,5,23,57.77286486
19,1,21,38.72179636
20,1,21,29.92408755
21,3,8,41.78571625
22,2,14,59.91115918
23,4,19,71.42208448
24,3,21,37.23961036
25,2,49,70.21473166
26,4,33,61.05026554
27,5,13,38.13617191
28,5,16,29.83002147
29,3,32,74.15296092
30,1,36,68.6532457
31,4,13,54.25835415
32,5,9,41.7880369
33,3,27,72.88165705
34,1,30,62.0133643
35,5,13,53.08761347
36,1,36,52.08494864
37,5,23,38.71047582
38,1,8,66.05341632
39,2,38,45.33453242
40,2,16,51.94608562
41,3,15,57.11814462
42,1,17,29.34726889
43,5,28,37.28002017
44,3,7,58.90934923
45,2,24,45.14508246
46,3,32,44.75870431
47,4,15,46.63929091
48,5,6,29.93133051
49,3,13,60.7690834
50,1,35,55.74063546
51,4,21,60.96696147
52,3,38,45.9393011
53,3,28,70.02856894
54,2,40,26.27681146
55,3,34,31.03872389
56,3,13,29.51140333
57,1,29,63.87594515
58,5,8,28.04976611
59,2,7,31.4973607
60,2,47,45.25994244
61,2,16,49.93687743
62,5,21,65.6434655
63,5,11,38.5524821
64,2,46,48.15325636
65,3,5,59.63813712
66,5,7,44.14228862
67,4,9,28.73871494
68,4,28,35.97663002
69,1,34,57.19809379
70,4,22,66.07952654
71,1,36,75.8473443
72,2,17,38.85647001
73,4,5,31.97506792
74,1,36,38.37311881
75,2,29,40.72933179
76,1,38,53.27408283
77,1,23,57.15314373
78,2,45,56.14106998
79,3,8,60.5787997
80,5,17,47.17876571
81,3,19,55.93567156
82,4,41,67.70113184
83,1,9,32.56142196
84,1,36,55.75694271
85,2,1,59.68412189
86,4,22,30.57764452
87,2,23,56.03511409
88,2,36,38.69411298
89,4,41,64.25056806
90,5,15,74.82543524
91,5,17,34.78697213
92,5,19,46.65642768
93,5,21,60.03957103
94,1,24,29.26065385
95,5,9,70.68631843
96,5,14,74.53947279
97,5,13,46.25506287
98,2,31,33.30314048
99,4,29,70.41480105
100,2,34,39.37298309
101,2,10,64.25603513
102,1,6,66.45865072
103,1,20,38.3766668
104,2,35,26.65336877
105,5,28,32.63123071
106,5,10,68.63304898
107,4,27,62.33504063
108,4,42,41.71675352
109,4,15,51.84271486
110,3,14,29.90737428
111,3,43,58.40033018
112,5,24,38.50460131
113,2,17,37.81128037
114,4,18,73.40226925
115,1,9,33.56390131
116,1,37,33.96614241
117,5,13,63.30973309
118,4,22,26.81272998
119,1,18,47.29043731
120,2,53,54.40644245
121,3,22,67.12368936
122,2,14,39.85726456
123,5,28,29.43663895
124,4,24,41.46231813
125,1,6,69.53106382
126,1,12,72.11411933
127,3,13,41.23924682
128,3,26,33.61818802
129,4,40,44.9319234
130,4,12,50.53984719
131,4,21,63.13649746
132,4,27,38.24420236
133,2,36,76.1538049
134,3,40,43.28587772
135,3,17,60.8375359
136,4,31,29.1671214
137,2,22,43.0013272
138,3,23,70.34144168
139,2,30,52.07076394
140,4,38,63.12900053
141,3,41,29.86780761
142,4,40,66.97873982
143,1,18,42.32972013
144,3,8,30.41692196
145,4,17,74.26615041
146,2,5,49.16852893
147,5,21,71.35472201
148,2,25,66.78438663
149,4,27,56.65609954
150,5,25,26.19979919
total distance: 3472,costs grid:31248,costs batteries:25000,total costs:56248
