house,battery,distance,max_output_house
1,4,39,53.97543253
2,4,26,66.13020717
3,5,47,39.82123377
4,5,23,46.4333204
5,1,50,62.43058175
6,4,44,62.14055349
7,1,27,52.43116675
8,2,42,30.48448777
9,1,54,63.19785578
10,5,20,65.00367928
11,2,25,40.20336825
12,2,25,53.03976583
13,4,39,39.13247939
14,3,13,39.45690812
15,1,42,53.84443114
16,5,51,60.40913294
17,5,38,27.78076375
18,3,64,57.77286486
19,5,47,38.72179636
20,3,34,29.92408755
21,2,11,41.78571625
22,4,12,59.91115918
23,5,49,71.42208448
24,3,21,37.23961036
25,5,23,70.21473166
26,2,37,61.05026554
27,5,13,38.13617191
28,2,62,29.83002147
29,2,39,74.15296092
30,3,49,68.6532457
31,5,57,54.25835415
32,1,65,41.7880369
33,2,24,72.88165705
34,3,43,62.0133643
35,3,68,53.08761347
36,1,36,52.08494864
37,3,68,38.71047582
38,2,14,66.05341632
39,2,38,45.33453242
40,5,56,51.94608562
41,2,26,57.11814462
42,3,26,29.34726889
43,1,40,37.28002017
44,4,20,58.90934923
45,1,20,45.14508246
46,3,32,44.75870431
47,5,53,46.63929091
48,2,78,29.93133051
49,5,70,60.7690834
50,4,35,55.74063546
51,4,21,60.96696147
52,1,43,45.9393011
53,5,53,70.02856894
54,3,49,26.27681146
55,3,34,31.03872389
56,3,13,29.51140333
57,2,35,63.87594515
58,5,8,28.04976611
59,1,13,31.4973607
60,1,43,45.25994244
61,3,25,49.93687743
62,4,47,65.6434655
63,1,67,38.5524821
64,3,55,48.15325636
65,3,5,59.63813712
66,5,7,44.14228862
67,4,9,28.73871494
68,5,50,35.97663002
69,4,54,57.19809379
70,2,32,66.07952654
71,5,34,75.8473443
72,1,13,38.85647001
73,4,5,31.97506792
74,1,36,38.37311881
75,4,25,40.72933179
76,2,44,53.27408283
77,5,45,57.15314373
78,5,27,56.14106998
79,2,17,60.5787997
80,5,17,47.17876571
81,1,20,55.93567156
82,4,41,67.70113184
83,3,16,32.56142196
84,5,32,55.75694271
85,2,1,59.68412189
86,4,22,30.57764452
87,2,23,56.03511409
88,5,36,38.69411298
89,4,41,64.25056806
90,3,66,74.82543524
91,5,17,34.78697213
92,2,53,46.65642768
93,4,47,60.03957103
94,3,37,29.26065385
95,2,67,70.68631843
96,5,14,74.53947279
97,5,13,46.25506287
98,3,40,33.30314048
99,3,52,70.41480105
100,5,38,39.37298309
101,2,10,64.25603513
102,1,6,66.45865072
103,1,20,38.3766668
104,5,41,26.65336877
105,5,28,32.63123071
106,1,58,68.63304898
107,2,31,62.33504063
108,2,46,41.71675352
109,5,53,51.84271486
110,3,14,29.90737428
111,1,40,58.40033018
112,1,44,38.50460131
113,3,26,37.81128037
114,3,39,73.40226925
115,2,13,33.56390131
116,2,41,33.96614241
117,4,57,63.30973309
118,1,24,26.81272998
119,4,40,47.29043731
120,4,49,54.40644245
121,3,22,67.12368936
122,3,23,39.85726456
123,1,40,29.43663895
124,4,24,41.46231813
125,3,19,69.53106382
126,2,16,72.11411933
127,2,14,41.23924682
128,3,26,33.61818802
129,4,40,44.9319234
130,2,16,50.53984719
131,1,21,63.13649746
132,1,49,38.24420236
133,1,32,76.1538049
134,1,41,43.28587772
135,3,17,60.8375359
136,3,44,29.1671214
137,1,26,43.0013272
138,3,23,70.34144168
139,1,26,52.07076394
140,1,38,63.12900053
141,1,46,29.86780761
142,1,40,66.97873982
143,3,31,42.32972013
144,4,29,30.41692196
145,4,17,74.26615041
146,4,19,49.16852893
147,4,53,71.35472201
148,4,33,66.78438663
149,4,27,56.65609954
150,2,47,26.19979919
total distance: 5116,costs grid:46044,costs batteries:25000,total costs:71044
