house,battery,distance,max_output_house
1,2,18,51.94411629
2,5,17,47.82087397
3,1,10,51.81241388
4,5,15,53.11777253
5,2,4,54.14676516
6,3,10,45.24272018
7,2,7,46.74039375
8,3,22,54.75398768
9,4,26,47.72196575
10,5,8,51.86891316
11,4,10,46.8033198
12,4,5,54.99730646
13,3,11,47.04037014
14,5,15,50.25432556
15,2,5,45.54596912
16,5,7,49.93506537
17,4,11,49.07862835
18,5,8,54.18469088
19,4,9,46.63089313
20,3,27,48.43740503
21,1,14,52.92581641
22,2,15,53.98009231
23,1,15,52.91142802
24,1,4,46.75613739
25,5,1,47.34915773
26,1,14,46.26812357
27,1,19,53.63368373
28,1,1,52.96938435
29,5,9,46.60969509
30,1,16,45.84094791
31,5,4,51.95373609
32,1,5,54.30849405
33,1,10,54.2211502
34,1,5,52.58547404
35,5,14,46.9524009
36,3,4,53.46156177
37,4,2,49.79974209
38,3,23,51.75273225
39,4,14,48.27297674
40,4,12,54.91354462
41,2,6,50.04190502
42,5,18,54.22966024
43,4,20,48.85814641
44,4,15,54.54461427
45,5,16,47.94582721
46,3,5,49.86535747
47,2,14,46.38651333
48,1,12,53.35585729
49,2,24,54.16981224
50,5,16,48.01065715
51,2,5,50.55356632
52,5,14,47.37788381
53,1,8,48.60918505
54,5,5,48.14242474
55,3,32,49.72629004
56,2,25,46.01633925
57,4,19,51.03867367
58,1,18,48.4395487
59,5,6,52.0929123
60,2,9,45.5472391
61,4,27,46.46747877
62,1,18,48.25043584
63,1,16,45.40186719
64,3,26,49.93311335
65,4,18,49.65236115
66,4,9,46.05322103
67,3,25,48.70842308
68,2,12,48.54997218
69,4,7,51.72717898
70,3,43,51.62646163
71,5,7,52.78210048
72,4,8,49.13738507
73,3,38,52.76961749
74,2,17,48.0219944
75,2,4,45.78474275
76,5,24,52.98566399
77,5,15,49.79777396
78,3,34,47.99198559
79,3,10,53.71601636
80,2,6,45.2342213
81,2,21,53.15980812
82,2,13,50.30051709
83,4,21,46.01918212
84,5,13,50.8435769
85,3,23,53.95360569
86,2,21,53.32105133
87,1,16,50.63918945
88,1,10,52.2305101
89,3,29,51.82639703
90,2,23,52.8088529
91,2,18,54.53006205
92,4,16,46.51627586
93,5,5,45.29702228
94,1,15,47.09131203
95,1,22,45.31733653
96,1,8,50.16548949
97,3,11,52.38040091
98,2,17,47.58049297
99,3,28,52.05437525
100,5,17,54.12515118
101,4,34,45.16959822
102,3,5,53.48855448
103,2,7,50.91041056
104,1,18,53.76285577
105,3,8,47.6825473
106,2,16,45.61104522
107,3,10,53.3512745
108,2,7,51.58057128
109,4,14,50.30256407
110,5,15,53.26904882
111,1,4,46.65187897
112,5,12,51.54326497
113,5,26,50.38289294
114,1,8,53.12331423
115,3,25,48.31035497
116,1,13,51.79628813
117,4,11,53.95936785
118,4,16,49.52760828
119,4,20,46.13662116
120,3,8,45.17557463
121,5,11,51.57104914
122,4,14,50.20207187
123,3,24,54.7990422
124,2,22,53.34058355
125,5,6,46.43816048
126,4,14,48.72125695
127,4,12,53.08724525
128,1,4,53.63429606
129,5,7,49.54607954
130,4,11,54.56844455
131,3,8,47.92097158
132,4,7,48.43719875
133,3,33,50.74878243
134,5,6,47.56339729
135,3,36,47.77817151
136,3,15,45.25109877
137,2,34,53.54773542
138,5,15,47.97674042
139,4,1,52.57995149
140,1,17,47.67000862
141,2,8,48.94518723
142,3,12,51.83878558
143,1,12,47.71839737
144,1,5,48.74438962
145,4,1,48.22881096
146,3,36,48.23526882
147,2,25,51.07946117
148,2,16,48.82801588
149,1,9,46.27510427
150,2,3,47.73944395
total distance: 2145,costs grid:19305,costs batteries:25000,total costs:44305
