house,battery,distance,max_output_house
82,1,3,59.05896036
106,1,3,38.48596722
48,2,3,41.12708974
103,2,3,64.6667857
71,3,3,47.14949021
135,3,3,59.37576043
56,5,4,39.8339645
23,1,5,41.79763764
122,2,5,39.14559958
143,2,5,44.58706876
65,5,5,44.4066236
66,5,5,64.44382811
4,1,6,36.40331775
147,3,6,35.5552718
10,4,6,63.12038188
123,5,6,38.69040639
59,1,7,52.23919855
27,2,7,36.37710418
80,2,7,47.39904077
85,2,7,39.81936486
47,4,7,51.14671974
53,5,7,63.73606908
62,1,8,54.48982494
57,4,8,40.4929237
87,4,8,40.61631674
13,5,8,40.60892953
9,3,9,49.9985406
90,3,9,49.44122897
36,3,26,63.05172666
88,4,9,55.90292767
49,5,9,48.50865344
74,5,9,62.88141752
116,5,9,54.907644
97,2,10,49.04355789
11,3,10,63.7118043
84,5,12,49.50781665
37,2,11,40.77396592
89,2,11,42.61411328
121,2,11,43.44180597
131,2,11,40.7044132
83,3,11,59.68436389
60,4,11,57.03641574
124,4,11,38.17991123
150,4,11,57.12008594
22,1,12,64.06758851
141,5,17,60.91065902
63,2,12,38.62374353
35,3,12,57.24475908
15,4,12,36.88169378
28,4,12,55.38231616
33,4,12,36.13312321
52,4,12,58.76139914
86,4,12,41.68226663
142,4,12,40.55434782
42,4,16,64.4517609
76,5,12,50.35807729
18,1,13,49.84931475
99,1,13,58.39362925
126,1,13,54.8377261
127,1,13,36.67499817
2,2,13,44.09168174
40,2,13,49.57599547
67,2,13,38.40462319
129,2,13,52.8837846
148,2,13,38.40802103
145,3,13,56.32473588
25,4,13,64.50983467
93,4,13,38.33821095
138,4,13,55.9303441
144,4,13,58.83768219
39,5,13,57.01992312
43,1,14,39.91374306
102,1,14,46.87020086
107,1,14,47.63820126
120,3,14,41.48920914
105,4,14,36.64489815
119,5,14,45.8934274
68,1,15,64.1795134
79,1,15,58.6298162
117,2,15,57.5929688
7,3,15,45.9622578
140,3,15,50.75214489
19,4,15,61.0137363
128,5,15,41.88875758
41,2,18,48.83351279
100,1,16,38.79808279
134,1,16,51.50674585
139,2,16,41.16116018
30,3,19,52.84858044
132,5,16,48.28655559
61,1,17,61.57329114
96,1,17,43.25342339
17,2,17,39.38884807
26,4,17,53.17296019
3,5,17,38.4723184
101,5,17,35.44113109
110,3,18,50.13812647
92,1,18,57.36334288
104,2,18,52.89669021
146,5,21,54.95406591
6,2,18,55.71262043
46,3,18,52.20518124
1,4,18,48.76400191
91,4,18,49.04859791
130,4,18,44.36408371
31,5,18,37.73044496
55,5,18,36.7394839
34,5,20,47.33240149
51,1,19,39.31626881
109,2,19,62.12319013
112,3,19,39.51931013
32,4,19,47.48157843
125,4,19,50.56612579
50,5,19,59.78619507
20,3,20,62.28650955
73,3,20,64.49005705
75,3,27,43.94928406
24,5,20,56.03098521
136,2,21,50.04026027
44,3,21,64.79397046
69,3,21,40.87885768
29,3,22,61.3949773
98,3,22,63.56837786
45,4,22,58.44840778
78,3,23,60.93412813
133,1,19,47.83949256
77,3,23,56.40032746
95,2,24,57.39706274
12,5,24,56.91378259
21,5,24,36.98224478
70,5,24,63.87700034
5,3,25,44.36102572
64,3,25,43.1260208
111,2,27,45.04775519
114,1,19,45.54974087
72,2,29,58.3986013
81,1,20,61.34791216
149,5,29,37.82715244
113,5,30,64.74853094
115,4,22,38.76288176
118,2,31,54.51204967
58,1,24,61.5437326
14,1,34,35.82814756
8,2,34,36.90684143
137,1,23,49.40039856
108,4,25,63.8665196
16,5,34,64.52218421
94,1,26,54.0265882
38,1,31,54.13000914
54,2,35,52.204709
total distance: 2320,costs grid:20880,costs batteries:25000,total costs:45880
