house,battery,distance,max_output_house
1,1,19,51.94411629
2,2,54,47.82087397
3,5,24,51.81241388
4,3,51,53.11777253
5,4,49,54.14676516
6,5,46,45.24272018
7,3,26,46.74039375
8,3,22,54.75398768
9,5,68,47.72196575
10,5,8,51.86891316
11,4,10,46.8033198
12,4,5,54.99730646
13,3,11,47.04037014
14,2,38,50.25432556
15,3,24,45.54596912
16,4,37,49.93506537
17,3,61,49.07862835
18,5,8,54.18469088
19,3,67,46.63089313
20,2,28,48.43740503
21,5,18,52.92581641
22,4,40,53.98009231
23,1,15,52.91142802
24,1,4,46.75613739
25,1,29,47.34915773
26,3,44,46.26812357
27,4,23,53.63368373
28,4,15,52.96938435
29,2,42,46.60969509
30,4,30,45.84094791
31,1,32,51.95373609
32,5,29,54.30849405
33,2,27,54.2211502
34,4,15,52.58547404
35,4,44,46.9524009
36,1,54,53.46156177
37,1,16,49.79974209
38,5,19,51.75273225
39,1,28,48.27297674
40,2,65,54.91354462
41,2,6,50.04190502
42,5,18,54.22966024
43,1,18,48.85814641
44,1,31,54.54461427
45,5,16,47.94582721
46,3,5,49.86535747
47,4,39,46.38651333
48,2,25,53.35585729
49,4,29,54.16981224
50,5,16,48.01065715
51,5,42,50.55356632
52,1,42,47.37788381
53,2,45,48.60918505
54,5,5,48.14242474
55,4,40,49.72629004
56,2,25,46.01633925
57,1,33,51.03867367
58,5,32,48.4395487
59,4,36,52.0929123
60,2,9,45.5472391
61,5,59,46.46747877
62,4,34,48.25043584
63,1,16,45.40186719
64,2,21,49.93311335
65,4,18,49.65236115
66,4,9,46.05322103
67,3,25,48.70842308
68,5,49,48.54997218
69,2,46,51.72717898
70,2,36,51.62646163
71,5,7,52.78210048
72,4,8,49.13738507
73,3,38,52.76961749
74,3,36,48.0219944
75,5,41,45.78474275
76,2,47,52.98566399
77,5,15,49.79777396
78,1,36,47.99198559
79,3,10,53.71601636
80,5,43,45.2342213
81,2,21,53.15980812
82,3,30,50.30051709
83,1,29,46.01918212
84,4,37,50.8435769
85,2,22,53.95360569
86,3,40,53.32105133
87,4,24,50.63918945
88,2,47,52.2305101
89,3,29,51.82639703
90,3,42,52.8088529
91,2,18,54.53006205
92,4,16,46.51627586
93,5,5,45.29702228
94,4,29,47.09131203
95,3,40,45.31733653
96,2,29,50.16548949
97,4,61,52.38040091
98,2,17,47.58049297
99,2,23,52.05437525
100,2,42,54.12515118
101,2,39,45.16959822
102,5,45,53.48855448
103,4,54,50.91041056
104,1,18,53.76285577
105,5,44,47.6825473
106,1,23,45.61104522
107,2,9,53.3512745
108,1,38,51.58057128
109,4,14,50.30256407
110,3,53,53.26904882
111,1,4,46.65187897
112,3,46,51.54326497
113,1,14,50.38289294
114,5,32,53.12331423
115,2,18,48.31035497
116,1,13,51.79628813
117,5,35,53.95936785
118,1,32,49.52760828
119,2,33,46.13662116
120,1,48,45.17557463
121,2,38,51.57104914
122,3,86,50.20207187
123,5,22,54.7990422
124,3,41,53.34058355
125,2,41,46.43816048
126,4,14,48.72125695
127,4,12,53.08724525
128,3,60,53.63429606
129,3,45,49.54607954
130,5,31,54.56844455
131,3,8,47.92097158
132,5,49,48.43719875
133,5,67,50.74878243
134,4,42,47.56339729
135,1,46,47.77817151
136,2,8,45.25109877
137,3,53,53.54773542
138,3,31,47.97674042
139,4,1,52.57995149
140,3,39,47.67000862
141,3,27,48.94518723
142,1,44,51.83878558
143,1,12,47.71839737
144,1,5,48.74438962
145,4,1,48.22881096
146,5,72,48.23526882
147,3,44,51.07946117
148,1,27,48.82801588
149,1,9,46.27510427
150,1,34,47.73944395
total distance: 4573,costs grid:41157,costs batteries:25000,total costs:66157
