house,battery,distance,max_output_house
1,4,18,48.76400191
2,2,13,44.09168174
3,5,17,38.4723184
4,1,6,36.40331775
5,3,25,44.36102572
6,2,18,55.71262043
7,3,15,45.9622578
8,1,32,36.90684143
9,3,9,49.9985406
10,4,6,63.12038188
11,3,10,63.7118043
12,4,24,56.91378259
13,5,8,40.60892953
14,1,34,35.82814756
15,4,12,36.88169378
16,1,25,64.52218421
17,3,29,39.38884807
18,1,13,49.84931475
19,4,15,61.0137363
20,3,20,62.28650955
21,5,24,36.98224478
22,1,12,64.06758851
23,1,5,41.79763764
24,5,20,56.03098521
25,4,13,64.50983467
26,4,17,53.17296019
27,2,7,36.37710418
28,4,12,55.38231616
29,3,22,61.3949773
30,3,19,52.84858044
31,5,18,37.73044496
32,4,19,47.48157843
33,4,12,36.13312321
34,3,25,47.33240149
35,3,12,57.24475908
36,4,9,63.05172666
37,2,11,40.77396592
38,1,31,54.13000914
39,3,22,57.01992312
40,2,13,49.57599547
41,5,21,48.83351279
42,5,12,64.4517609
43,5,15,39.91374306
44,3,21,64.79397046
45,4,22,58.44840778
46,3,18,52.20518124
47,5,15,51.14671974
48,2,3,41.12708974
49,5,9,48.50865344
50,5,19,59.78619507
51,5,26,39.31626881
52,4,12,58.76139914
53,5,7,63.73606908
54,2,35,52.204709
55,5,18,36.7394839
56,5,4,39.8339645
57,4,8,40.4929237
58,1,24,61.5437326
59,1,7,52.23919855
60,4,11,57.03641574
61,1,17,61.57329114
62,1,8,54.48982494
63,2,12,38.62374353
64,3,25,43.1260208
65,5,5,44.4066236
66,5,5,64.44382811
67,2,13,38.40462319
68,1,15,64.1795134
69,3,21,40.87885768
70,5,24,63.87700034
71,3,3,47.14949021
72,2,29,58.3986013
73,3,20,64.49005705
74,3,26,62.88141752
75,4,20,43.94928406
76,5,12,50.35807729
77,3,23,56.40032746
78,2,23,60.93412813
79,1,15,58.6298162
80,2,7,47.39904077
81,1,20,61.34791216
82,1,3,59.05896036
83,3,11,59.68436389
84,5,12,49.50781665
85,2,7,39.81936486
86,4,12,41.68226663
87,4,8,40.61631674
88,4,9,55.90292767
89,2,11,42.61411328
90,3,9,49.44122897
91,4,18,49.04859791
92,1,18,57.36334288
93,5,21,38.33821095
94,1,26,54.0265882
95,2,24,57.39706274
96,1,17,43.25342339
97,2,10,49.04355789
98,2,24,63.56837786
99,5,18,58.39362925
100,1,16,38.79808279
101,3,18,35.44113109
102,1,14,46.87020086
103,2,3,64.6667857
104,2,18,52.89669021
105,4,14,36.64489815
106,1,3,38.48596722
107,1,14,47.63820126
108,4,25,63.8665196
109,2,19,62.12319013
110,3,18,50.13812647
111,2,27,45.04775519
112,3,19,39.51931013
113,1,21,64.74853094
114,1,19,45.54974087
115,4,22,38.76288176
116,5,9,54.907644
117,2,15,57.5929688
118,2,31,54.51204967
119,5,14,45.8934274
120,3,14,41.48920914
121,2,11,43.44180597
122,2,5,39.14559958
123,5,6,38.69040639
124,4,11,38.17991123
125,4,19,50.56612579
126,1,13,54.8377261
127,1,13,36.67499817
128,5,15,41.88875758
129,2,13,52.8837846
130,4,18,44.36408371
131,2,11,40.7044132
132,5,16,48.28655559
133,1,19,47.83949256
134,5,21,51.50674585
135,3,3,59.37576043
136,2,21,50.04026027
137,1,23,49.40039856
138,4,13,55.9303441
139,3,30,41.16116018
140,3,15,50.75214489
141,5,17,60.91065902
142,4,12,40.55434782
143,2,5,44.58706876
144,4,13,58.83768219
145,3,13,56.32473588
146,5,21,54.95406591
147,3,6,35.5552718
148,2,13,38.40802103
149,5,29,37.82715244
150,4,11,57.12008594
total distance: 2369,costs grid:21321,costs batteries:25000,total costs:46321
