house,battery,distance,max_output_house
74,1,2,48.0219944
66,2,2,46.05322103
117,2,2,53.95936785
93,3,2,45.29702228
129,3,2,49.54607954
120,4,2,45.17557463
92,7,2,46.51627586
1,1,3,51.94411629
18,3,3,54.18469088
31,3,3,51.95373609
17,7,3,49.07862835
99,8,3,52.05437525
25,3,4,47.34915773
131,4,4,47.92097158
142,4,4,51.83878558
111,5,4,46.65187897
143,5,4,47.71839737
11,7,4,46.8033198
104,7,4,53.76285577
127,7,4,53.08724525
68,1,5,48.54997218
109,2,5,50.30256407
125,3,5,46.43816048
46,4,5,49.86535747
4,5,5,53.11777253
77,5,5,49.79777396
144,5,5,48.74438962
149,5,5,46.27510427
133,6,5,50.74878243
64,8,5,49.93311335
60,1,6,45.5472391
81,1,6,53.15980812
82,1,6,50.30051709
86,1,6,53.32105133
95,1,6,45.31733653
130,2,6,54.56844455
54,3,6,48.14242474
36,4,6,53.46156177
24,5,6,46.75613739
128,2,17,53.63429606
55,6,6,49.72629004
56,6,6,46.01633925
90,6,6,52.8088529
146,6,6,48.23526882
43,7,6,48.85814641
119,7,6,46.13662116
126,7,6,48.72125695
148,8,6,48.82801588
106,1,7,45.61104522
124,1,7,53.34058355
39,2,7,48.27297674
40,2,7,54.91354462
10,3,7,51.86891316
134,8,17,47.56339729
97,4,7,52.38040091
34,2,16,52.58547404
61,6,7,46.46747877
70,6,7,51.62646163
83,7,7,46.01918212
45,8,7,47.94582721
62,8,7,48.25043584
123,8,7,54.7990422
22,1,8,53.98009231
145,2,8,48.22881096
9,6,8,47.72196575
73,6,8,52.76961749
65,7,8,49.65236115
16,8,8,49.93506537
38,8,8,51.75273225
138,8,8,47.97674042
140,8,8,47.67000862
49,1,9,54.16981224
116,1,9,51.79628813
141,1,9,48.94518723
122,2,9,50.20207187
75,4,9,45.78474275
80,4,9,45.2342213
19,7,9,46.63089313
27,7,9,53.63368373
69,7,9,51.72717898
59,8,9,52.0929123
63,8,9,45.40186719
15,1,10,45.54596912
26,1,10,46.26812357
51,1,10,50.55356632
147,1,10,51.07946117
44,2,10,54.54461427
139,2,10,52.57995149
103,4,10,50.91041056
105,4,10,47.6825473
107,4,10,53.3512745
108,4,10,51.58057128
87,7,10,50.63918945
47,8,10,46.38651333
5,1,11,54.14676516
41,1,11,50.04190502
91,1,11,54.53006205
115,1,11,48.31035497
37,2,11,49.79974209
72,2,11,49.13738507
88,2,11,52.2305101
118,2,11,49.52760828
13,4,11,47.04037014
102,4,11,53.48855448
136,4,11,45.25109877
57,7,11,51.03867367
132,7,11,48.43719875
137,7,11,53.54773542
21,8,11,52.92581641
30,8,11,45.84094791
50,8,11,48.01065715
78,8,11,47.99198559
98,8,11,47.58049297
33,1,12,54.2211502
150,1,12,47.73944395
6,4,12,45.24272018
71,8,12,52.78210048
53,2,13,48.60918505
58,2,13,48.4395487
12,7,13,54.99730646
48,8,13,53.35585729
7,1,14,46.74039375
114,1,14,53.12331423
3,8,15,51.81241388
112,8,15,51.54326497
32,2,16,54.30849405
35,8,17,46.9524009
96,8,17,50.16548949
8,4,18,54.75398768
79,4,18,53.71601636
67,1,19,48.70842308
113,2,19,50.38289294
23,2,20,52.91142802
28,2,20,52.96938435
29,8,20,46.60969509
89,8,20,51.82639703
100,8,20,54.12515118
20,1,21,48.43740503
94,5,7,47.09131203
121,8,22,51.57104914
135,7,24,47.77817151
84,8,24,50.8435769
101,7,26,45.16959822
14,8,26,50.25432556
85,8,26,53.95360569
76,5,14,52.98566399
42,2,29,54.22966024
52,3,9,47.37788381
110,8,30,53.26904882
2,8,32,47.82087397
total distance: 1519,costs grid:13671,costs batteries:11250,total costs:24921
