house,battery,distance,max_output_house
1,7,14,53.97543253
2,6,8,66.13020717
3,7,10,39.82123377
4,2,9,46.4333204
5,2,8,62.43058175
6,5,14,62.14055349
7,5,17,52.43116675
8,5,4,30.48448777
9,4,7,63.19785578
10,2,6,65.00367928
11,5,17,40.20336825
12,5,17,53.03976583
13,1,17,39.13247939
14,1,10,39.45690812
15,2,12,53.84443114
16,7,18,60.40913294
17,5,4,27.78076375
18,2,11,57.77286486
19,6,9,38.72179636
20,6,9,29.92408755
21,3,14,41.78571625
22,7,23,59.91115918
23,7,6,71.42208448
24,1,10,37.23961036
25,2,9,70.21473166
26,7,16,61.05026554
27,4,4,38.13617191
28,2,4,29.83002147
29,5,9,74.15296092
30,7,11,68.6532457
31,7,14,54.25835415
32,2,11,41.7880369
33,5,18,72.88165705
34,6,2,62.0133643
35,2,1,53.08761347
36,5,8,52.08494864
37,2,11,38.71047582
38,1,8,66.05341632
39,6,4,45.33453242
40,3,13,51.94608562
41,1,8,57.11814462
42,1,3,29.34726889
43,4,11,37.28002017
44,1,28,58.90934923
45,5,20,45.14508246
46,5,9,44.75870431
47,7,10,46.63929091
48,2,20,29.93133051
49,1,12,60.7690834
50,2,19,55.74063546
51,7,6,60.96696147
52,5,7,45.9393011
53,5,13,70.02856894
54,7,11,26.27681146
55,5,7,31.03872389
56,1,10,29.51140333
57,5,7,63.87594515
58,4,9,28.04976611
59,3,6,31.4973607
60,5,15,45.25994244
61,1,12,49.93687743
62,2,7,65.6434655
63,2,13,38.5524821
64,5,14,48.15325636
65,3,17,59.63813712
66,2,7,44.14228862
67,3,14,28.73871494
68,7,15,35.97663002
69,5,6,57.19809379
70,7,5,66.07952654
71,5,8,75.8473443
72,1,15,38.85647001
73,3,12,31.97506792
74,5,2,38.37311881
75,7,4,40.72933179
76,5,4,53.27408283
77,5,19,57.15314373
78,4,10,56.14106998
79,5,49,60.5787997
80,2,7,47.17876571
81,1,4,55.93567156
82,2,13,67.70113184
83,1,7,32.56142196
84,6,8,55.75694271
85,3,2,59.68412189
86,7,3,30.57764452
87,6,11,56.03511409
88,6,6,38.69411298
89,2,13,64.25056806
90,2,11,74.82543524
91,2,3,34.78697213
92,2,5,46.65642768
93,2,7,60.03957103
94,7,11,29.26065385
95,2,9,70.68631843
96,4,9,74.53947279
97,2,11,46.25506287
98,6,7,33.30314048
99,7,14,70.41480105
100,7,5,39.37298309
101,7,25,64.25603513
102,1,10,66.45865072
103,6,12,38.3766668
104,7,6,26.65336877
105,2,14,32.63123071
106,4,7,68.63304898
107,6,5,62.33504063
108,7,17,41.71675352
109,7,10,51.84271486
110,1,9,29.90737428
111,5,4,58.40033018
112,4,7,38.50460131
113,1,9,37.81128037
114,7,7,73.40226925
115,3,10,33.56390131
116,6,9,33.96614241
117,2,3,63.30973309
118,7,9,26.81272998
119,5,18,47.29043731
120,5,21,54.40644245
121,5,19,67.12368936
122,3,11,39.85726456
123,5,18,29.43663895
124,7,1,41.46231813
125,7,27,69.53106382
126,5,26,72.11411933
127,1,10,41.23924682
128,5,15,33.61818802
129,2,14,44.9319234
130,7,21,50.53984719
131,6,9,63.13649746
132,7,16,38.24420236
133,6,2,76.1538049
134,5,5,43.28587772
135,1,6,60.8375359
136,7,6,29.1671214
137,7,7,43.0013272
138,5,18,70.34144168
139,6,6,52.07076394
140,2,16,63.12900053
141,5,10,29.86780761
142,2,14,66.97873982
143,1,8,42.32972013
144,1,15,30.41692196
145,6,13,74.26615041
146,3,4,49.16852893
147,2,9,71.35472201
148,5,25,66.78438663
149,6,3,56.65609954
150,4,8,26.19979919
total distance: 1621,costs grid:14589,costs batteries:9900,total costs:24489
