house,battery,distance,max_output_house
1,1,13,48.76400191
2,2,5,44.09168174
3,1,12,38.4723184
4,5,15,36.40331775
5,3,12,44.36102572
6,2,8,55.71262043
7,3,14,45.9622578
8,5,13,36.90684143
9,4,13,49.9985406
10,1,17,63.12038188
11,4,8,63.7118043
12,1,7,56.91378259
13,3,28,40.60892953
14,5,15,35.82814756
15,3,8,36.88169378
16,5,8,64.52218421
17,2,7,39.38884807
18,1,19,49.84931475
19,3,3,61.0137363
20,2,16,62.28650955
21,1,9,36.98224478
22,5,9,64.06758851
23,5,14,41.79763764
24,1,5,56.03098521
25,1,12,64.50983467
26,3,7,53.17296019
27,2,9,36.37710418
28,3,6,55.38231616
29,3,11,61.3949773
30,3,10,52.84858044
31,1,15,37.73044496
32,1,14,47.48157843
33,3,18,36.13312321
34,4,7,47.33240149
35,3,19,57.24475908
36,3,9,63.05172666
37,2,13,40.77396592
38,5,12,54.13000914
39,4,14,57.01992312
40,2,7,49.57599547
41,2,12,48.83351279
42,1,9,64.4517609
43,1,12,39.91374306
44,2,15,64.79397046
45,1,17,58.44840778
46,3,11,52.20518124
47,1,10,51.14671974
48,2,11,41.12708974
49,4,10,48.50865344
50,1,12,59.78619507
51,1,23,39.31626881
52,3,6,58.76139914
53,1,16,63.73606908
54,5,18,52.204709
55,1,13,36.7394839
56,3,34,39.8339645
57,3,14,40.4929237
58,5,5,61.5437326
59,5,12,52.23919855
60,3,5,57.03641574
61,5,4,61.57329114
62,4,18,54.48982494
63,2,4,38.62374353
64,3,10,43.1260208
65,1,16,44.4066236
66,4,22,64.44382811
67,2,3,38.40462319
68,1,21,64.1795134
69,4,17,40.87885768
70,1,15,63.87700034
71,4,21,47.14949021
72,5,8,58.3986013
73,3,17,64.49005705
74,4,8,62.88141752
75,3,4,43.94928406
76,4,7,50.35807729
77,2,15,56.40032746
78,2,13,60.93412813
79,5,12,58.6298162
80,2,15,47.39904077
81,5,13,61.34791216
82,4,27,59.05896036
83,4,7,59.68436389
84,4,15,49.50781665
85,2,17,39.81936486
86,1,5,41.68226663
87,3,8,40.61631674
88,1,8,55.90292767
89,2,13,42.61411328
90,4,9,49.44122897
91,3,24,49.04859791
92,5,13,57.36334288
93,1,4,38.33821095
94,5,7,54.0265882
95,5,9,57.39706274
96,4,13,43.25342339
97,2,6,49.04355789
98,4,18,63.56837786
99,2,13,58.39362925
100,5,3,38.79808279
101,3,13,35.44113109
102,2,12,46.87020086
103,2,9,64.6667857
104,5,15,52.89669021
105,1,3,36.64489815
106,5,16,38.48596722
107,5,5,47.63820126
108,1,20,63.8665196
109,5,14,62.12319013
110,4,4,50.13812647
111,5,10,45.04775519
112,4,25,39.51931013
113,5,12,64.74853094
114,5,4,45.54974087
115,1,9,38.76288176
116,4,12,54.907644
117,2,7,57.5929688
118,5,14,54.51204967
119,1,7,45.8934274
120,4,18,41.48920914
121,2,21,43.44180597
122,2,7,39.14559958
123,4,15,38.69040639
124,3,5,38.17991123
125,3,5,50.56612579
126,4,13,54.8377261
127,5,6,36.67499817
128,4,8,41.88875758
129,2,11,52.8837846
130,3,2,44.36408371
131,2,9,40.7044132
132,4,3,48.28655559
133,5,10,47.83949256
134,2,10,51.50674585
135,4,15,59.37576043
136,2,15,50.04026027
137,5,4,49.40039856
138,3,7,55.9303441
139,2,6,41.16116018
140,4,9,50.75214489
141,2,14,60.91065902
142,3,24,40.55434782
143,2,7,44.58706876
144,3,3,58.83768219
145,4,5,56.32473588
146,4,8,54.95406591
147,3,23,35.5552718
148,2,19,38.40802103
149,1,10,37.82715244
150,3,7,57.12008594
total distance: 1738,costs grid:15642,costs batteries:25000,total costs:40642
