house,battery,distance,max_output_house
1,5,6,51.94411629
2,3,24,47.82087397
3,5,11,51.81241388
4,3,8,53.11777253
5,1,11,54.14676516
6,1,16,45.24272018
7,1,14,46.74039375
8,1,22,54.75398768
9,4,6,47.72196575
10,3,23,51.86891316
11,4,22,46.8033198
12,4,31,54.99730646
13,1,7,47.04037014
14,3,8,50.25432556
15,1,12,45.54596912
16,3,22,49.93506537
17,4,21,49.07862835
18,3,15,54.18469088
19,2,32,46.63089313
20,4,15,48.43740503
21,3,15,52.92581641
22,4,12,53.98009231
23,2,6,52.91142802
24,5,9,46.75613739
25,3,14,47.34915773
26,5,7,46.26812357
27,5,12,53.63368373
28,2,10,52.96938435
29,3,24,46.60969509
30,3,15,45.84094791
31,3,19,51.95373609
32,2,10,54.30849405
33,5,3,54.2211502
34,2,8,52.58547404
35,3,29,46.9524009
36,1,10,53.46156177
37,2,25,49.79974209
38,5,20,51.75273225
39,2,21,48.27297674
40,2,21,54.91354462
41,1,11,50.04190502
42,3,3,54.22966024
43,5,11,48.85814641
44,2,24,54.54461427
45,5,27,47.94582721
46,1,7,49.86535747
47,5,10,46.38651333
48,5,9,53.35585729
49,5,10,54.16981224
50,3,31,48.01065715
51,1,12,50.55356632
52,3,21,47.37788381
53,2,3,48.60918505
54,3,12,48.14242474
55,4,8,49.72629004
56,4,4,46.01633925
57,4,19,51.03867367
58,2,11,48.4395487
59,3,21,52.0929123
60,1,16,45.5472391
61,4,5,46.46747877
62,3,19,48.25043584
63,5,11,45.40186719
64,1,22,49.93311335
65,5,11,49.65236115
66,2,14,46.05322103
67,4,15,48.70842308
68,5,14,48.54997218
69,4,25,51.72717898
70,4,9,51.62646163
71,3,22,52.78210048
72,2,15,49.13738507
73,4,10,52.76961749
74,5,9,48.0219944
75,1,5,45.78474275
76,2,13,52.98566399
77,2,8,49.79777396
78,5,31,47.99198559
79,1,22,53.71601636
80,1,5,45.2342213
81,5,3,53.15980812
82,4,14,50.30051709
83,4,11,46.01918212
84,3,2,50.8435769
85,1,23,53.95360569
86,5,13,53.32105133
87,5,9,50.63918945
88,2,13,52.2305101
89,1,29,51.82639703
90,4,4,52.8088529
91,4,9,54.53006205
92,4,16,46.51627586
93,3,14,45.29702228
94,3,6,47.09131203
95,4,14,45.31733653
96,5,11,50.16548949
97,1,11,52.38040091
98,5,9,47.58049297
99,5,21,52.05437525
100,3,32,54.12515118
101,4,12,45.16959822
102,1,15,53.48855448
103,1,6,50.91041056
104,5,11,53.76285577
105,1,14,47.6825473
106,4,13,45.61104522
107,1,6,53.3512745
108,1,8,51.58057128
109,2,13,50.30256407
110,3,22,53.26904882
111,2,11,46.65187897
112,3,11,51.54326497
113,2,5,50.38289294
114,5,5,53.12331423
115,4,15,48.31035497
116,5,4,51.79628813
117,2,14,53.95936785
118,2,25,49.52760828
119,4,12,46.13662116
120,1,6,45.17557463
121,3,8,51.57104914
122,2,23,50.20207187
123,1,16,54.7990422
124,4,13,53.34058355
125,3,21,46.43816048
126,5,21,48.72125695
127,4,20,53.08724525
128,2,7,53.63429606
129,3,14,49.54607954
130,2,12,54.56844455
131,1,4,47.92097158
132,2,30,48.43719875
133,4,7,50.74878243
134,3,9,47.56339729
135,4,10,47.77817151
136,1,7,45.25109877
137,4,13,53.54773542
138,3,30,47.97674042
139,2,24,52.57995149
140,5,14,47.67000862
141,1,15,48.94518723
142,1,2,51.83878558
143,2,9,47.71839737
144,2,4,48.74438962
145,2,22,48.22881096
146,4,8,48.23526882
147,5,13,51.07946117
148,5,14,48.82801588
149,2,2,46.27510427
150,1,10,47.73944395
total distance: 2065,costs grid:18585,costs batteries:25000,total costs:43585
