house,battery,distance,max_output_house
1,4,26,48.76400191
2,2,29,44.09168174
3,1,18,38.4723184
4,5,17,36.40331775
5,4,62,44.36102572
6,3,14,55.71262043
7,2,13,45.9622578
8,1,20,36.90684143
9,3,33,49.9985406
10,2,19,63.12038188
11,4,45,63.7118043
12,1,25,56.91378259
13,1,23,40.60892953
14,1,22,35.82814756
15,2,15,36.88169378
16,5,10,64.52218421
17,2,33,39.38884807
18,1,5,49.84931475
19,3,44,61.0137363
20,3,22,62.28650955
21,1,25,36.98224478
22,1,14,64.06758851
23,5,16,41.79763764
24,4,12,56.03098521
25,1,30,64.50983467
26,2,20,53.17296019
27,4,48,36.37710418
28,3,35,55.38231616
29,2,30,61.3949773
30,3,31,52.84858044
31,1,17,37.73044496
32,5,43,47.48157843
33,1,41,36.13312321
34,2,23,47.33240149
35,1,68,57.24475908
36,1,42,63.05172666
37,4,36,40.77396592
38,4,20,54.13000914
39,1,34,57.01992312
40,4,46,49.57599547
41,4,29,48.83351279
42,4,18,64.4517609
43,3,40,39.91374306
44,5,44,64.79397046
45,2,35,58.44840778
46,5,65,52.20518124
47,3,46,51.14671974
48,5,34,41.12708974
49,4,29,48.50865344
50,4,11,59.78619507
51,5,22,39.31626881
52,1,47,58.76139914
53,3,36,63.73606908
54,4,26,52.204709
55,5,26,36.7394839
56,2,15,39.8339645
57,4,38,40.4929237
58,5,3,61.5437326
59,1,5,52.23919855
60,5,55,57.03641574
61,4,10,61.57329114
62,1,20,54.48982494
63,5,27,38.62374353
64,4,60,43.1260208
65,4,17,44.4066236
66,2,16,64.44382811
67,5,32,38.40462319
68,5,16,64.1795134
69,1,35,40.87885768
70,4,16,63.87700034
71,1,59,47.14949021
72,5,6,58.3986013
73,5,77,64.49005705
74,5,39,62.88141752
75,3,41,43.94928406
76,2,9,50.35807729
77,4,50,56.40032746
78,5,42,60.93412813
79,3,17,58.6298162
80,4,54,47.39904077
81,3,38,61.34791216
82,3,23,59.05896036
83,3,31,59.68436389
84,3,19,49.50781665
85,2,35,39.81936486
86,3,51,41.68226663
87,3,41,40.61631674
88,3,56,55.90292767
89,1,43,42.61411328
90,2,25,49.44122897
91,1,35,49.04859791
92,3,20,57.36334288
93,3,52,38.33821095
94,1,14,54.0265882
95,4,23,57.39706274
96,5,34,43.25342339
97,1,28,49.04355789
98,3,20,63.56837786
99,5,26,58.39362925
100,5,5,38.79808279
101,2,6,35.44113109
102,2,24,46.87020086
103,3,5,64.6667857
104,2,38,52.89669021
105,1,21,36.64489815
106,5,18,38.48596722
107,5,7,47.63820126
108,5,49,63.8665196
109,4,28,62.12319013
110,5,47,50.13812647
111,1,17,45.04775519
112,5,48,39.51931013
113,4,10,64.74853094
114,5,6,45.54974087
115,4,22,38.76288176
116,3,22,54.907644
117,1,23,57.5929688
118,5,12,54.51204967
119,4,16,45.8934274
120,3,28,41.48920914
121,3,15,43.44180597
122,3,7,39.14559958
123,4,22,38.69040639
124,4,45,38.17991123
125,2,22,50.56612579
126,4,24,54.8377261
127,2,33,36.67499817
128,3,16,41.88875758
129,3,5,52.8837846
130,4,52,44.36408371
131,3,9,40.7044132
132,5,44,48.28655559
133,1,15,47.83949256
134,1,20,51.50674585
135,2,21,59.37576043
136,1,45,50.04026027
137,2,43,49.40039856
138,1,48,55.9303441
139,5,35,41.16116018
140,2,15,50.75214489
141,2,20,60.91065902
142,2,25,40.55434782
143,2,37,44.58706876
144,2,16,58.83768219
145,2,13,56.32473588
146,2,24,54.95406591
147,1,58,35.5552718
148,4,34,38.40802103
149,2,26,37.82715244
150,2,12,57.12008594
total distance: 4260,costs grid:38340,costs batteries:25000,total costs:63340
