house,battery,distance,max_output_house
1,2,14,53.97543253
2,1,11,66.13020717
3,2,4,39.82123377
4,1,32,46.4333204
5,2,25,62.43058175
6,3,5,62.14055349
7,3,10,52.43116675
8,5,9,30.48448777
9,5,27,63.19785578
10,3,31,65.00367928
11,3,2,40.20336825
12,3,2,53.03976583
13,4,26,39.13247939
14,4,19,39.45690812
15,3,25,53.84443114
16,1,10,60.40913294
17,5,9,27.78076375
18,2,26,57.77286486
19,1,8,38.72179636
20,1,8,29.92408755
21,4,14,41.78571625
22,4,11,59.91115918
23,2,6,71.42208448
24,3,13,37.23961036
25,3,28,70.21473166
26,1,20,61.05026554
27,5,22,38.13617191
28,2,33,29.83002147
29,3,16,74.15296092
30,4,37,68.6532457
31,2,14,54.25835415
32,5,38,41.7880369
33,3,3,72.88165705
34,1,17,62.0133643
35,2,34,53.08761347
36,5,3,52.08494864
37,2,30,38.71047582
38,4,17,66.05341632
39,3,17,45.33453242
40,1,5,51.94608562
41,3,15,57.11814462
42,3,4,29.34726889
43,1,27,37.28002017
44,4,17,58.90934923
45,3,3,45.14508246
46,5,14,44.75870431
47,4,16,46.63929091
48,5,41,29.93133051
49,4,27,60.7690834
50,1,22,55.74063546
51,4,22,60.96696147
52,5,12,45.9393011
53,3,14,70.02856894
54,2,11,26.27681146
55,5,12,31.03872389
56,1,21,29.51140333
57,5,8,63.87594515
58,5,27,28.04976611
59,4,4,31.4973607
60,5,10,45.25994244
61,4,13,49.93687743
62,2,30,65.6434655
63,5,40,38.5524821
64,5,9,48.15325636
65,4,17,59.63813712
66,5,34,44.14228862
67,4,12,28.73871494
68,2,5,35.97663002
69,5,1,57.19809379
70,2,5,66.07952654
71,5,5,75.8473443
72,1,6,38.85647001
73,4,10,31.97506792
74,5,5,38.37311881
75,2,14,40.72933179
76,5,7,53.27408283
77,3,6,57.15314373
78,5,22,56.14106998
79,4,20,60.5787997
80,2,36,47.17876571
81,3,11,55.93567156
82,1,28,67.70113184
83,1,14,32.56142196
84,3,19,55.75694271
85,4,2,59.68412189
86,2,11,30.57764452
87,1,6,56.03511409
88,1,19,38.69411298
89,3,24,64.25056806
90,5,30,74.82543524
91,2,36,34.78697213
92,2,28,46.65642768
93,2,34,60.03957103
94,1,17,29.26065385
95,2,38,70.68631843
96,5,27,74.53947279
97,5,30,46.25506287
98,1,14,33.30314048
99,2,4,70.41480105
100,2,11,39.37298309
101,4,7,64.25603513
102,4,15,66.45865072
103,1,13,38.3766668
104,2,6,26.65336877
105,3,23,32.63123071
106,5,25,68.63304898
107,1,14,62.33504063
108,2,17,41.71675352
109,4,18,51.84271486
110,3,16,29.90737428
111,5,9,58.40033018
112,5,13,38.50460131
113,1,12,37.81128037
114,2,9,73.40226925
115,1,4,33.56390131
116,1,24,33.96614241
117,2,32,63.30973309
118,2,19,26.81272998
119,3,1,47.29043731
120,5,16,54.40644245
121,3,10,67.12368936
122,4,13,39.85726456
123,5,13,29.43663895
124,2,11,41.46231813
125,4,7,69.53106382
126,4,19,72.11411933
127,4,17,41.23924682
128,3,14,33.61818802
129,1,27,44.9319234
130,1,7,50.53984719
131,1,8,63.13649746
132,2,6,38.24420236
133,1,19,76.1538049
134,5,10,43.28587772
135,4,23,60.8375359
136,2,16,29.1671214
137,4,19,43.0013272
138,3,11,70.34144168
139,1,13,52.07076394
140,1,25,63.12900053
141,5,15,29.86780761
142,3,23,66.97873982
143,3,3,42.32972013
144,4,16,30.41692196
145,1,4,74.26615041
146,4,6,49.16852893
147,2,28,71.35472201
148,3,6,66.78438663
149,1,14,56.65609954
150,5,18,26.19979919
total distance: 2422,costs grid:21798,costs batteries:25000,total costs:46798
