house,battery,distance,max_output_house
57,2,2,63.87594515
135,3,2,60.8375359
95,4,2,70.68631843
40,5,2,51.94608562
130,5,2,50.53984719
16,5,3,60.40913294
41,3,4,57.11814462
81,3,4,55.93567156
32,4,4,41.7880369
66,4,4,44.14228862
117,4,4,63.30973309
22,5,4,59.91115918
30,1,5,68.6532457
110,3,5,29.90737428
115,5,5,33.56390131
145,5,5,74.26615041
14,3,6,39.45690812
56,3,6,29.51140333
126,3,6,72.11411933
35,4,6,53.08761347
63,4,6,38.5524821
6,2,7,62.14055349
8,2,7,30.48448777
69,2,7,57.19809379
74,2,7,38.37311881
42,3,7,29.34726889
83,3,7,32.56142196
28,4,7,29.83002147
131,5,7,63.13649746
1,1,8,53.97543253
26,1,8,61.05026554
50,1,8,55.74063546
82,1,8,67.70113184
92,1,8,46.65642768
29,2,8,74.15296092
46,2,8,44.75870431
33,3,8,72.88165705
38,3,8,66.05341632
49,3,8,60.7690834
127,3,8,41.23924682
80,4,8,47.17876571
90,4,8,74.82543524
97,4,8,46.25506287
101,5,8,64.25603513
125,5,8,69.53106382
5,1,9,62.43058175
36,2,9,52.08494864
71,2,9,75.8473443
76,2,9,53.27408283
113,3,9,37.81128037
67,5,9,28.73871494
73,5,9,31.97506792
18,1,10,57.77286486
62,1,10,65.6434655
116,1,10,33.96614241
136,1,10,29.1671214
11,2,10,40.20336825
12,2,10,53.03976583
55,2,10,31.03872389
24,3,10,37.23961036
102,3,10,66.45865072
119,3,10,47.29043731
91,4,10,34.78697213
94,5,10,29.26065385
54,1,11,26.27681146
100,1,11,39.37298309
108,1,11,41.71675352
17,2,11,27.78076375
111,2,11,58.40033018
7,3,11,52.43116675
121,3,11,67.12368936
144,3,11,30.41692196
9,4,11,63.19785578
19,5,11,38.72179636
87,5,11,56.03511409
147,1,12,71.35472201
53,2,12,70.02856894
77,2,12,57.15314373
134,2,12,43.28587772
61,3,12,49.93687743
122,3,12,39.85726456
138,3,12,70.34144168
143,3,12,42.32972013
118,5,12,26.81272998
140,1,13,63.12900053
45,2,13,45.14508246
123,2,13,29.43663895
13,3,13,39.13247939
10,4,13,65.00367928
48,4,13,29.93133051
20,5,13,29.92408755
47,5,13,46.63929091
72,5,13,38.85647001
98,5,13,33.30314048
107,5,13,62.33504063
146,5,13,49.16852893
149,5,13,56.65609954
37,1,14,38.71047582
93,1,14,60.03957103
52,2,14,45.9393011
128,2,14,33.61818802
103,3,14,38.3766668
137,5,14,43.0013272
139,5,14,52.07076394
15,1,15,53.84443114
64,2,15,48.15325636
148,3,15,66.78438663
58,4,15,28.04976611
106,4,15,68.63304898
51,5,15,60.96696147
109,5,15,51.84271486
4,1,16,46.4333204
75,1,16,40.72933179
104,1,16,26.65336877
60,2,16,45.25994244
150,2,16,26.19979919
25,4,16,70.21473166
2,5,16,66.13020717
34,5,16,62.0133643
124,1,17,41.46231813
112,2,17,38.50460131
141,2,17,29.86780761
85,5,17,59.68412189
88,5,18,38.69411298
70,1,19,66.07952654
86,1,19,30.57764452
129,1,19,44.9319234
133,1,19,76.1538049
43,2,19,37.28002017
3,1,20,39.82123377
78,2,20,56.14106998
27,4,20,38.13617191
89,4,20,64.25056806
142,4,21,66.97873982
21,3,21,41.78571625
105,4,21,32.63123071
120,2,22,54.40644245
96,4,23,74.53947279
44,3,24,58.90934923
65,3,24,59.63813712
84,2,25,55.75694271
39,4,27,45.33453242
99,4,40,70.41480105
68,4,41,35.97663002
23,4,42,71.42208448
132,4,42,38.24420236
114,4,43,73.40226925
31,4,50,54.25835415
59,1,46,31.4973607
79,1,62,60.5787997
total distance: 2018,costs grid:18162,costs batteries:25000,total costs:43162,
Batterij:  1 29 44
Batterij:  2 10 11
Batterij:  3 27 7
Batterij:  4 11 46
Batterij:  5 37 25
