Run,Total Distance
1,5904
2,5744
3,6011
4,5482
5,5505
6,5452
7,5788
8,5457
9,5642
10,5476
11,5566
12,5301
13,5879
14,5555
15,5724
16,5651
17,5325
18,5619
19,5659
20,5553
21,5441
22,5531
23,5618
24,5498
25,5657
26,5579
27,5475
28,5650
29,5955
30,5692
31,5579
32,5737
33,5807
34,5410
35,5713
36,5599
37,5642
38,5905
39,5792
40,5525
41,5608
42,5716
43,5498
44,5689
45,5546
46,5711
47,5788
48,5731
49,5442
50,5896
51,5894
52,5575
53,5725
54,5531
55,5653
56,5619
57,5861
58,5728
59,5519
60,5621
61,5971
62,5440
63,5715
64,5476
65,5806
66,5873
67,5736
68,5709
69,5989
70,5765
71,5506
72,5714
73,5799
74,5355
75,5587
76,5773
77,5556
78,5650
79,5683
80,5531
81,5496
82,5659
83,5725
84,5514
85,5623
86,5339
87,5615
88,5745
89,5783
90,5315
91,5796
92,5914
93,5461
94,5680
95,5558
96,5755
97,5744
98,5715
99,5488
100,5144
101,5754
102,5958
103,5417
104,5587
105,5392
106,5564
107,5936
108,5635
109,5582
110,5855
111,5633
112,5612
113,5826
114,5853
115,5856
116,5624
117,5590
118,5857
119,5575
120,5805
121,5599
122,5581
123,5834
124,5699
125,5890
126,5210
127,5773
128,5843
129,5792
130,5569
131,5677
132,5583
133,5583
134,5982
135,5657
136,5833
137,5905
138,5842
139,5670
140,5473
141,5702
142,5605
143,5615
144,5541
145,5656
146,5953
147,5462
148,6021
149,5387
150,5448
151,5717
152,5796
153,5944
154,5694
155,5564
156,5576
157,5608
158,5798
159,5722
160,5481
161,5656
162,5363
163,5530
164,5531
165,5624
166,5533
167,5344
168,6018
169,5556
170,5831
171,5387
172,5546
173,5641
174,5697
175,5625
176,5475
177,5443
178,5623
179,5926
180,5753
