Run,Total Distance
1,1537
2,1527
3,1527
4,1527
5,1523
6,1523
7,1523
8,1523
9,1523
10,1523
11,1523
12,1523
13,1521
14,1521
15,1521
16,1521
17,1521
18,1521
19,1521
20,1521
21,1521
22,1521
23,1521
24,1521
25,1521
26,1521
27,1521
28,1521
29,1521
30,1521
31,1521
32,1521
33,1521
34,1521
35,1521
36,1521
37,1521
38,1521
39,1521
40,1521
41,1521
42,1521
43,1521
44,1521
45,1521
46,1521
47,1521
48,1521
49,1521
50,1521
51,1521
52,1521
53,1521
54,1521
55,1521
56,1521
57,1521
58,1521
59,1521
60,1521
61,1521
62,1521
63,1521
64,1521
65,1521
66,1521
67,1521
68,1521
69,1521
70,1521
71,1521
72,1521
73,1521
74,1521
75,1521
76,1521
77,1521
78,1521
79,1521
80,1521
81,1521
82,1521
83,1521
84,1521
85,1521
86,1521
87,1521
88,1521
89,1521
90,1521
91,1521
92,1521
93,1521
94,1521
95,1521
96,1521
97,1521
98,1521
99,1521
100,1521
101,1521
102,1521
103,1521
104,1521
105,1521
106,1521
107,1521
108,1521
109,1521
110,1521
111,1521
112,1521
113,1521
114,1521
115,1521
116,1521
117,1521
118,1521
119,1521
120,1521
121,1521
122,1521
123,1521
124,1521
125,1521
126,1521
127,1521
128,1521
129,1521
130,1521
131,1521
132,1521
133,1521
134,1521
135,1521
136,1521
137,1521
138,1521
139,1521
140,1521
141,1521
142,1521
143,1521
144,1521
145,1521
146,1521
147,1521
148,1521
149,1521
150,1521
151,1521
152,1521
153,1521
154,1521
155,1519
156,1519
157,1519
158,1519
159,1519
160,1519
161,1519
162,1519
163,1519
164,1519
165,1519
166,1519
167,1519
168,1519
169,1519
170,1519
171,1519
172,1519
173,1519
174,1519
175,1519
176,1519
177,1519
178,1519
179,1519
180,1519
181,1519
182,1519
183,1519
184,1519
185,1519
186,1519
187,1519
188,1519
189,1519
190,1519
191,1519
192,1519
193,1519
194,1519
195,1519
196,1519
197,1519
198,1519
199,1519
200,1519
201,1519
202,1519
203,1519
204,1519
205,1519
206,1519
207,1519
208,1519
209,1519
210,1519
211,1519
212,1519
213,1519
214,1519
215,1519
216,1519
217,1519
218,1519
219,1519
220,1519
221,1519
222,1519
223,1519
224,1519
225,1519
226,1519
227,1519
228,1519
229,1519
230,1519
231,1519
232,1519
233,1519
234,1519
235,1519
236,1519
237,1519
238,1519
239,1519
240,1519
241,1519
242,1519
243,1519
244,1519
245,1519
246,1519
247,1519
248,1519
249,1519
250,1519
251,1519
252,1519
253,1519
254,1519
255,1519
256,1519
257,1519
258,1519
259,1519
260,1519
261,1519
262,1519
263,1519
264,1519
265,1519
266,1519
267,1519
268,1519
