Run,Total Distance
1,5669
2,5525
3,5476
4,5462
5,5433
6,5430
7,5652
8,5644
9,5490
10,5397
11,5884
12,5496
13,5495
14,5771
15,5389
16,5539
17,5852
18,5488
19,5440
20,5426
21,5730
22,5610
23,5385
24,5842
25,5551
26,5747
27,5717
28,5498
29,5561
30,5591
31,5586
32,5557
33,5876
34,5936
35,5683
36,5608
37,5487
38,5721
39,5516
40,5375
41,5680
42,5475
43,5531
44,5464
45,5530
46,5532
47,5684
48,5645
49,5779
50,5665
51,5770
52,5571
53,5953
54,5561
55,5649
56,5812
57,5614
58,5674
59,5578
60,5570
61,5569
62,5742
63,5769
64,5528
65,5837
66,5773
67,5539
68,5909
69,5647
70,5721
71,5521
72,5697
73,5259
74,5769
75,5587
76,5783
77,6086
78,5616
79,5532
80,5817
81,5863
82,5556
83,5604
84,5734
85,5704
86,5711
87,5513
88,5897
89,5216
90,5923
91,5698
92,5116
93,5454
94,5654
95,5831
96,5815
97,5684
98,5315
99,5705
100,5706
101,5542
102,5620
103,5671
104,5575
105,5774
106,5770
107,5521
108,5716
109,5420
110,5360
111,5984
112,5446
113,5666
114,5601
115,5626
116,5365
117,5732
118,5339
119,5899
120,5805
121,5566
122,5950
123,5848
124,5545
125,5879
126,5870
127,5549
128,5513
129,5660
130,5590
131,5799
132,5686
133,5694
134,5471
135,5646
136,5630
137,5532
138,5185
139,5392
140,5632
141,5505
142,5682
143,5736
144,5631
145,5486
146,5944
147,5330
148,5885
149,5666
150,5308
151,5585
152,5794
153,5548
154,5801
155,5332
156,5724
157,5683
158,5758
159,5629
160,5632
161,5400
162,5674
163,5583
164,5845
165,5644
166,5756
167,5386
168,5788
169,5762
170,5805
171,5536
172,5601
173,5545
174,5812
175,5692
176,5712
177,5541
178,5531
179,5547
180,5758
181,5651
182,5583
183,5961
184,5914
185,5904
186,5750
187,5411
188,5763
189,5585
190,5602
191,5735
192,5536
193,5311
194,5801
195,5498
196,5750
197,5613
198,5390
199,5907
200,5644
201,5771
202,5372
203,5383
204,5781
205,5730
206,5981
207,5726
208,5663
209,5544
210,5802
211,5527
212,5530
213,5636
214,5692
215,5763
216,5618
217,5464
218,5619
219,5538
220,5759
221,5613
222,5933
223,5932
224,5835
225,5299
226,5385
227,5871
228,5445
229,5377
230,5812
231,5896
232,5416
233,5872
234,6131
235,5777
236,5714
237,6023
238,5676
239,5473
240,5675
241,5273
242,5625
243,5888
244,5759
245,5587
246,5533
247,5693
248,5690
249,5867
250,5543
251,5490
252,5679
253,5604
254,5898
255,5822
256,5428
257,5794
258,5616
259,5574
260,5780
261,5624
262,5683
263,5983
264,5833
265,5546
266,5623
267,5513
268,5427
269,5468
270,5704
271,5818
272,5602
273,5741
274,5720
275,5570
276,5419
277,5623
278,5536
279,5833
280,5526
281,5564
282,5555
283,5649
284,5532
285,5637
286,5919
287,5484
288,5753
289,5661
290,5723
291,5518
292,5758
293,5769
294,6034
295,5328
296,5629
297,5701
298,5352
299,5307
300,5577
301,5704
302,5635
303,5963
304,5684
305,5672
306,5777
307,5805
308,5444
309,5962
310,5835
311,5865
312,5620
313,5924
314,5348
