Run,Total Distance
1,4972
2,5028
3,5120
4,5088
5,5092
6,5112
7,5132
8,5106
9,5166
10,5142
11,5144
12,5136
13,5100
14,5092
15,5092
16,5092
17,5092
18,5092
19,5070
20,5068
21,5052
22,5024
23,5096
24,5096
25,5114
26,5146
27,5124
28,5122
29,5162
30,5162
31,5224
32,5244
33,5266
34,5200
35,5260
36,5190
37,5182
38,5148
39,5180
40,5114
41,5094
42,5108
43,5108
44,5100
45,5094
46,5032
47,5032
48,4982
49,4982
50,4980
51,4988
52,4982
53,4994
54,4994
55,4994
56,4972
57,4952
58,4916
59,4908
60,4932
61,5022
62,5022
63,5062
64,5048
65,5050
66,5048
67,5046
68,5046
69,5038
70,5046
71,5050
72,5100
73,5092
74,5100
75,5106
76,5098
77,5122
78,5122
79,5120
80,5120
81,5120
82,5118
83,5062
84,5074
85,5070
86,5050
87,5050
88,5044
89,5082
90,5090
91,5090
92,5108
93,5110
94,5114
95,5112
96,5102
97,5112
98,5128
99,5118
100,5118
101,5080
102,5066
103,5092
104,5112
105,5112
106,5154
107,5138
108,5142
109,5144
110,5120
111,5130
112,5130
113,5146
114,5146
115,5146
116,5156
117,5156
118,5156
119,5156
120,5162
121,5162
122,5162
123,5162
124,5162
125,5162
126,5176
127,5164
128,5152
129,5118
130,5146
131,5130
132,5070
133,5096
134,5096
135,5096
136,5074
137,5096
138,5096
139,5094
140,5094
141,5020
142,5030
143,5020
144,5020
145,5052
146,5052
147,5042
148,5030
149,5012
150,5022
151,5022
152,5020
153,5020
154,5020
155,5030
156,5092
157,5092
158,5088
159,5138
160,5136
161,5142
162,5142
163,5140
164,5140
165,5148
166,5140
167,5222
168,5218
169,5236
170,5232
171,5234
172,5192
173,5178
174,5182
175,5156
176,5150
177,5146
178,5146
179,5126
180,5144
181,5216
182,5186
183,5186
184,5162
185,5110
186,5156
187,5176
188,5170
189,5088
190,5092
191,5144
192,5174
193,5152
194,5152
195,5166
196,5170
197,5190
198,5210
199,5194
200,5194
201,5180
202,5206
203,5222
204,5222
205,5222
206,5222
207,5222
208,5258
209,5238
210,5206
211,5214
212,5214
213,5188
214,5198
215,5198
216,5198
217,5198
218,5212
219,5252
220,5274
221,5298
222,5298
223,5306
224,5306
225,5306
226,5308
227,5298
228,5206
229,5222
230,5222
231,5234
232,5252
233,5272
234,5266
235,5238
236,5266
237,5290
238,5290
239,5162
240,5184
241,5200
242,5220
243,5278
244,5278
245,5282
246,5290
247,5292
248,5304
