Run,Total Distance
1,3551
2,3551
3,3551
4,3551
5,3551
6,3549
7,3549
8,3549
9,3545
10,3545
11,3545
12,3545
13,3545
14,3537
15,3537
16,3535
17,3535
18,3535
19,3535
20,3535
21,3533
22,3533
23,3533
24,3533
25,3533
26,3533
27,3533
28,3533
29,3533
30,3533
31,3533
32,3533
33,3533
34,3531
35,3531
36,3529
37,3529
38,3529
39,3529
40,3529
41,3529
42,3529
43,3529
44,3529
45,3529
46,3529
47,3529
48,3529
49,3529
50,3529
51,3529
52,3529
53,3529
54,3529
55,3529
56,3527
57,3527
58,3527
59,3527
60,3527
61,3527
62,3527
63,3527
64,3527
65,3527
66,3527
67,3527
68,3527
69,3527
70,3527
71,3527
72,3527
73,3527
74,3527
75,3527
76,3527
77,3527
78,3527
79,3527
80,3527
81,3527
82,3527
83,3527
84,3527
85,3527
86,3527
87,3527
88,3527
89,3527
90,3527
91,3527
92,3527
93,3527
94,3527
95,3523
96,3523
97,3523
98,3523
99,3523
100,3523
101,3521
102,3521
103,3521
104,3521
105,3521
106,3521
107,3521
108,3521
109,3521
110,3521
111,3521
112,3521
113,3521
114,3521
115,3521
116,3521
117,3521
118,3521
119,3521
120,3521
121,3521
122,3521
123,3521
124,3521
125,3521
126,3521
127,3521
128,3521
129,3521
130,3521
131,3521
132,3521
133,3521
134,3521
135,3521
136,3521
137,3521
138,3521
139,3521
140,3521
141,3521
142,3521
143,3521
144,3521
145,3521
146,3521
147,3521
148,3521
149,3521
150,3521
151,3521
152,3521
153,3521
154,3521
155,3521
156,3521
157,3521
158,3521
159,3521
160,3521
161,3521
162,3521
163,3521
164,3521
165,3521
166,3519
167,3519
168,3519
169,3519
170,3519
171,3519
172,3519
173,3519
174,3519
175,3519
176,3519
177,3519
178,3519
179,3519
180,3509
181,3509
182,3509
183,3509
184,3509
185,3509
186,3507
187,3507
188,3507
189,3507
190,3507
191,3507
192,3507
193,3507
194,3507
195,3507
196,3507
197,3507
198,3507
199,3505
200,3505
201,3505
202,3505
203,3505
204,3505
205,3505
206,3505
207,3505
208,3505
209,3505
210,3505
211,3505
212,3505
213,3505
214,3505
215,3505
216,3505
217,3505
218,3505
219,3505
220,3505
221,3505
222,3505
223,3505
224,3505
225,3505
226,3505
227,3505
228,3505
229,3505
230,3505
231,3505
232,3505
233,3505
234,3505
235,3503
236,3503
237,3503
238,3503
239,3503
240,3497
241,3497
242,3497
243,3497
244,3497
245,3497
246,3497
247,3497
248,3497
249,3497
250,3497
251,3497
252,3497
253,3497
254,3497
255,3497
256,3497
257,3497
258,3497
259,3497
260,3497
261,3497
262,3497
263,3497
264,3497
265,3497
266,3497
267,3497
268,3497
269,3497
270,3497
271,3497
272,3497
273,3497
274,3497
275,3497
276,3497
277,3497
278,3497
279,3497
280,3497
281,3497
282,3497
283,3497
284,3497
285,3497
286,3497
287,3497
288,3497
289,3497
290,3497
291,3497
292,3497
293,3497
294,3497
295,3497
296,3497
297,3497
298,3497
299,3497
300,3497
301,3497
302,3497
303,3497
304,3497
305,3497
306,3497
307,3497
308,3497
309,3497
310,3497
311,3497
312,3497
313,3497
314,3497
315,3497
316,3495
317,3495
318,3495
319,3495
320,3495
321,3495
322,3495
323,3495
324,3495
325,3495
326,3495
327,3495
328,3495
329,3495
330,3495
331,3495
332,3495
333,3495
334,3495
335,3495
336,3495
337,3495
338,3495
339,3495
340,3495
341,3495
342,3495
343,3495
344,3495
345,3495
346,3495
347,3495
348,3495
349,3495
350,3495
351,3495
352,3495
353,3495
354,3495
355,3495
356,3495
357,3495
358,3495
359,3495
360,3495
361,3495
362,3495
363,3495
364,3495
365,3495
366,3495
367,3495
368,3495
369,3495
370,3495
371,3495
372,3495
373,3495
374,3495
375,3495
376,3495
377,3495
378,3495
379,3495
380,3495
381,3495
382,3495
383,3495
384,3495
385,3495
386,3495
387,3495
388,3495
389,3495
390,3495
391,3495
392,3495
393,3495
394,3495
395,3495
396,3495
397,3495
398,3495
399,3495
400,3495
401,3495
402,3495
403,3495
404,3495
405,3495
406,3495
407,3495
408,3495
409,3495
410,3495
411,3495
412,3495
413,3495
414,3495
415,3495
416,3495
417,3495
418,3495
419,3495
420,3495
421,3495
422,3495
423,3495
424,3495
425,3495
426,3495
427,3495
428,3495
429,3495
430,3495
431,3495
432,3495
433,3495
434,3495
435,3495
436,3495
437,3495
438,3495
439,3495
440,3495
441,3495
442,3495
443,3495
444,3495
445,3495
446,3495
447,3495
448,3495
449,3495
450,3495
451,3495
452,3495
453,3495
454,3495
455,3495
456,3495
457,3495
458,3495
459,3495
460,3495
461,3495
462,3495
463,3495
464,3495
465,3495
466,3495
467,3495
468,3495
469,3495
470,3495
471,3495
472,3495
473,3495
474,3495
475,3495
476,3495
477,3495
478,3495
479,3495
480,3495
481,3495
482,3495
483,3495
484,3495
485,3495
486,3495
487,3495
488,3495
489,3495
490,3495
491,3495
492,3495
493,3495
494,3495
495,3495
496,3495
497,3495
498,3495
499,3495
500,3495
501,3495
502,3495
503,3495
504,3495
505,3495
506,3495
507,3495
508,3495
509,3495
510,3495
511,3495
512,3495
513,3495
514,3491
515,3491
516,3491
517,3491
518,3491
519,3491
520,3491
521,3491
522,3491
523,3491
524,3491
525,3491
526,3491
527,3491
528,3491
529,3491
530,3491
531,3491
532,3491
533,3491
534,3491
535,3489
536,3489
537,3489
538,3489
539,3489
540,3489
541,3489
542,3489
543,3489
544,3489
545,3489
546,3489
547,3489
548,3489
549,3489
550,3489
551,3489
552,3489
553,3489
554,3489
555,3489
556,3489
557,3489
558,3489
559,3489
560,3489
561,3489
562,3489
563,3489
