Run,Total Distance
1,4444
2,4444
3,4400
4,4386
5,4386
6,4386
7,4356
8,4356
9,4356
10,4348
11,4320
12,4320
13,4320
14,4288
15,4288
16,4254
17,4218
18,4180
19,4180
20,4182
21,4182
22,4182
23,4136
24,4136
25,4136
26,4136
27,4088
28,4088
29,4088
30,4088
31,4088
32,4080
33,4080
34,4080
35,4080
36,4080
37,4080
38,4080
39,4072
40,4072
41,4072
42,4072
43,4072
44,4072
45,4072
46,4072
47,4072
48,4072
49,4072
50,4072
51,4046
52,4046
53,4046
54,4046
55,4028
56,4028
57,4028
58,4010
59,4010
60,4010
61,3992
62,3954
63,3960
64,3960
65,3960
66,3960
67,3960
68,3924
69,3924
70,3884
71,3884
72,3884
73,3840
74,3840
75,3802
76,3802
77,3794
78,3794
79,3794
80,3748
81,3748
82,3748
83,3748
84,3748
85,3734
86,3734
87,3734
88,3734
89,3734
90,3734
91,3734
92,3724
93,3724
94,3724
95,3724
96,3720
97,3720
98,3720
99,3720
100,3720
101,3720
102,3712
103,3710
104,3710
105,3710
106,3712
107,3712
108,3706
109,3706
110,3706
111,3706
112,3706
113,3706
114,3704
115,3704
116,3704
117,3704
118,3704
119,3704
120,3704
121,3660
122,3660
123,3646
124,3646
125,3642
126,3642
127,3642
128,3642
129,3642
130,3642
131,3642
132,3642
133,3642
134,3642
135,3642
136,3608
137,3608
138,3608
139,3608
140,3608
141,3608
142,3608
143,3608
144,3608
145,3608
146,3608
147,3608
148,3608
149,3608
150,3608
151,3608
152,3608
153,3608
154,3608
155,3602
156,3602
157,3602
158,3602
159,3602
160,3602
161,3602
162,3602
163,3598
164,3598
165,3582
166,3582
167,3582
168,3556
169,3556
170,3542
171,3542
172,3542
173,3510
174,3510
175,3510
176,3510
177,3510
178,3502
179,3502
180,3502
181,3502
182,3502
183,3502
184,3478
185,3478
186,3478
187,3478
188,3478
189,3478
190,3478
191,3478
192,3478
193,3478
194,3478
195,3478
196,3478
197,3478
198,3478
