house,battery,distance,max_output_house
28,1,1,52.96938435
139,4,1,52.57995149
145,4,1,48.22881096
25,5,1,47.34915773
37,4,2,49.79974209
150,2,3,47.73944395
24,1,4,46.75613739
111,1,4,46.65187897
128,1,4,53.63429606
5,2,4,54.14676516
75,2,4,45.78474275
36,3,4,53.46156177
31,5,4,51.95373609
32,1,5,54.30849405
34,1,5,52.58547404
144,1,5,48.74438962
15,2,5,45.54596912
51,2,5,50.55356632
46,3,5,49.86535747
102,3,5,53.48855448
12,4,5,54.99730646
54,5,5,48.14242474
93,5,5,45.29702228
41,2,6,50.04190502
80,2,6,45.2342213
59,5,6,52.0929123
125,5,6,46.43816048
134,5,6,47.56339729
7,2,7,46.74039375
103,2,7,50.91041056
108,2,7,51.58057128
142,2,7,51.83878558
69,4,7,51.72717898
132,4,7,48.43719875
16,5,7,49.93506537
71,5,7,52.78210048
129,5,7,49.54607954
53,1,8,48.60918505
96,1,8,50.16548949
114,1,8,53.12331423
13,2,8,47.04037014
136,2,8,45.25109877
141,2,8,48.94518723
105,3,8,47.6825473
120,3,8,45.17557463
131,3,8,47.92097158
72,4,8,49.13738507
10,5,8,51.86891316
18,5,8,54.18469088
149,1,9,46.27510427
60,2,9,45.5472391
107,2,9,53.3512745
19,4,9,46.63089313
66,4,9,46.05322103
29,5,9,46.60969509
3,1,10,51.81241388
33,1,10,54.2211502
88,1,10,52.2305101
97,2,10,52.38040091
6,3,10,45.24272018
79,3,10,53.71601636
11,4,10,46.8033198
17,4,11,49.07862835
117,4,11,53.95936785
130,4,11,54.56844455
121,5,11,51.57104914
48,1,12,53.35585729
143,1,12,47.71839737
68,2,12,48.54997218
40,4,12,54.91354462
127,4,12,53.08724525
30,5,12,45.84094791
112,5,12,51.54326497
4,1,13,53.11777253
77,1,13,49.79777396
116,1,13,51.79628813
82,2,13,50.30051709
84,5,13,50.8435769
94,5,13,47.09131203
21,1,14,52.92581641
26,1,14,46.26812357
65,1,14,49.65236115
113,3,68,50.38289294
47,2,14,46.38651333
39,4,14,48.27297674
109,4,14,50.30256407
122,4,14,50.20207187
126,4,14,48.72125695
35,5,14,46.9524009
52,5,14,47.37788381
99,5,14,52.05437525
23,3,65,52.91142802
22,2,15,53.98009231
123,2,15,54.7990422
44,4,15,54.54461427
14,5,15,50.25432556
110,5,15,53.26904882
138,5,15,47.97674042
63,3,40,45.40186719
81,3,40,53.15980812
87,3,48,50.63918945
106,2,16,45.61104522
148,2,16,48.82801588
92,4,16,46.51627586
118,4,16,49.52760828
45,5,16,47.94582721
50,5,16,48.01065715
62,5,16,48.25043584
64,5,16,49.93311335
49,3,43,54.16981224
140,3,39,47.67000862
74,2,17,48.0219944
98,2,17,47.58049297
2,5,17,47.82087397
100,5,17,54.12515118
1,2,18,51.94411629
91,2,18,54.53006205
115,2,18,48.31035497
104,4,18,53.76285577
57,4,19,51.03867367
137,4,19,53.54773542
43,4,20,48.85814641
119,4,20,46.13662116
8,2,21,54.75398768
83,4,21,46.01918212
58,4,22,48.4395487
38,3,23,51.75273225
85,3,23,53.95360569
67,3,25,48.70842308
9,4,26,47.72196575
20,3,27,48.43740503
89,3,29,51.82639703
55,3,32,49.72629004
133,3,33,50.74878243
78,3,34,47.99198559
135,3,36,47.77817151
146,1,44,48.23526882
73,3,38,52.76961749
86,3,40,53.32105133
95,1,22,45.31733653
124,3,41,53.34058355
90,3,42,52.8088529
70,3,43,51.62646163
56,1,32,46.01633925
101,1,48,45.16959822
147,1,20,51.07946117
61,1,31,46.46747877
27,1,19,53.63368373
42,3,60,54.22966024
76,1,22,52.98566399
total distance: 2393,costs grid:21537,costs batteries:25000,total costs:46537,
