house,battery,distance,max_output_house,current_capacity_battery
1,1,39,53.97543253,53.97543253
2,1,24,66.13020717,120.10563970000001
3,4,21,39.82123377,39.82123377
4,5,23,46.4333204,46.4333204
5,2,54,62.43058175,62.43058175
6,3,33,62.14055349,62.14055349
7,2,33,52.43116675,114.8617485
8,3,37,30.48448777,92.62504126
9,5,14,63.19785578,109.63117618
10,5,20,65.00367928,174.63485545999998
11,3,30,40.20336825,132.82840951
12,3,32,53.03976583,185.86817534
13,3,12,39.13247939,225.00065473
14,5,68,39.45690812,214.09176358
15,5,26,53.84443114,267.93619472
16,1,17,60.40913294,180.51477264000002
17,5,38,27.78076375,295.71695847
18,5,23,57.77286486,353.48982333000004
19,3,34,38.72179636,263.72245109
20,1,21,29.92408755,210.43886019
21,2,11,41.78571625,156.64746475
22,4,12,59.91115918,99.73239294999999
23,1,37,71.42208448,281.86094467
24,2,32,37.23961036,193.88707511
25,4,45,70.21473166,169.94712461
26,3,46,61.05026554,324.77271663
27,2,59,38.13617191,232.02324702
28,5,16,29.83002147,383.31984480000006
29,3,32,74.15296092,398.92567755
30,1,36,68.6532457,350.51419037
31,4,13,54.25835415,224.20547876
32,1,65,41.7880369,392.30222727
33,1,18,72.88165705,465.18388432
34,1,30,62.0133643,527.19724862
35,5,13,53.08761347,436.40745827000006
36,5,32,52.08494864,488.49240691000006
37,4,55,38.71047582,262.91595458
38,2,14,66.05341632,298.07666334
39,5,34,45.33453242,533.8269393300001
40,2,16,51.94608562,350.02274896
41,2,26,57.11814462,407.14089358
42,3,26,29.34726889,428.27294644
43,2,44,37.28002017,444.42091375
44,1,18,58.90934923,586.10659785
45,2,24,45.14508246,489.56599621
46,2,41,44.75870431,534.32470052
47,3,30,46.63929091,474.91223735
48,5,6,29.93133051,563.75826984
49,4,40,60.7690834,323.68503798
50,5,33,55.74063546,619.4989053
51,4,21,60.96696147,384.65199945
52,1,43,45.9393011,632.0458989499999
53,3,28,70.02856894,544.94080629
54,5,36,26.27681146,645.77571676
55,5,47,31.03872389,676.81444065
56,3,13,29.51140333,574.45220962
57,3,38,63.87594515,638.32815477
58,5,8,28.04976611,704.86420676
59,3,18,31.4973607,669.82551547
60,1,43,45.25994244,677.30584139
61,5,56,49.93687743,754.80108419
62,5,21,65.6434655,820.44454969
63,5,11,38.5524821,858.99703179
64,5,32,48.15325636,907.15028815
65,2,14,59.63813712,593.96283764
66,4,61,44.14228862,428.79428807
67,2,15,28.73871494,622.70155258
68,4,28,35.97663002,464.77091809
69,3,47,57.19809379,727.0236092600001
70,1,38,66.07952654,743.3853679299999
71,2,42,75.8473443,698.54889688
72,1,13,38.85647001,782.2418379399999
73,4,5,31.97506792,496.74598601
74,2,42,38.37311881,736.9220156900001
75,2,29,40.72933179,777.6513474800001
76,3,45,53.27408283,780.29769209
77,4,39,57.15314373,553.89912974
78,1,41,56.14106998,838.3829079199999
79,3,8,60.5787997,840.87649179
80,1,61,47.17876571,885.5616736299999
81,1,20,55.93567156,941.4973451899998
82,2,45,67.70113184,845.3524793200002
83,3,16,32.56142196,873.43791375
84,4,36,55.75694271,609.65607245
85,3,12,59.68412189,933.12203564
86,3,37,30.57764452,963.6996801600001
87,1,19,56.03511409,997.5324592799998
88,3,45,38.69411298,1002.3937931400001
89,2,45,64.25056806,909.6030473800001
90,4,53,74.82543524,684.4815076900001
91,1,51,34.78697213,1032.3194314099999
92,3,62,46.65642768,1049.05022082
93,2,51,60.03957103,969.6426184100002
94,4,24,29.26065385,713.7421615400001
95,4,63,70.68631843,784.4284799700001
96,2,64,74.53947279,1044.1820912000003
97,4,55,46.25506287,830.6835428400001
98,3,40,33.30314048,1082.3533613
99,5,49,70.41480105,977.5650892000001
100,3,43,39.37298309,1121.72634439
101,2,10,64.25603513,1108.4381263300004
102,2,12,66.45865072,1174.8967770500003
103,4,30,38.3766668,869.06020964
104,1,39,26.65336877,1058.97280018
105,5,28,32.63123071,1010.19631991
106,5,10,68.63304898,1078.82936889
107,4,27,62.33504063,931.39525027
108,4,42,41.71675352,973.11200379
109,2,21,51.84271486,1226.7394919100002
110,2,25,29.90737428,1256.6468661900003
111,5,38,58.40033018,1137.2296990700002
112,4,44,38.50460131,1011.6166051
113,4,29,37.81128037,1049.42788547
114,1,34,73.40226925,1132.37506943
115,4,13,33.56390131,1082.99178678
116,4,37,33.96614241,1116.95792919
117,5,13,63.30973309,1200.5394321600002
118,5,46,26.81272998,1227.3521621400002
119,1,18,47.29043731,1179.66550674
120,4,49,54.40644245,1171.36437164
121,2,33,67.12368936,1323.7705555500004
122,5,58,39.85726456,1267.2094267000002
123,4,40,29.43663895,1200.80101059
124,3,37,41.46231813,1163.18866252
125,5,62,69.53106382,1336.7404905200003
126,1,12,72.11411933,1251.77962607
127,3,13,41.23924682,1204.42790934
128,3,26,33.61818802,1238.04609736
129,1,40,44.9319234,1296.71154947
130,4,12,50.53984719,1251.34085778
131,1,21,63.13649746,1359.84804693
132,1,49,38.24420236,1398.09224929
133,3,45,76.1538049,1314.19990226
134,1,41,43.28587772,1441.3781270099998
135,3,17,60.8375359,1375.03743816
136,3,44,29.1671214,1404.20455956
137,2,22,43.0013272,1366.7718827500005
138,4,50,70.34144168,1321.6822994600002
139,1,26,52.07076394,1493.4488909499998
140,5,30,63.12900053,1399.8694910500003
141,3,41,29.86780761,1434.07236717
142,3,53,66.97873982,1501.05110699
143,2,22,42.32972013,1409.1016028800004
144,2,13,30.41692196,1439.5185248400005
145,4,17,74.26615041,1395.94844987
146,4,19,49.16852893,1445.1169788000002
147,5,21,71.35472201,1471.2242130600002
148,2,25,66.78438663,1506.3029114700005
149,4,27,56.65609954,1501.7730783400002
150,5,25,26.19979919,1497.4240122500003
total distance: 4782,costs grid:43038,costs batteries:25000,total costs:68038,
