Run,Total Distance
1,2364
2,2364
3,2364
4,2364
5,2364
6,2364
7,2364
8,2364
9,2364
10,2364
11,2364
12,2364
13,2364
14,2364
15,2364
16,2364
17,2364
18,2364
19,2364
20,2364
21,2364
22,2364
23,2364
24,2364
25,2364
26,2364
27,2364
28,2364
29,2364
30,2364
31,2364
32,2364
33,2364
34,2364
35,2364
36,2364
37,2364
38,2364
39,2364
40,2364
41,2364
42,2364
43,2364
44,2364
45,2364
46,2364
47,2364
49,2364
50,2364
51,2364
58,2364
59,2364
60,2364
61,2364
75,2364
76,2364
77,2364
78,2364
79,2364
80,2364
81,2364
82,2364
83,2364
84,2364
85,2364
86,2364
87,2364
88,2364
89,2364
90,2364
91,2364
92,2364
93,2364
94,2364
95,2364
96,2364
97,2364
98,2364
99,2364
100,2364
101,2364
102,2364
103,2364
104,2364
105,2364
106,2364
107,2364
108,2364
114,2364
115,2364
116,2364
117,2364
118,2364
119,2364
120,2364
121,2364
122,2364
123,2364
124,2364
125,2364
126,2364
127,2364
128,2364
129,2364
130,2364
131,2364
135,2364
136,2364
137,2364
138,2364
139,2364
140,2364
141,2364
142,2364
143,2364
144,2364
145,2364
146,2364
147,2364
148,2364
149,2364
150,2364
151,2364
152,2364
153,2364
154,2364
155,2364
156,2364
157,2364
158,2364
159,2364
160,2364
161,2364
162,2364
163,2364
164,2364
165,2364
166,2364
167,2364
168,2364
169,2364
170,2364
171,2364
172,2364
173,2364
174,2364
175,2364
176,2364
177,2364
178,2364
179,2364
180,2364
181,2364
182,2364
183,2364
184,2364
185,2364
186,2364
187,2364
188,2364
189,2364
190,2364
191,2364
192,2364
193,2364
194,2364
195,2364
196,2364
197,2364
198,2364
199,2364
200,2364
201,2364
202,2364
203,2364
204,2364
205,2364
206,2364
207,2364
208,2364
209,2364
210,2364
211,2364
212,2364
213,2364
214,2364
215,2364
216,2364
217,2364
218,2364
219,2364
220,2364
221,2364
222,2364
223,2364
224,2364
225,2364
226,2364
227,2364
228,2364
229,2364
230,2364
231,2364
232,2364
233,2364
234,2364
235,2364
236,2364
237,2364
238,2364
239,2364
240,2364
241,2364
242,2364
243,2364
244,2364
245,2364
246,2364
247,2364
248,2364
249,2364
250,2364
251,2364
252,2364
253,2364
254,2364
255,2364
256,2364
257,2364
258,2364
259,2364
260,2364
261,2364
262,2364
263,2364
264,2364
265,2364
266,2364
267,2364
268,2364
269,2364
270,2364
271,2364
272,2364
273,2364
274,2364
275,2364
276,2364
277,2364
278,2364
279,2364
280,2364
281,2364
282,2364
283,2364
284,2364
285,2364
286,2364
287,2364
288,2364
289,2364
290,2364
291,2364
292,2364
293,2364
294,2364
295,2364
296,2364
297,2364
298,2364
299,2364
300,2364
301,2364
302,2364
303,2364
304,2364
305,2364
306,2364
307,2364
308,2364
309,2364
310,2364
311,2364
312,2364
313,2364
314,2364
315,2364
316,2364
317,2364
318,2364
319,2364
320,2364
321,2364
322,2364
323,2364
324,2364
325,2364
326,2364
327,2364
328,2364
329,2364
330,2364
331,2364
332,2364
333,2364
334,2364
335,2364
336,2364
337,2364
338,2364
339,2364
340,2364
341,2364
342,2364
343,2364
344,2364
345,2364
346,2364
347,2364
348,2364
349,2364
350,2364
351,2364
352,2364
353,2364
354,2364
355,2364
356,2364
357,2364
358,2364
359,2364
360,2364
361,2364
362,2364
363,2364
364,2364
365,2364
366,2364
367,2364
376,2364
377,2364
378,2364
379,2364
380,2364
381,2364
382,2364
383,2364
384,2364
385,2364
386,2364
387,2364
388,2364
389,2364
390,2364
391,2364
392,2364
393,2364
394,2364
395,2364
396,2364
397,2364
398,2364
399,2364
400,2364
401,2364
402,2364
403,2364
404,2364
405,2364
406,2364
407,2364
443,2364
444,2364
445,2364
446,2364
447,2364
448,2364
449,2364
450,2364
451,2364
452,2364
453,2364
454,2364
455,2364
456,2364
457,2364
458,2364
459,2364
460,2364
461,2364
462,2364
463,2364
464,2364
465,2364
466,2364
467,2364
468,2364
469,2364
470,2364
471,2364
472,2364
473,2364
474,2364
475,2364
476,2364
477,2364
478,2364
479,2364
488,2364
489,2364
490,2364
491,2364
492,2364
493,2364
494,2364
495,2364
496,2364
497,2364
498,2364
499,2364
500,2364
501,2364
502,2364
503,2364
504,2364
505,2364
506,2364
507,2364
508,2364
509,2364
510,2364
511,2364
512,2364
513,2364
514,2364
515,2364
516,2364
517,2364
518,2364
519,2364
520,2364
521,2364
522,2364
523,2364
524,2364
525,2364
526,2364
527,2364
528,2364
529,2364
530,2364
531,2364
532,2364
533,2364
534,2364
535,2364
536,2364
537,2364
538,2364
539,2364
540,2364
541,2364
542,2364
543,2364
544,2364
545,2364
546,2364
547,2364
548,2364
549,2364
550,2364
551,2364
552,2364
553,2364
554,2364
555,2364
556,2364
557,2364
558,2364
559,2364
560,2364
561,2364
562,2364
563,2364
564,2364
565,2364
595,2364
596,2364
597,2364
598,2364
599,2364
600,2364
601,2364
602,2364
603,2364
604,2364
605,2364
606,2364
607,2364
608,2364
609,2364
610,2364
611,2364
612,2364
613,2364
614,2364
615,2364
616,2364
617,2364
618,2364
619,2364
620,2364
621,2364
622,2364
623,2364
624,2364
625,2364
626,2364
627,2364
628,2364
629,2364
630,2364
631,2364
632,2364
633,2364
634,2364
635,2364
636,2364
637,2364
638,2364
639,2364
640,2364
641,2364
642,2364
643,2364
644,2364
645,2364
646,2364
647,2364
648,2364
649,2364
650,2364
651,2364
652,2364
653,2364
654,2364
655,2364
656,2364
657,2364
658,2364
659,2364
660,2364
661,2364
662,2364
663,2364
664,2364
665,2364
666,2364
667,2364
668,2364
669,2364
670,2364
671,2364
672,2364
673,2364
674,2364
675,2364
676,2364
677,2364
678,2364
679,2364
680,2364
681,2364
682,2364
683,2364
684,2364
685,2364
686,2364
687,2364
688,2364
689,2364
690,2364
691,2364
692,2364
693,2364
694,2364
695,2364
696,2364
697,2364
698,2364
699,2364
700,2364
701,2364
702,2364
703,2364
704,2364
705,2364
766,2364
767,2364
768,2364
769,2364
770,2364
771,2364
772,2364
773,2364
774,2364
775,2364
776,2364
777,2364
778,2364
779,2364
780,2364
781,2364
782,2364
783,2364
784,2364
785,2364
786,2364
787,2364
788,2364
789,2364
790,2364
791,2364
792,2364
793,2364
794,2364
795,2364
796,2364
797,2364
798,2364
799,2364
800,2364
801,2364
