Run,Total Distance
1,2058
2,2058
3,2040
4,2040
5,2040
6,2040
7,2038
8,2036
9,2036
10,2036
11,2036
12,2028
13,2020
14,2012
15,2010
16,2000
17,1998
18,1990
19,1988
20,1988
21,1986
22,1984
23,1984
24,1984
25,1984
26,1972
27,1972
28,1972
29,1972
30,1970
31,1970
32,1970
33,1970
34,1962
35,1962
36,1960
37,1956
38,1956
39,1956
40,1944
41,1944
42,1944
43,1944
44,1944
45,1944
46,1942
47,1940
48,1940
49,1938
50,1928
51,1922
52,1922
53,1922
54,1922
55,1920
56,1918
57,1918
