Run,Total Distance
1,2393
2,2393
3,2393
4,2393
5,2391
6,2391
7,2391
8,2391
9,2391
10,2391
11,2391
12,2391
13,2391
14,2391
15,2387
16,2387
17,2387
18,2387
19,2387
20,2387
21,2387
22,2387
23,2387
24,2387
25,2387
26,2379
27,2379
28,2379
29,2379
30,2377
31,2377
32,2377
33,2377
34,2377
35,2377
36,2377
37,2377
38,2377
39,2377
40,2377
41,2377
42,2377
43,2377
44,2377
45,2377
46,2377
47,2377
48,2377
49,2377
50,2377
51,2377
52,2377
53,2377
54,2377
55,2377
56,2377
57,2377
58,2377
59,2377
60,2377
61,2377
62,2377
63,2377
64,2377
65,2377
66,2377
67,2377
68,2377
69,2377
70,2377
71,2377
72,2377
73,2377
74,2377
75,2377
76,2377
77,2377
78,2377
79,2377
80,2377
81,2377
82,2377
83,2377
84,2377
85,2377
86,2377
87,2377
88,2377
89,2377
90,2377
91,2377
92,2377
93,2377
94,2377
95,2377
96,2377
97,2377
98,2377
99,2377
100,2377
101,2377
102,2377
103,2377
104,2377
105,2377
106,2377
107,2377
108,2377
109,2377
110,2377
111,2377
112,2377
113,2377
114,2377
115,2377
116,2377
117,2377
118,2377
119,2377
120,2377
121,2377
122,2377
123,2377
124,2377
125,2377
126,2377
127,2377
128,2377
129,2377
130,2377
131,2377
132,2377
133,2377
134,2377
135,2377
136,2377
137,2377
138,2377
139,2377
140,2377
141,2377
142,2377
143,2377
144,2377
145,2377
146,2377
147,2377
148,2377
149,2377
150,2377
151,2377
152,2377
153,2377
154,2377
155,2377
156,2377
157,2377
158,2377
159,2377
160,2377
161,2377
162,2377
163,2377
164,2377
165,2377
166,2377
167,2377
168,2377
169,2377
170,2377
171,2377
172,2377
173,2377
174,2377
175,2377
176,2377
177,2377
178,2377
179,2377
180,2377
181,2377
182,2377
183,2377
184,2377
185,2377
186,2377
187,2377
188,2377
189,2377
190,2377
191,2377
192,2377
193,2377
194,2377
195,2377
196,2377
197,2377
198,2377
199,2377
200,2377
201,2377
202,2377
203,2377
204,2377
205,2377
206,2377
207,2377
208,2377
209,2377
210,2377
211,2377
212,2377
213,2377
214,2377
215,2377
216,2377
217,2377
218,2377
219,2377
220,2377
221,2377
222,2377
223,2377
224,2377
225,2377
226,2377
227,2377
228,2377
229,2377
230,2377
231,2377
232,2377
233,2377
234,2377
235,2377
236,2377
237,2377
238,2377
239,2377
240,2377
241,2377
242,2377
243,2377
244,2377
245,2377
246,2377
247,2377
248,2377
249,2377
250,2377
251,2377
252,2377
253,2377
254,2377
255,2377
256,2377
257,2377
258,2377
259,2377
260,2377
261,2377
262,2377
263,2377
264,2377
265,2377
266,2377
267,2377
268,2377
269,2377
270,2377
271,2377
272,2377
273,2377
274,2377
275,2377
276,2377
277,2377
278,2377
279,2377
280,2377
281,2377
282,2377
283,2377
284,2377
285,2377
286,2377
287,2377
288,2377
289,2377
290,2377
291,2377
292,2377
293,2377
294,2377
295,2377
296,2377
297,2377
298,2377
299,2377
300,2377
301,2377
302,2377
303,2377
304,2377
305,2377
306,2377
307,2377
308,2377
309,2377
310,2377
311,2377
312,2377
313,2377
314,2377
315,2377
316,2377
317,2377
318,2377
319,2377
320,2377
321,2377
322,2377
323,2377
324,2377
325,2377
326,2377
327,2377
328,2377
329,2377
330,2377
331,2377
332,2377
333,2377
334,2377
335,2377
336,2377
337,2377
338,2377
339,2377
340,2377
341,2377
342,2377
343,2377
344,2377
345,2377
346,2377
347,2377
348,2377
349,2377
350,2377
351,2377
352,2377
353,2377
354,2377
355,2377
356,2377
357,2377
358,2377
359,2377
360,2377
361,2377
362,2377
363,2377
364,2377
365,2377
366,2377
367,2377
368,2377
369,2377
370,2377
371,2377
372,2377
373,2377
374,2377
375,2377
376,2377
377,2377
378,2377
379,2377
380,2377
381,2377
382,2377
383,2377
384,2377
385,2377
386,2377
387,2377
388,2377
389,2377
390,2377
391,2377
392,2377
393,2377
394,2377
395,2377
396,2377
397,2377
398,2377
399,2377
400,2377
401,2377
402,2377
403,2377
404,2377
405,2377
406,2377
407,2377
408,2377
409,2377
410,2377
411,2377
412,2377
413,2377
414,2377
415,2377
416,2377
417,2377
418,2377
419,2377
420,2377
421,2377
422,2377
423,2377
424,2377
425,2377
426,2377
427,2377
428,2377
429,2377
430,2377
431,2377
432,2377
433,2377
434,2377
435,2377
436,2377
437,2377
438,2377
439,2377
440,2377
441,2377
442,2377
443,2377
444,2377
445,2377
446,2377
447,2377
448,2377
449,2377
450,2377
451,2377
452,2377
453,2377
454,2377
455,2377
456,2377
457,2377
458,2377
459,2377
460,2377
461,2377
462,2377
463,2377
464,2377
465,2377
466,2377
467,2377
468,2377
469,2377
470,2377
471,2377
472,2377
473,2377
474,2377
475,2377
476,2377
477,2377
478,2377
479,2377
480,2377
481,2377
482,2377
483,2377
484,2377
485,2377
486,2377
487,2377
488,2377
489,2377
490,2377
491,2377
492,2377
493,2377
494,2377
495,2377
496,2377
497,2377
498,2377
499,2377
500,2377
501,2377
502,2377
503,2377
504,2377
505,2377
506,2377
507,2377
508,2377
509,2377
510,2377
511,2377
512,2377
513,2377
514,2377
515,2377
516,2377
517,2377
518,2377
519,2377
520,2377
521,2377
522,2377
523,2377
524,2377
525,2377
526,2377
527,2377
528,2377
529,2377
530,2377
531,2377
532,2377
533,2377
534,2377
535,2377
536,2377
537,2377
538,2377
539,2377
540,2377
541,2377
542,2377
543,2377
544,2377
545,2377
546,2377
547,2377
548,2377
549,2377
550,2377
551,2377
552,2377
553,2377
554,2377
555,2377
556,2377
557,2377
558,2377
559,2377
560,2377
561,2377
562,2377
563,2377
564,2377
565,2377
566,2377
567,2377
568,2377
569,2377
570,2377
571,2377
572,2377
573,2377
574,2377
575,2377
576,2377
577,2377
578,2377
579,2377
580,2377
581,2377
582,2377
583,2377
584,2377
585,2377
586,2377
587,2377
588,2377
589,2377
590,2377
591,2377
592,2377
593,2377
594,2377
595,2377
596,2377
597,2377
598,2377
599,2377
600,2377
