Run,Total Distance
1,2530
2,2494
3,2494
4,2494
5,2494
6,2494
7,2484
8,2484
9,2484
10,2476
11,2476
12,2472
13,2472
14,2472
15,2472
16,2472
17,2472
18,2472
19,2472
20,2472
21,2472
22,2472
23,2472
24,2472
25,2472
26,2470
27,2470
28,2470
29,2470
30,2470
31,2470
32,2470
33,2470
34,2470
35,2470
36,2470
37,2470
38,2470
39,2470
40,2470
41,2470
42,2470
43,2470
44,2470
45,2470
46,2470
47,2470
48,2470
49,2470
50,2470
51,2470
52,2464
53,2464
54,2464
55,2464
56,2464
57,2464
58,2464
59,2464
60,2464
61,2464
62,2464
63,2428
64,2428
65,2428
66,2428
67,2426
68,2426
69,2426
70,2426
71,2426
72,2426
73,2426
74,2426
75,2426
76,2426
77,2426
78,2426
79,2426
80,2426
81,2426
82,2426
83,2426
84,2426
85,2426
86,2426
87,2426
88,2426
89,2426
90,2426
91,2426
92,2426
93,2426
94,2426
95,2426
96,2426
97,2426
98,2426
99,2426
100,2426
101,2426
102,2426
103,2426
104,2426
105,2426
106,2426
107,2426
108,2426
109,2426
110,2426
111,2426
112,2426
113,2426
114,2426
115,2426
116,2426
117,2426
118,2426
119,2426
120,2426
121,2426
122,2426
123,2426
124,2426
125,2426
126,2426
127,2426
128,2426
129,2426
130,2426
131,2426
132,2426
133,2426
134,2426
135,2426
136,2426
137,2426
138,2426
139,2426
140,2426
141,2426
142,2426
143,2426
144,2426
145,2426
146,2426
147,2426
148,2426
149,2426
150,2426
151,2426
152,2426
153,2426
154,2426
155,2426
156,2426
157,2426
158,2426
159,2426
160,2426
161,2426
162,2426
163,2426
164,2426
165,2426
166,2426
167,2426
168,2426
169,2426
170,2426
171,2426
172,2426
173,2426
174,2426
175,2426
176,2426
177,2426
178,2426
179,2426
180,2426
181,2426
182,2426
183,2426
184,2426
185,2426
186,2426
187,2426
188,2426
189,2426
190,2426
191,2426
192,2426
193,2426
194,2424
195,2424
196,2424
197,2424
198,2424
199,2424
200,2424
201,2424
202,2424
203,2424
204,2424
205,2424
206,2424
207,2424
208,2424
209,2424
210,2424
211,2424
212,2424
213,2424
214,2424
215,2424
216,2424
217,2424
218,2424
219,2424
220,2424
221,2424
222,2424
223,2424
224,2424
225,2424
226,2424
227,2424
228,2424
229,2424
230,2424
231,2424
232,2424
233,2424
234,2424
235,2424
236,2424
237,2424
238,2424
239,2424
240,2424
241,2424
242,2424
243,2424
244,2424
245,2424
246,2424
247,2424
248,2424
249,2424
250,2424
251,2424
252,2424
253,2424
254,2424
255,2424
256,2424
257,2424
258,2424
259,2424
260,2424
261,2424
262,2424
263,2424
264,2424
265,2424
266,2424
267,2424
268,2424
269,2424
270,2424
271,2424
272,2424
273,2424
274,2424
275,2424
276,2424
277,2424
278,2424
279,2424
280,2424
281,2424
282,2424
283,2424
284,2424
285,2424
286,2424
287,2424
288,2424
289,2424
290,2424
291,2424
292,2424
293,2424
294,2424
295,2424
296,2424
297,2424
298,2424
299,2424
300,2424
301,2424
302,2424
303,2424
304,2424
305,2424
306,2424
307,2424
308,2424
309,2424
310,2424
311,2424
312,2424
313,2424
314,2424
315,2424
316,2424
317,2424
318,2424
319,2424
320,2424
321,2424
322,2424
323,2424
324,2424
325,2424
326,2424
327,2424
328,2424
329,2424
330,2424
331,2424
332,2424
333,2424
334,2424
335,2424
336,2424
337,2424
338,2424
339,2424
340,2424
341,2424
342,2424
343,2424
344,2424
345,2424
346,2424
347,2424
348,2424
349,2424
350,2424
351,2424
352,2424
353,2424
354,2424
355,2424
356,2424
357,2424
358,2424
359,2424
360,2424
361,2424
362,2424
363,2424
364,2424
365,2424
366,2424
367,2424
368,2424
369,2424
370,2424
371,2424
372,2424
373,2424
374,2424
375,2424
376,2424
377,2424
378,2424
379,2424
380,2424
381,2424
382,2424
383,2424
384,2424
385,2424
386,2424
387,2424
388,2424
389,2424
390,2424
391,2424
392,2424
393,2424
394,2424
395,2424
396,2424
397,2424
398,2424
399,2424
400,2424
401,2424
402,2424
403,2424
404,2424
405,2424
406,2424
407,2424
408,2424
409,2424
410,2424
411,2424
412,2424
413,2424
414,2424
415,2424
416,2424
417,2424
418,2424
419,2424
420,2424
421,2424
422,2424
423,2424
424,2424
425,2424
426,2424
427,2424
428,2424
429,2424
430,2424
431,2424
432,2424
433,2424
434,2424
435,2424
436,2424
437,2424
438,2424
439,2424
440,2424
441,2424
442,2424
443,2424
444,2424
445,2424
446,2424
447,2424
448,2424
449,2424
450,2424
451,2424
452,2424
453,2424
454,2424
455,2424
456,2424
457,2424
458,2424
459,2424
460,2424
461,2424
462,2424
463,2424
464,2424
465,2424
466,2424
467,2424
468,2424
469,2424
470,2424
471,2424
472,2424
473,2424
474,2424
475,2424
476,2424
477,2424
478,2424
479,2424
480,2424
481,2424
482,2424
483,2424
484,2424
485,2424
486,2424
487,2424
488,2424
489,2424
490,2424
491,2424
492,2424
493,2424
494,2424
495,2424
496,2424
497,2424
498,2424
499,2424
500,2424
501,2424
502,2424
503,2424
504,2424
505,2424
506,2424
507,2424
508,2424
509,2424
510,2424
511,2424
512,2424
513,2424
514,2424
515,2424
516,2424
517,2424
518,2424
519,2424
520,2424
521,2424
522,2424
523,2424
524,2424
525,2424
526,2424
527,2424
528,2424
