Run,Total Distance
1,5096
2,5080
3,5080
4,5080
5,5080
6,5060
7,5060
8,5060
9,5064
10,5056
11,5056
12,5030
13,5030
14,5030
15,5030
16,5006
17,5000
18,4960
19,4960
20,4938
21,4938
22,4934
23,4934
24,4930
25,4922
26,4906
27,4906
28,4906
29,4888
30,4888
31,4888
32,4888
33,4888
34,4874
35,4874
36,4874
37,4866
38,4866
39,4844
40,4844
41,4844
42,4844
43,4804
44,4764
45,4764
46,4764
47,4764
48,4764
49,4764
50,4764
51,4764
52,4764
53,4764
54,4764
55,4764
56,4764
57,4764
58,4764
59,4764
60,4764
61,4764
62,4764
63,4764
64,4764
65,4764
66,4764
67,4702
68,4700
69,4700
70,4694
71,4694
72,4694
73,4694
74,4694
75,4696
76,4670
77,4670
78,4670
79,4670
80,4670
81,4670
82,4670
83,4668
84,4668
85,4668
86,4664
87,4664
88,4664
89,4664
90,4664
91,4662
92,4662
93,4662
94,4640
95,4638
96,4624
97,4624
98,4616
99,4616
100,4616
101,4616
102,4616
103,4588
104,4588
105,4588
106,4588
107,4588
108,4588
109,4588
110,4588
111,4588
112,4588
113,4588
114,4588
115,4588
116,4588
117,4588
118,4588
119,4588
120,4588
121,4588
122,4588
123,4588
124,4588
125,4588
126,4588
127,4584
128,4584
129,4584
130,4584
131,4584
132,4584
133,4584
134,4584
135,4584
136,4564
137,4564
138,4564
139,4564
140,4554
141,4538
142,4538
143,4518
144,4518
145,4518
146,4502
147,4500
148,4500
149,4500
150,4500
151,4500
152,4500
153,4500
154,4500
155,4500
156,4500
157,4500
158,4500
159,4500
160,4500
161,4478
162,4468
163,4462
164,4462
165,4462
166,4462
167,4450
168,4408
169,4408
170,4408
171,4408
172,4408
173,4408
174,4408
175,4402
176,4402
177,4402
178,4402
179,4394
180,4394
181,4394
182,4394
183,4394
184,4394
185,4394
186,4380
187,4380
188,4380
189,4380
190,4380
191,4380
192,4380
193,4380
194,4380
195,4380
196,4380
197,4358
198,4340
199,4340
200,4340
201,4336
202,4336
203,4336
204,4336
205,4336
206,4336
207,4336
208,4328
209,4328
210,4328
211,4328
212,4328
213,4328
214,4328
215,4328
216,4328
217,4328
218,4328
219,4312
220,4312
221,4312
222,4312
223,4312
224,4312
225,4312
226,4312
227,4312
228,4312
229,4312
230,4304
231,4304
232,4304
233,4304
234,4304
235,4304
236,4304
237,4304
238,4304
239,4292
240,4292
241,4292
242,4292
243,4280
244,4280
245,4280
246,4280
247,4280
248,4280
249,4280
250,4280
251,4280
252,4280
253,4280
254,4280
255,4280
256,4280
257,4280
258,4280
259,4280
260,4280
261,4280
262,4280
263,4280
264,4280
265,4280
266,4280
267,4280
268,4280
269,4280
270,4280
271,4280
272,4280
273,4280
274,4280
275,4280
276,4280
277,4280
278,4280
279,4274
280,4274
281,4274
282,4274
283,4274
284,4274
285,4274
286,4274
287,4274
288,4274
289,4274
290,4246
291,4246
292,4246
293,4246
294,4246
295,4246
296,4246
297,4246
298,4246
299,4246
300,4246
301,4246
302,4246
303,4246
304,4246
305,4246
306,4246
307,4246
308,4220
309,4220
310,4220
