Run,Total Distance
1,5081
2,5063
3,5063
4,5063
5,5063
6,5063
7,5063
8,5063
9,5063
10,5041
11,5041
12,5039
13,5039
14,5039
15,5039
16,5015
17,5015
18,5015
19,5015
20,4997
21,4997
22,4997
23,4997
24,4973
25,4973
26,4933
27,4933
28,4933
29,4913
30,4913
31,4913
32,4913
33,4913
34,4913
35,4913
36,4913
37,4913
38,4907
39,4907
40,4907
41,4909
42,4899
43,4899
44,4897
45,4901
46,4901
47,4901
48,4901
49,4901
50,4901
51,4901
52,4901
53,4901
54,4901
55,4901
56,4901
57,4899
58,4899
59,4899
60,4899
61,4899
62,4899
63,4899
64,4899
65,4899
66,4899
67,4899
68,4899
69,4899
70,4899
71,4881
72,4879
73,4879
74,4879
75,4879
76,4879
77,4879
78,4879
79,4879
80,4879
81,4879
82,4879
83,4879
84,4879
85,4879
86,4879
87,4879
88,4879
89,4879
90,4879
91,4879
92,4879
93,4879
94,4879
95,4879
96,4879
97,4879
98,4865
99,4821
100,4799
101,4747
102,4747
103,4747
104,4747
105,4747
106,4747
107,4747
108,4747
109,4719
110,4719
111,4719
112,4719
113,4719
114,4719
115,4719
116,4719
117,4719
118,4717
119,4717
120,4717
121,4697
122,4697
123,4697
124,4697
125,4697
126,4697
127,4697
128,4691
129,4691
130,4659
131,4633
132,4633
133,4633
134,4633
135,4633
136,4633
137,4633
138,4621
139,4615
140,4615
141,4607
142,4607
143,4607
144,4607
145,4607
146,4607
147,4607
148,4607
149,4607
150,4581
151,4565
152,4471
153,4471
154,4471
155,4461
156,4461
157,4461
158,4461
159,4461
160,4461
161,4461
162,4461
163,4461
164,4459
165,4459
166,4459
167,4459
168,4459
169,4459
170,4459
171,4459
172,4459
173,4459
174,4459
175,4459
176,4447
177,4447
178,4427
179,4427
180,4427
181,4427
182,4427
183,4427
184,4427
185,4427
186,4427
187,4427
188,4371
189,4353
190,4351
191,4351
192,4351
193,4351
194,4351
195,4351
196,4351
197,4351
198,4351
199,4351
200,4351
201,4351
202,4351
203,4351
204,4349
205,4349
206,4349
207,4349
208,4349
209,4349
210,4349
211,4349
212,4349
213,4349
214,4349
215,4349
216,4349
217,4349
218,4349
219,4349
220,4325
221,4313
222,4313
223,4313
224,4313
225,4311
226,4311
227,4311
228,4311
229,4311
230,4311
231,4311
232,4311
233,4311
234,4311
235,4311
236,4311
237,4311
238,4311
239,4311
